execution,mode,handshake_duration_ms,success
1,TLS Single,1264.44,1
2,TLS Single,12.69,1
3,TLS Single,1077.82,1
4,TLS Single,16.55,1
5,TLS Single,5174.8,1
6,TLS Single,1906.49,1
7,TLS Single,18.19,1
8,TLS Single,1235.8,1
9,TLS Single,642.65,1
10,TLS Single,20.8,1
11,TLS Single,14.42,1
12,TLS Single,12.31,1
13,TLS Single,13.71,1
14,TLS Single,12.31,1
15,TLS Single,1085.98,1
16,TLS Single,2284.94,1
17,TLS Single,1862.44,1
18,TLS Single,2708.88,1
19,TLS Single,11.07,1
20,TLS Single,11.37,1
21,TLS Single,1252.61,1
22,TLS Single,3103.68,1
23,TLS Single,3111.31,1
24,TLS Single,230.79,1
25,TLS Single,16.55,1
26,TLS Single,10.42,1
27,TLS Single,10.55,1
28,TLS Single,1255.43,1
29,TLS Single,3086.23,1
30,TLS Single,1065.37,1
31,TLS Single,7205.68,1
32,TLS Single,3726.31,1
33,TLS Single,14.36,1
34,TLS Single,1267.84,1
35,TLS Single,16.77,1
36,TLS Single,1282.98,1
37,TLS Single,1261.47,1
38,TLS Single,644.88,1
39,TLS Single,643.09,1
40,TLS Single,233.48,1
41,TLS Single,1252.76,1
42,TLS Single,637.55,1
43,TLS Single,1858.17,1
44,TLS Single,12.96,1
45,TLS Single,10.08,1
46,TLS Single,1458.44,1
47,TLS Single,11.03,1
48,TLS Single,11.26,1
49,TLS Single,11.06,1
50,TLS Single,12.19,1
51,TLS Single,11.22,1
52,TLS Single,15.83,1
53,TLS Single,11.58,1
54,TLS Single,231.46,1
55,TLS Single,17.34,1
56,TLS Single,10.04,1
57,TLS Single,4120.12,1
58,TLS Single,1278.64,1
59,TLS Single,1048.78,1
60,TLS Single,19.02,1
61,TLS Single,12379.66,1
62,TLS Single,18.07,1
63,TLS Single,1474.26,1
64,TLS Single,9014.44,1
65,TLS Single,14.98,1
66,TLS Single,3316.44,1
67,TLS Single,12.37,1
68,TLS Single,10.65,1
69,TLS Single,10.97,1
70,TLS Single,13.99,1
71,TLS Single,1493.92,1
72,TLS Single,16.99,1
73,TLS Single,1084.51,1
74,TLS Single,1270.47,1
75,TLS Single,17.55,1
76,TLS Single,233.3,1
77,TLS Single,16.43,1
78,TLS Single,1484.29,1
79,TLS Single,12.78,1
80,TLS Single,12.98,1
81,TLS Single,1065.82,1
82,TLS Single,10.37,1
83,TLS Single,641.33,1
84,TLS Single,241.15,1
85,TLS Single,1072.03,1
86,TLS Single,15.21,1
87,TLS Single,10.29,1
88,TLS Single,10.49,1
89,TLS Single,1049.41,1
90,TLS Single,105813.37,1
91,TLS Single,1289.47,1
92,TLS Single,17.69,1
93,TLS Single,641.14,1
94,TLS Single,16.94,1
95,TLS Single,4403.59,1
96,TLS Single,12.62,1
97,TLS Single,10.97,1
98,TLS Single,1251.45,1
99,TLS Single,1871.54,1
100,TLS Single,20.54,1
101,TLS Single,1471.32,1
102,TLS Single,12.7,1
103,TLS Single,11.32,1
104,TLS Single,10.31,1
105,TLS Single,10.02,1
106,TLS Single,10.01,1
107,TLS Single,10.4,1
108,TLS Single,1077.09,1
109,TLS Single,17.21,1
110,TLS Single,1904.21,1
111,TLS Single,12.88,1
112,TLS Single,10.42,1
113,TLS Single,1034.05,1
114,TLS Single,13.85,1
115,TLS Single,10.47,1
116,TLS Single,637.13,1
117,TLS Single,234.76,1
118,TLS Single,1506.74,1
119,TLS Single,16.4,1
120,TLS Single,1257.93,1
121,TLS Single,12.04,1
122,TLS Single,6409.2,1
123,TLS Single,638.66,1
124,TLS Single,1055.24,1
125,TLS Single,7606.56,1
126,TLS Single,3558.03,1
127,TLS Single,27761.7,1
128,TLS Single,1085.61,1
129,TLS Single,15.06,1
130,TLS Single,640.14,1
131,TLS Single,239.19,1
132,TLS Single,13.63,1
133,TLS Single,11229.7,1
134,TLS Single,1877.21,1
135,TLS Single,1287.12,1
136,TLS Single,437.14,1
137,TLS Single,1086.41,1
138,TLS Single,29472.34,1
