execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,6413.3,1,2,4
2,TLS Single,1446.38,1,2,4
3,TLS Single,8690.01,1,2,4
4,TLS Single,2314.15,1,2,4
5,TLS Single,12.69,1,2,4
6,TLS Single,3147.86,1,2,4
7,TLS Single,7849.88,1,2,4
8,TLS Single,1491.68,1,2,4
9,TLS Single,10.87,1,2,4
10,TLS Single,10.08,1,2,4
11,TLS Single,1258.49,1,2,4
12,TLS Single,19884.14,1,2,4
13,TLS Single,2502.4,1,2,4
14,TLS Single,11.32,1,2,4
15,TLS Single,2514.12,1,2,4
16,TLS Single,12.23,1,2,4
17,TLS Single,10.82,1,2,4
18,TLS Single,10.15,1,2,4
19,TLS Single,13.93,1,2,4
20,TLS Single,10.8,1,2,4
21,TLS Single,839.57,1,2,4
22,TLS Single,1251.07,1,2,4
23,TLS Single,12952.31,1,2,4
24,TLS Single,12.57,1,2,4
25,TLS Single,13271.43,1,2,4
26,TLS Single,12.37,1,2,4
27,TLS Single,848.48,1,2,4
28,TLS Single,14.0,1,2,4
29,TLS Single,439.89,1,2,4
30,TLS Single,2702.64,1,2,4
31,TLS Single,12.45,1,2,4
32,TLS Single,1059.83,1,2,4
33,TLS Single,12.99,1,2,4
34,TLS Single,6622.58,1,2,4
35,TLS Single,1062.09,1,2,4
36,TLS Single,14.86,1,2,4
37,TLS Single,14.73,1,2,4
38,TLS Single,630.62,1,2,4
39,TLS Single,14509.04,1,2,4
40,TLS Single,2936.05,1,2,4
41,TLS Single,3373.51,1,2,4
42,TLS Single,228.32,1,2,4
43,TLS Single,1047.56,1,2,4
44,TLS Single,11.91,1,2,4
45,TLS Single,3310.42,1,2,4
46,TLS Single,3319.97,1,2,4
47,TLS Single,228.24,1,2,4
48,TLS Single,2504.96,1,2,4
49,TLS Single,228.32,1,2,4
50,TLS Single,13.48,1,2,4
51,TLS Single,1062.15,1,2,4
52,TLS Single,2912.1,1,2,4
53,TLS Single,1021.38,1,2,4
54,TLS Single,636.36,1,2,4
55,TLS Single,18.46,1,2,4
56,TLS Single,3141.07,1,2,4
57,TLS Single,10.76,1,2,4
58,TLS Single,2685.46,1,2,4
59,TLS Single,11.16,1,2,4
60,TLS Single,12.03,1,2,4
61,TLS Single,1230.33,1,2,4
62,TLS Single,12.56,1,2,4
63,TLS Single,3084.43,1,2,4
64,TLS Single,635.01,1,2,4
65,TLS Single,18.5,1,2,4
66,TLS Single,18.54,1,2,4
67,TLS Single,229.02,1,2,4
68,TLS Single,26967.56,1,2,4
69,TLS Single,2737.9,1,2,4
70,TLS Single,12.33,1,2,4
71,TLS Single,4131.42,1,2,4
72,TLS Single,840.59,1,2,4
73,TLS Single,11.47,1,2,4
74,TLS Single,634.8,1,2,4
75,TLS Single,12.59,1,2,4
76,TLS Single,11.47,1,2,4
77,TLS Single,3347.74,1,2,4
78,TLS Single,4328.69,1,2,4
79,TLS Single,1251.22,1,2,4
80,TLS Single,227.7,1,2,4
81,TLS Single,232.94,1,2,4
82,TLS Single,229.51,1,2,4
83,TLS Single,1051.03,1,2,4
84,TLS Single,1069.5,1,2,4
85,TLS Single,1289.08,1,2,4
86,TLS Single,841.65,1,2,4
87,TLS Single,2265.74,1,2,4
88,TLS Single,11.22,1,2,4
89,TLS Single,11.13,1,2,4
90,TLS Single,11.56,1,2,4
91,TLS Single,631.47,1,2,4
92,TLS Single,2689.74,1,2,4
93,TLS Single,3543.98,1,2,4
94,TLS Single,13.99,1,2,4
95,TLS Single,1073.0,1,2,4
96,TLS Single,17.57,1,2,4
97,TLS Single,232.76,1,2,4
98,TLS Single,5331.81,1,2,4
99,TLS Single,1267.51,1,2,4
100,TLS Single,11.46,1,2,4
101,TLS Single,3127.1,1,2,4
102,TLS Single,1905.86,1,2,4
103,TLS Single,3538.08,1,2,4
104,TLS Single,229.32,1,2,4
105,TLS Single,1052.79,1,2,4
106,TLS Single,1072.29,1,2,4
107,TLS Single,227.34,1,2,4
108,TLS Single,3746.99,1,2,4
109,TLS Single,1021.33,1,2,4
110,TLS Single,1486.65,1,2,4
111,TLS Single,14.98,1,2,4
112,TLS Single,1076.85,1,2,4
113,TLS Single,10.25,1,2,4
114,TLS Single,1261.54,1,2,4
115,TLS Single,12.61,1,2,4
116,TLS Single,1034.05,1,2,4
117,TLS Single,10.85,1,2,4
118,TLS Single,10.5,1,2,4
119,TLS Single,11.25,1,2,4
120,TLS Single,1064.8,1,2,4
121,TLS Single,11.48,1,2,4
122,TLS Single,1056.17,1,2,4
123,TLS Single,12.05,1,2,4
124,TLS Single,15.56,1,2,4
125,TLS Single,14.61,1,2,4
