P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1802.22,803.14,827.63,827.1,819.22
402.95,402.18,416.02,423.03,417.7
402.25,402.6,415.94,439.08,424.87
402.55,402.17,415.85,439.32,417.5
402.63,401.97,426.95,422.98,417.5
402.24,402.02,416.06,438.75,417.36
402.62,402.13,426.98,438.69,417.91
403.19,401.98,422.6,433.59,425.26
1401.75,402.11,415.8,422.89,417.34
402.06,402.66,416.07,427.93,417.48
402.14,402.1,416.07,423.45,417.67
402.36,401.95,426.83,422.8,417.65
402.13,401.94,415.92,2842.01,417.35
402.64,401.91,416.0,422.82,417.31
402.46,401.93,415.87,422.71,424.56
402.32,401.99,422.48,422.73,417.3
402.1,401.97,415.93,422.95,417.34
402.22,401.9,415.97,427.92,424.51
402.22,402.07,415.8,427.98,417.35
402.4,402.05,415.92,422.8,417.35
402.17,401.91,415.86,433.5,417.38
402.32,402.03,426.86,423.1,417.41
402.36,401.96,415.84,433.44,417.37
402.79,402.62,422.37,422.56,417.3
1401.94,401.88,416.21,422.64,417.35
402.56,401.99,415.97,2846.33,417.28
402.22,401.88,415.8,422.89,417.37
402.69,402.38,415.82,422.66,417.26
402.22,402.01,415.88,423.91,417.55
402.49,402.28,415.86,422.54,417.88
402.14,402.29,420.43,423.47,417.38
402.56,401.9,415.83,422.7,417.45
402.92,401.84,2841.6,422.57,417.36
402.1,402.05,422.35,422.69,417.43
402.37,401.87,415.92,422.66,417.4
402.18,401.87,416.08,422.72,417.24
402.36,402.28,416.32,422.73,417.45
402.15,402.0,415.92,422.68,417.38
402.49,402.46,415.87,422.85,424.64
402.15,401.95,415.92,422.73,417.76
402.22,401.96,415.89,422.69,418.21
402.29,401.71,415.83,422.87,417.26
402.42,401.83,415.9,422.93,417.34
402.55,401.9,415.88,422.76,417.63
402.12,402.57,415.94,425.95,429.15
402.21,401.92,417.49,422.51,417.73
402.14,401.79,415.78,422.71,417.45
402.19,401.9,415.85,422.79,417.29
402.58,401.91,415.9,423.93,417.46
402.19,401.92,415.91,422.71,417.63
402.16,401.93,415.85,422.64,417.37
402.12,401.81,426.86,422.78,417.32
402.06,402.64,415.89,422.76,417.28
402.01,401.96,415.85,422.79,417.28
402.11,401.89,415.86,422.78,417.64
1401.6,401.9,426.87,422.72,417.36
402.33,401.96,2835.63,422.79,417.37
403.48,401.81,415.86,422.75,424.57
402.2,401.85,415.88,422.68,424.55
402.88,401.9,2836.67,422.55,417.56
402.19,401.95,415.89,422.75,417.33
402.51,402.02,422.51,422.62,2837.27
402.14,401.89,426.93,422.65,417.37
402.64,401.81,415.8,422.58,424.54
402.24,401.86,415.87,427.38,417.3
402.36,402.58,415.8,423.01,2837.33
402.11,401.87,415.82,422.68,417.49
402.19,402.65,415.86,423.37,417.4
403.18,402.52,415.91,423.17,417.23
