P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
143.48,1142.07,157.18,166.85,164.62
72.41,72.68,86.35,93.05,90.16
72.61,72.31,87.39,92.96,87.75
72.44,1071.79,86.21,111.19,87.73
72.76,72.18,86.03,92.83,87.89
72.31,72.16,91.42,92.61,92.22
72.42,72.04,86.42,92.6,92.13
72.12,72.05,86.06,93.11,87.97
72.14,72.06,92.77,93.56,87.41
72.15,72.25,726.1,92.63,91.7
72.1,72.46,86.32,92.73,87.42
73.02,72.37,86.18,92.48,87.69
72.33,72.04,88.93,92.69,87.29
72.79,72.99,93.05,102.83,87.3
72.14,72.49,88.34,97.5,88.95
72.26,71.97,92.04,103.38,87.44
72.22,71.96,92.62,92.5,87.69
72.07,71.96,86.3,92.68,87.49
72.08,72.29,86.24,92.51,87.56
72.16,71.97,86.44,92.51,88.4
72.44,72.51,87.72,92.71,87.46
72.01,71.97,87.38,103.43,727.49
72.11,72.23,86.16,92.67,92.19
72.27,72.06,88.08,97.96,87.43
72.01,72.22,87.07,103.4,95.88
72.17,72.19,96.7,92.62,94.61
72.05,72.76,86.11,92.51,87.21
72.32,72.06,86.84,92.54,87.37
72.0,71.93,97.29,92.92,88.47
72.14,72.03,86.02,92.7,87.86
72.56,71.91,87.75,92.61,87.31
72.14,72.36,85.87,103.46,87.37
72.25,72.53,88.27,93.03,94.62
72.39,71.92,92.7,92.5,87.33
72.12,72.05,86.03,92.97,87.55
72.06,71.97,86.14,92.56,87.77
72.52,71.94,87.42,92.59,87.54
72.81,72.07,86.17,92.71,99.39
72.25,71.9,86.04,92.96,87.68
72.12,71.95,86.1,103.52,92.22
72.1,72.07,88.61,92.49,87.36
72.22,72.01,86.14,103.21,87.49
72.16,72.48,86.09,103.53,87.38
72.12,72.41,86.2,92.54,87.5
1071.66,72.54,85.96,92.71,88.38
72.11,71.87,87.08,92.63,87.53
71.97,1071.61,87.57,92.88,87.72
72.17,72.67,86.11,92.64,87.46
72.11,72.01,85.94,92.62,87.3
72.0,72.04,86.17,92.51,88.73
71.97,71.95,86.12,92.56,88.69
72.59,72.58,86.45,92.5,88.21
72.31,72.21,86.14,103.42,93.33
72.26,72.36,86.16,103.44,87.87
72.13,72.04,86.19,92.49,87.45
72.01,72.28,86.08,92.52,98.97
72.03,73.35,86.55,92.58,87.26
72.89,72.63,86.14,92.7,87.49
71.96,72.09,85.92,93.08,87.33
72.04,72.14,86.04,94.83,97.85
72.03,71.97,92.88,93.18,87.37
71.99,71.98,87.41,94.31,89.2
72.1,71.97,85.86,97.14,87.37
72.2,72.06,86.82,94.07,87.86
72.2,72.65,86.02,92.91,88.72
72.09,72.74,86.32,92.78,87.95
72.82,72.05,86.12,92.55,87.8
72.03,72.02,86.33,103.69,89.35
72.13,72.0,86.11,104.58,88.0
72.13,72.78,86.12,95.74,87.45
72.07,71.94,86.04,105.98,97.89
72.0,71.88,88.76,93.09,87.39
72.15,71.96,86.13,93.4,87.8
72.0,72.1,86.09,92.73,87.34
72.02,72.02,86.01,92.7,87.33
72.16,71.96,727.57,92.77,87.38
72.23,71.93,86.12,92.62,87.4
72.0,71.86,86.19,92.9,87.44
72.14,71.94,87.58,103.52,97.92
72.65,72.37,85.9,94.52,87.4
72.07,72.01,86.08,94.31,87.45
71.96,72.82,86.42,97.21,87.24
72.02,71.96,86.24,93.62,87.36
72.12,72.78,86.02,98.73,89.0
72.54,72.08,86.04,92.75,87.51
72.65,72.77,87.17,93.06,87.41
72.18,72.01,726.38,94.46,87.41
72.2,71.94,93.06,94.86,87.33
71.99,72.05,91.96,104.86,88.27
72.52,71.9,86.25,94.89,87.46
72.08,1071.93,86.23,93.33,99.05
71.96,71.88,86.09,93.22,88.38
72.17,72.02,86.04,92.77,87.35
72.05,72.58,89.88,93.21,87.24
1071.65,72.11,86.23,93.03,89.34
71.98,72.05,85.96,93.19,92.87
72.69,72.4,86.03,103.15,88.03
71.99,72.05,88.15,97.76,94.51
72.1,72.16,86.02,93.76,87.41
72.07,71.92,86.02,92.84,87.4
71.98,72.02,85.94,93.05,88.04
72.14,72.09,87.39,95.2,87.56
72.04,72.66,86.03,93.35,87.24
72.36,72.53,86.12,93.42,87.31
72.08,72.02,86.12,93.18,100.04
72.04,72.64,87.69,93.96,90.91
72.08,72.01,85.92,95.07,87.42
72.28,71.97,86.14,93.0,87.5
72.02,72.69,85.98,113.82,89.46
72.05,71.98,87.07,93.27,87.27
72.12,71.95,86.31,93.53,89.61
72.2,71.91,86.11,93.56,87.51
72.31,72.02,86.08,106.56,87.65
72.08,72.04,86.19,92.79,87.34
72.79,72.62,86.26,92.78,88.55
72.08,72.26,86.23,92.57,88.62
72.06,72.09,86.02,103.43,727.25
72.94,72.08,90.51,93.17,87.55
