P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
2.41,2.37,16.81,37.81,19.02
2.1,2.42,16.07,28.25,18.52
2.24,2.25,16.24,25.54,18.18
2.24,2.32,16.04,22.92,17.34
1.93,2.24,22.73,33.7,25.01
1.85,2.41,15.84,28.5,22.13
1.93,2.01,16.22,23.73,19.54
2.27,2.28,22.37,22.9,21.88
2.9,2.17,16.86,23.25,17.47
1.85,2.21,15.84,23.03,18.34
1.93,2.21,16.3,22.76,17.83
2.56,5.21,22.36,22.68,17.22
1.89,2.03,22.45,33.75,17.54
3.52,2.18,15.83,28.25,17.47
1.88,2.01,15.97,27.93,17.27
2.25,2.64,16.47,30.88,17.54
2.37,1.98,16.06,23.51,18.05
1.81,2.63,17.23,23.48,17.27
2.03,2.17,16.37,23.44,17.67
1.88,1.94,16.06,23.14,17.23
1.94,2.26,22.41,28.88,17.22
2.63,2.05,16.19,28.11,18.54
1.92,2.24,15.77,33.78,21.99
2.22,2.54,16.36,28.08,17.51
2.2,2.38,22.43,24.37,17.48
2.52,2.45,15.99,28.87,17.34
2.17,2.55,22.67,28.03,17.63
1.93,2.35,16.06,27.94,17.46
2.32,2.18,16.35,31.15,24.6
2.36,2.19,15.97,28.31,17.58
1.84,2.38,15.85,23.28,21.96
2.19,3.0,22.41,23.94,19.1
1.91,2.26,15.86,22.78,17.29
1.92,2.1,16.18,24.54,18.11
2.34,2.65,16.09,33.46,17.87
1.85,2.3,21.16,22.64,17.73
1.88,2.48,18.37,24.03,18.42
2.12,2.09,16.68,24.16,18.62
2.36,2.32,22.64,23.68,24.77
2.04,2.19,16.16,22.88,18.12
2.06,2.33,22.69,22.82,17.86
2.4,2.27,22.4,24.27,21.19
1.8,2.24,15.91,23.79,22.09
2.37,2.4,16.42,22.98,18.42
1.96,2.27,16.04,22.52,21.91
1.96,2.31,16.42,24.79,17.64
2.17,2.21,16.25,33.95,17.27
2.4,2.54,16.32,22.67,17.47
2.65,2.57,20.4,23.49,17.65
2.67,2.29,22.61,22.68,17.49
2.49,1.98,20.35,22.96,17.85
2.44,2.0,16.34,24.59,17.46
1.89,2.08,16.23,34.02,18.03
1.86,2.0,20.33,22.55,17.56
2.97,2.04,20.44,23.05,17.68
2.35,2.26,20.4,31.73,17.25
2.91,1.99,15.86,28.08,18.5
1.95,2.59,22.77,33.38,17.72
1.86,2.23,15.85,22.76,19.41
2.76,2.41,20.58,28.28,22.01
2.37,2.28,16.36,22.5,17.22
1.93,2.29,16.32,22.99,17.93
1.92,1.99,16.9,28.33,17.4
1.82,2.23,22.57,23.44,24.53
2.17,2.33,16.12,29.29,18.29
2.7,2.13,20.66,23.81,24.69
2.04,2.16,20.36,22.73,17.84
2.12,2.54,16.14,29.91,17.59
1.86,2.6,20.33,31.85,19.17
2.05,2.23,16.37,22.8,24.87
2.12,2.27,15.96,24.27,18.24
1.87,2.29,21.08,23.48,17.44
2.0,2.0,15.86,28.0,18.05
1.84,1.98,16.38,26.16,24.65
1.87,2.49,15.99,34.89,17.85
1.85,1.98,15.85,28.04,17.43
2.27,2.11,23.0,24.34,17.63
1.85,2.0,15.92,35.94,17.24
1.86,2.3,15.98,29.08,17.6
2.23,2.59,16.22,32.76,17.55
1.88,2.04,16.26,28.72,17.51
1.93,2.35,16.04,23.6,17.39
2.03,2.39,16.23,27.85,17.72
1.92,2.54,16.69,22.89,19.38
1.86,2.1,16.3,23.91,18.05
2.91,2.03,16.48,23.22,17.28
2.66,2.21,16.02,22.74,17.74
1.86,2.27,16.4,33.6,24.5
1.81,2.17,16.34,33.6,17.32
2.33,2.58,15.88,23.26,18.96
2.53,2.0,16.5,22.56,17.55
2.16,2.47,16.18,22.92,17.46
2.23,2.34,16.47,23.99,17.22
2.16,2.07,15.78,23.25,19.58
1.88,2.19,16.1,22.56,17.84
2.28,1.98,16.13,22.84,17.42
2.47,2.29,16.19,22.85,17.41
2.11,2.27,15.93,23.21,17.1
2.61,2.2,17.7,22.84,17.47
1.88,2.63,16.85,23.3,17.61
1.92,2.15,16.23,23.74,17.28
2.21,2.48,16.21,23.34,17.84
2.21,2.42,22.84,23.94,24.8
1.85,2.31,15.97,22.86,24.45
2.23,2.52,16.39,29.58,17.66
2.19,2.24,15.87,22.76,17.6
1.88,2.35,16.44,27.98,24.58
2.02,2.11,16.29,23.36,17.32
1.85,2.56,15.96,24.1,19.92
1.91,2.62,22.32,28.19,17.43
2.37,2.08,15.8,26.18,24.78
1.88,2.15,16.41,1019.66,17.48
1.87,2.53,21.39,1034.71,17.75
1.8,4.97,16.2,1042.69,17.87
2.25,2.22,20.26,22.78,24.88
2.24,2.31,22.46,25.44,19.14
1.81,2.51,20.45,22.7,18.04
1.94,2.56,27.3,1149.14,17.27
1.8,3.69,20.92,7036.55,17.6
1.87,2.86,20.59,27.97,17.6
2.17,2.78,21.25,74.99,18.71
2.43,3.06,15.84,28.3,17.43
1.85,2.37,16.52,1042.24,17.82
2.1,2.12,16.4,33.32,17.53
2.79,2.15,16.2,584.55,17.99
1.86,1.95,16.9,33.37,24.48
2.11,1.98,15.85,33.42,17.43
2.46,2.25,16.89,227.51,17.55
1.79,2.08,18.06,1231.09,17.55
2.21,2.08,17.21,45.81,18.0
1.89,2.25,22.38,22.58,17.54
1.86,2.3,16.61,495.69,18.16
2.14,2.65,16.31,27.91,17.4
2.15,2.14,16.26,22.65,17.55
1.97,1.99,39.35,1035.03,17.62
2.41,2.23,37.97,1839.38,17.58
2.27,2.23,7298.74,62.0,17.54
2.35,1.93,86.75,23.92,17.25
1.92,3.05,15.86,27.64,17.64
1.98,2.29,21.14,195.09,18.01
1.88,2.37,16.27,586.47,17.55
2.32,2.21,16.41,490.46,17.3
2.01,1.89,15.95,22.65,17.51
2.31,1.99,1021.77,23.81,17.29
1.94,1.92,16.02,47.33,17.55
2.64,1.85,16.05,22.78,17.81
1.86,4.26,15.95,1113.84,18.04
1.78,2.32,16.28,22.76,17.85
1.92,1.8,1893.78,22.82,17.19
1.85,2.56,1013.45,23.05,24.73
1.78,3.36,73.74,22.67,18.16
2.01,1.75,46.82,22.65,17.29
2.02,1.57,15.9,1046.95,18.51
1.86,1.81,15.85,34.95,17.25
1.96,1.66,1204.18,22.9,17.31
2.17,1.67,1117.18,23.13,24.88
2.03,2.56,33.51,22.67,17.64
1.96,1.76,180.35,22.56,17.83
1.9,1.64,1036.29,134.85,19.5
2.05,1.8,15.87,1019.29,18.17
1.95,1.61,27.41,22.72,17.55
2.01,2.09,15.83,22.71,18.17
1.86,2.1,16.15,24.32,24.46
1.86,1.57,15.83,22.87,17.46
1.82,2.08,16.38,22.79,17.21
1.99,1.84,29.1,25.06,17.66
2.07,1.94,15.81,22.73,17.56
1.98,1.67,16.23,24.41,17.26
2.41,1.77,15.8,22.78,24.77
2.5,1.6,16.4,22.59,24.28
2.44,1.69,16.27,24.54,17.56
2.23,1.58,16.23,22.66,18.05
1.89,1.65,15.94,36.7,17.79
2.02,2.11,3592.19,23.11,17.87
1.84,1.66,15.94,22.94,17.38
2.13,1.9,16.15,23.16,17.38
1.81,1.67,15.89,22.69,25.03
1.96,1.63,1106.34,22.92,24.63
2.33,2.47,22.3,161.05,24.9
2.36,2.11,90.98,22.6,17.37
2.58,1.73,71.4,289.06,17.44
2.55,1.85,1014.81,22.62,20.39
2.18,1001.99,15.74,22.82,17.44
2.39,1.73,3013.02,35.17,18.06
2.08,1.66,756.24,7016.46,17.35
2.2,1.76,1013.58,82.01,17.5
1.9,2.15,15.77,22.68,24.46
1.8,1.79,16.06,33.47,17.29
1.87,1002.13,3115.51,91.74,17.68
2.27,1.71,16.35,25.19,22.27
1.79,1.76,23.59,211.27,22.88
2.37,1.71,1022.58,1046.92,22.71
3.02,1001.47,1025.8,1019.99,20.39
1.96,1.67,1044.23,58.55,30.92
1.92,2999.55,15.97,1028.71,25.9
1.86,1001.55,29.28,22.62,29.06
2.17,1.71,15.81,23.19,450.4
2.84,1.78,2674.64,54.19,32.94
1.97,1.72,15.78,170.49,1036.1
2.28,1.76,22.86,1486.58,24.12
2.4,2.13,16.09,46.97,1019.15
2.32,1001.49,3011.73,669.12,17.3
1.84,1001.54,3034.82,22.92,24.72
2.2,1001.49,274.38,51.36,3036.23
1.84,1001.44,15.88,22.71,1098.96
1.91,2.16,54.75,72.45,17.27
2.46,1.7,22.25,22.71,47.77
1.83,2.13,20.31,23.01,1087.04
1.82,1001.32,26.89,1113.89,179.09
2.72,6998.55,1024.06,22.75,17.31
2.16,2.03,16.16,23.74,17.24
1.92,2.09,16.43,22.61,60.23
1.86,1.99,15.8,115.04,1090.31
2.14,1.68,38.52,751.45,17.48
2.09,2.1,15.92,22.71,17.49
1.85,6998.62,16.16,422.91,198.84
2.53,2999.6,15.79,22.77,1038.32
2.22,3001.0,45.45,23.04,24.53
1.85,1.91,20.26,277.65,17.44
2.92,2.91,106.11,33.33,1047.14
2.34,1.67,15.88,7031.47,17.23
1.82,1.73,16.05,22.7,3096.78
2.11,2.15,1196.47,3036.27,17.23
2.23,1.72,16.26,1069.61,2067.62
1.99,1001.5,2877.03,116.55,22.75
2.1,2.16,16.67,835.13,22.28
2.28,1.88,16.11,26.79,17.57
2.09,1001.49,16.13,22.67,177.85
1.91,1.67,21.75,3041.58,18.31
2.17,6998.61,16.31,68.83,34.1
2.38,3075.56,16.72,22.72,1038.03
1.87,1.72,234.42,24.84,1030.46
2.19,2999.54,1838.98,22.96,18.07
