P-384,x448,hqc192,p384_hqc192,x448_hqc192
11.5,6.16,69.49,106.54,93.41
8.09,8.22,69.68,90.58,98.81
7.87,5.76,80.88,103.98,90.6
7.71,6.31,130.04,109.1,104.56
8.4,7.75,128.38,129.61,86.63
10.89,6.34,130.2,100.91,85.63
8.2,5.52,111.73,99.72,82.85
7.71,6.05,93.37,117.66,86.17
7.81,5.66,110.48,113.98,83.55
7.49,6.31,85.25,100.93,83.72
7.92,5.63,100.85,98.83,115.55
7.68,5.6,139.49,102.82,82.66
11.44,5.7,99.4,107.86,151.23
7.7,5.88,85.23,125.05,117.3
7.97,7.05,105.38,108.25,94.64
7.45,5.87,173.27,97.44,96.87
7.58,5.65,155.33,100.49,109.68
8.34,9.52,106.61,130.71,90.98
7.71,5.75,104.08,117.8,86.94
7.76,6.9,105.37,105.06,88.29
7.51,6.08,108.03,101.25,85.1
7.83,5.7,119.22,94.82,81.62
7.65,5.79,117.84,106.92,81.8
7.44,6.89,133.16,135.3,106.38
7.39,5.9,92.17,121.81,82.53
7.43,9.52,99.4,94.5,82.55
10.67,5.67,97.45,100.03,82.29
7.82,5.71,118.91,101.89,86.75
7.75,5.48,166.13,103.73,85.39
7.8,8.02,167.59,119.5,87.51
7.85,7.36,128.98,122.8,87.0
7.8,6.06,130.7,104.71,93.69
12.46,6.73,192.49,111.22,85.78
7.54,5.88,259.1,113.37,87.04
7.71,6.63,166.96,120.2,116.27
10.76,9.77,160.45,124.01,96.29
7.77,6.81,184.15,126.41,89.23
7.4,6.18,244.31,136.02,83.38
7.69,7.68,130.88,142.49,82.64
8.78,6.25,163.76,123.81,81.82
7.73,5.76,167.25,136.38,83.98
7.74,9.28,125.64,143.17,81.51
7.48,7.13,141.07,116.24,114.66
7.73,7.97,147.69,95.17,89.61
7.62,6.7,129.62,122.39,98.33
10.77,6.22,161.47,129.81,115.06
7.64,6.48,139.71,190.54,104.92
7.71,5.66,183.76,124.71,109.62
7.79,6.84,153.73,133.78,206.46
7.73,6.42,152.49,130.81,174.03
7.5,10.72,137.95,155.06,206.91
7.43,7.45,173.23,147.02,298.43
7.7,9.14,180.88,148.06,268.47
7.58,5.45,149.29,112.13,136.56
11.33,7.2,151.0,116.95,179.36
10.82,5.68,186.07,113.5,181.81
7.59,8.26,141.51,96.91,230.68
7.43,7.91,135.55,96.67,193.84
7.68,6.03,229.71,93.11,154.36
7.9,6.73,132.03,124.76,99.31
7.69,6.67,152.35,111.92,121.38
7.5,16.23,204.13,141.57,107.02
7.57,10.53,115.37,109.12,96.05
7.63,10.84,189.66,129.16,99.95
8.3,5.7,173.48,135.72,96.26
7.65,5.99,178.1,131.79,94.32
11.88,6.67,201.57,121.75,136.77
8.22,6.09,210.82,124.18,103.6
7.74,7.05,177.21,97.63,88.93
7.76,8.91,125.34,130.91,84.49
7.64,6.03,115.77,96.9,98.71
7.76,6.21,142.37,102.29,85.01
7.74,10.62,131.81,118.83,83.34
7.4,6.77,133.28,125.07,80.3
10.92,5.71,121.07,105.3,88.18
7.67,7.03,133.88,94.95,87.43
7.57,6.56,183.44,99.79,83.86
7.76,5.75,153.44,91.66,84.92
7.88,5.99,255.78,93.08,86.81
7.82,6.86,184.1,105.45,88.11
7.83,6.74,205.53,94.72,82.85
7.7,6.33,190.86,93.11,81.19
7.56,7.83,149.3,99.9,115.09
7.51,6.76,129.28,94.7,91.16
8.15,7.92,113.22,98.6,91.42
7.86,7.03,162.39,93.21,81.56
10.89,6.85,96.31,101.56,86.33
8.01,9.69,265.49,134.61,82.93
8.11,8.76,278.48,212.45,81.43
7.55,7.41,153.23,267.91,84.94
7.35,9.06,126.55,313.69,87.63
10.62,5.85,199.62,277.06,96.33
10.89,7.53,144.26,199.47,115.84
15.11,6.5,234.41,146.87,146.53
8.51,6.7,165.43,265.71,160.93
8.41,8.56,232.63,139.79,120.19
11.54,8.37,149.36,209.23,96.55
12.0,8.11,77.08,149.2,87.06
7.51,7.86,83.09,152.84,88.11
11.7,7.15,105.91,111.54,96.24
10.8,6.48,89.46,177.62,93.13
10.93,8.49,1053.47,156.79,80.29
8.4,9.26,77.26,113.69,93.91
9.5,1005.93,77.11,129.6,81.25
1009.96,5.45,78.04,104.22,88.66
7.43,8.87,78.03,110.93,102.27
7.05,8.34,79.74,124.5,90.99
7.4,7.03,74.86,118.29,116.15
3004.96,8.13,79.5,102.89,100.45
1009.84,5.47,147.94,98.72,108.38
7.31,1005.54,76.98,92.65,117.87
7.73,1005.04,84.13,108.42,93.02
11.86,5.61,84.09,99.3,131.01
8.1,7.53,112.25,94.4,99.22
7.38,5.69,89.96,95.01,93.61
1007.03,5.56,104.52,94.96,96.86
10.12,5.67,101.02,93.77,102.37
7.84,7.93,114.66,107.23,109.52
7.44,1005.0,118.43,98.26,100.98
10.71,5.61,241.56,92.13,99.46
7.37,8.12,85.79,93.98,98.04
7.45,5.59,115.52,96.04,102.45
10.58,5.69,92.54,93.73,172.22
1009.95,5.88,110.65,101.25,131.47
7.46,8.06,111.89,93.98,188.82
1007.24,5.71,94.3,97.06,207.23
7.53,7.77,101.17,96.64,114.68
7.38,6.05,115.47,118.29,186.07
7.22,8.14,84.59,92.77,104.18
10.5,1006.63,92.38,91.64,210.58
10.19,5.76,88.82,93.68,125.78
7.28,6.69,100.14,93.19,91.95
7.65,6.13,92.97,105.42,89.56
7.46,5.08,244.04,98.12,105.22
7.49,1008.78,248.13,94.28,171.37
10.02,11.42,239.15,93.96,184.12
7.39,7.68,184.09,107.92,96.84
7.49,12.09,220.21,93.58,86.22
1006.97,9.74,118.75,124.1,80.94
10.02,1012.14,78.06,94.79,92.16
7.4,8.72,112.39,95.44,98.45
10.24,6.07,77.08,99.87,109.94
7.39,6.02,76.79,98.34,89.85
7.49,6.19,3080.67,104.8,83.38
7.44,8.74,108.72,95.73,86.58
7.41,8.71,130.41,114.71,86.41
7.37,7.77,86.57,145.17,83.94
7.44,6.79,100.98,115.66,84.0
10.09,1007.34,108.7,284.06,83.11
8.24,6.61,87.37,243.28,86.03
7.46,6.31,216.19,257.83,100.23
7.4,6.03,90.38,164.04,82.63
7.73,10.02,88.02,247.2,81.64
10.17,9.06,118.59,198.64,83.18
1007.11,9.66,147.82,265.54,82.14
7.36,10.31,91.7,113.94,83.06
7.1,9.1,308.06,112.03,96.38
3005.02,9.25,121.09,111.19,84.83
7.51,11.11,134.65,129.08,85.45
7.5,9.22,115.62,121.01,83.75
7.27,9.63,88.96,113.38,81.24
7.78,1017.4,106.9,110.31,86.62
7.73,9.04,130.89,109.25,83.51
1006.99,9.64,79.42,129.13,84.46
3005.33,7.1,110.81,104.52,84.8
8.23,6.74,1074.55,118.65,100.26
