P-384,x448,hqc192,p384_hqc192,x448_hqc192
1206.22,1204.92,1251.68,1713.47,1704.78
804.73,3802.61,849.88,861.02,852.85
804.92,803.42,849.87,869.24,859.71
805.58,803.27,869.41,859.45,1302.83
805.7,803.15,849.56,858.74,854.82
805.1,803.49,865.22,866.94,853.24
811.11,803.1,1301.7,867.85,853.12
809.75,803.46,1301.41,858.45,854.9
808.09,804.25,849.66,860.95,1304.02
806.42,803.19,849.55,858.58,852.05
804.52,803.09,862.04,858.59,853.06
805.82,803.22,850.72,1309.08,852.28
804.46,802.98,865.28,858.39,852.96
805.58,803.55,850.27,858.69,852.45
804.52,803.21,1300.77,860.45,1277.81
804.83,803.29,849.5,874.56,1303.74
804.65,803.04,853.68,870.23,4208.16
804.46,803.18,850.29,1554.23,1303.44
805.87,802.85,850.62,858.78,852.63
804.76,803.3,849.67,859.63,1278.26
804.59,803.52,849.47,859.87,852.09
804.61,3806.16,849.27,860.32,5260.92
804.43,803.15,850.55,862.36,877.37
805.53,803.79,850.46,1308.53,1304.52
804.88,803.2,850.75,859.78,869.24
804.43,803.32,852.04,858.58,854.54
804.4,804.34,1250.3,861.25,1278.81
3803.12,804.25,1303.29,858.62,852.34
804.43,802.86,850.59,859.89,853.44
804.72,803.17,849.28,859.58,853.18
804.43,803.06,849.52,859.81,851.93
804.61,803.01,850.34,859.58,852.02
805.68,802.97,852.31,859.68,853.02
804.45,802.92,849.65,1309.4,1303.98
805.72,803.79,850.4,860.01,852.52
804.56,803.03,850.78,859.43,1548.42
804.52,2637.78,850.42,859.61,852.42
804.47,802.95,849.66,1285.46,852.32
804.36,802.9,849.44,866.6,852.25
804.63,803.72,852.89,859.64,852.15
804.64,803.73,850.62,858.29,853.26
806.37,803.38,864.66,860.55,851.88
804.29,803.05,849.81,876.71,852.05
805.5,803.01,850.88,1309.91,1305.37
804.74,803.13,850.33,877.8,851.85
804.53,803.12,1971.29,859.45,852.85
804.82,803.16,850.45,858.5,852.92
804.78,803.13,850.3,861.27,852.0
3803.55,803.15,1543.88,859.28,853.01
804.53,803.11,849.4,858.4,1302.61
805.81,803.08,849.63,1259.95,867.73
804.36,803.03,4208.57,859.24,853.44
804.86,802.94,4207.9,880.93,1301.65
804.49,802.95,850.7,1554.0,852.67
804.6,803.67,851.07,4365.18,852.01
804.88,802.83,849.64,858.36,1547.66
804.5,803.8,1300.85,860.31,852.08
804.47,2231.89,1300.29,859.41,853.25
804.73,803.62,849.34,1708.45,853.06
804.39,802.89,850.8,858.87,854.89
804.35,804.23,849.43,859.52,852.0
804.44,803.0,850.6,1309.64,852.03
804.48,802.9,850.72,1309.31,1305.42
4254.02,803.37,851.46,1308.45,853.05
805.64,802.87,849.55,887.92,852.02
806.27,804.41,849.0,859.59,852.98
805.61,803.01,864.45,859.32,1253.58
804.7,803.05,1277.02,858.49,1304.48
805.62,804.44,877.17,858.19,852.55
804.68,804.2,4208.2,861.91,851.95
3802.36,802.96,850.9,1259.94,853.13
2233.24,802.87,1291.44,858.22,851.96
804.4,804.36,850.0,881.48,851.98
2234.12,802.94,850.32,859.73,851.89
804.68,803.2,849.23,859.68,1303.7
804.71,803.12,1251.25,859.34,1320.17
804.66,803.72,1276.5,858.76,851.77
804.73,803.05,870.26,859.8,1304.61
804.61,802.94,850.66,877.53,867.06
805.36,803.22,851.95,858.25,1303.11
2233.44,2230.82,4795.72,860.29,853.19
804.55,804.33,850.04,1311.61,852.15
806.3,3801.42,864.14,859.69,853.35
804.62,803.2,850.28,859.9,4212.78
804.79,803.2,866.16,1709.87,868.34
804.55,803.1,849.27,866.04,863.16
804.56,802.98,849.11,858.07,852.98
804.83,4252.24,853.47,858.55,852.3
804.52,802.98,850.48,858.51,853.36
805.63,804.39,1249.81,1309.91,1277.76
805.78,803.14,850.83,858.24,1253.86
804.67,803.21,850.6,859.65,852.02
2233.52,803.08,849.46,1309.27,865.05
804.88,804.12,1276.63,877.5,1303.25
2233.58,802.98,849.16,859.69,853.06
804.83,804.18,1275.45,859.25,853.08
804.47,803.88,1250.83,858.32,854.4
804.71,803.03,850.49,859.75,2030.06
2233.55,803.16,850.55,859.3,1303.89
804.43,803.22,849.74,859.38,4211.47
804.87,803.11,862.75,859.61,878.23
804.45,2231.93,850.31,858.37,868.02
804.57,803.36,849.51,858.5,852.87
805.69,803.12,850.58,858.09,852.92
804.52,803.03,849.57,858.55,851.87
804.65,803.15,851.26,859.05,852.93
804.38,803.03,849.34,4252.85,853.07
804.53,803.19,849.67,1260.39,853.11
804.58,803.17,849.86,1309.39,853.26
804.55,803.21,852.28,858.52,853.1
804.61,803.21,1275.11,858.37,851.98
804.67,803.74,1300.2,859.69,852.98
804.44,802.9,849.72,858.47,851.81
804.55,803.46,849.53,858.22,851.87
804.97,3802.72,849.31,4217.35,851.85
804.86,802.94,850.7,859.38,852.02
804.67,803.4,849.16,1309.4,864.17
804.51,803.19,864.32,1285.65,853.1
805.55,803.14,849.14,858.2,852.09
804.78,2232.16,849.52,863.75,1278.94
