P-384,x448,hqc192,p384_hqc192,x448_hqc192
145.86,144.52,196.46,198.57,189.8
75.27,74.19,117.87,124.53,118.26
75.3,74.13,115.85,124.66,117.89
75.6,74.12,128.72,131.52,134.1
75.48,74.01,115.73,127.54,131.47
78.65,74.98,127.02,142.88,119.41
75.22,73.99,115.33,124.62,117.72
75.23,73.9,116.7,131.35,117.97
75.38,74.1,115.55,124.54,118.02
75.29,74.05,121.85,147.95,133.68
75.48,73.97,115.59,124.54,118.05
75.2,74.66,115.2,126.99,117.79
77.46,74.13,128.87,129.81,120.24
75.26,75.4,115.47,124.11,120.21
75.18,75.8,119.45,125.94,134.05
75.31,73.98,116.08,125.04,117.89
77.36,74.1,115.4,125.07,118.17
75.45,74.13,115.66,125.67,117.66
75.93,73.93,807.19,124.14,806.77
75.16,74.02,115.47,124.95,139.02
75.38,75.54,115.36,124.32,117.69
75.4,74.06,115.39,130.03,133.68
75.25,73.93,130.23,125.11,133.64
75.26,73.8,115.34,124.72,133.8
75.31,73.79,115.46,124.41,133.97
77.28,73.91,115.6,124.11,124.98
75.49,73.97,115.21,129.54,118.06
75.37,75.15,115.42,124.21,118.19
75.38,75.45,115.87,125.87,118.11
75.36,1074.08,119.29,124.28,118.43
75.32,74.95,129.45,136.51,117.99
77.31,74.09,115.27,124.61,117.93
75.74,73.88,127.52,145.41,118.09
75.24,75.68,130.68,126.72,133.68
75.3,74.57,115.32,129.98,118.32
75.15,73.92,115.54,124.46,120.33
75.36,73.82,115.69,124.6,117.74
75.24,74.77,115.38,123.95,117.82
77.3,73.97,137.1,124.27,118.01
77.37,75.44,118.62,131.06,121.38
75.2,74.0,115.33,142.49,117.6
77.76,75.42,115.18,124.46,118.48
75.27,75.63,115.38,124.12,118.21
75.42,76.22,115.39,152.96,117.55
75.24,75.62,116.41,124.68,117.98
76.01,77.07,130.16,134.43,118.01
77.44,74.09,115.62,124.11,133.5
75.13,75.46,132.72,124.93,121.98
77.49,73.81,115.37,143.59,119.88
75.41,74.41,115.25,124.27,133.83
75.26,73.83,115.62,124.36,138.39
76.46,75.31,115.7,124.35,118.87
75.25,73.89,115.51,133.0,118.58
75.28,73.97,115.89,124.75,117.77
75.29,73.89,115.14,124.38,118.24
75.33,73.94,130.27,142.59,118.04
75.28,73.94,115.4,124.23,118.51
75.36,73.91,116.09,124.93,117.82
77.27,73.95,115.78,124.55,118.35
77.53,73.87,130.44,124.36,119.68
75.24,75.61,115.33,124.61,117.86
75.38,73.85,115.14,125.82,118.27
75.19,1073.67,130.14,127.28,117.71
75.43,73.94,115.69,124.09,117.79
75.34,73.91,115.38,124.22,117.96
78.53,73.88,115.45,124.71,118.06
75.28,73.86,125.46,125.28,118.03
78.56,74.05,115.21,125.02,118.02
75.28,73.97,115.18,124.18,118.62
76.72,73.86,115.86,124.4,117.83
76.55,73.89,130.29,148.1,118.17
76.64,74.06,116.47,126.83,118.31
75.3,75.59,115.46,124.25,121.22
75.27,75.5,115.03,124.09,118.07
75.17,73.83,115.36,123.97,117.98
1074.77,74.02,115.35,124.48,117.8
75.39,75.48,116.02,124.27,117.81
75.39,73.88,115.27,124.31,118.04
76.59,74.03,115.3,124.6,117.98
78.49,74.14,130.18,124.62,117.98
75.3,73.81,130.72,136.45,117.82
75.44,74.19,115.44,143.63,117.9
75.19,73.82,115.36,124.44,117.78
75.32,74.02,115.54,126.77,117.75
78.53,73.89,129.76,124.47,135.37
75.23,73.82,130.45,143.66,118.02
78.51,74.02,126.04,125.99,118.0
76.83,73.9,115.25,124.22,117.74
75.16,73.91,115.18,125.18,117.75
1074.71,73.86,115.67,129.03,118.15
75.25,73.98,115.22,124.48,120.23
75.41,73.9,115.22,124.14,118.33
75.34,74.05,115.65,124.19,120.43
79.17,73.99,804.58,126.03,118.04
75.19,73.98,126.18,126.02,118.82
75.23,74.04,115.64,124.13,117.73
76.62,73.88,125.95,124.14,117.66
75.36,73.77,115.3,124.33,122.36
75.14,74.05,125.69,125.11,118.99
76.0,73.91,115.63,124.13,117.76
75.12,73.83,115.18,124.61,118.21
75.31,75.57,115.19,124.48,118.14
75.33,73.83,115.34,124.12,130.27
75.48,73.9,115.28,140.05,118.05
75.23,74.04,115.29,147.22,117.85
77.2,73.97,115.08,125.03,118.17
75.26,73.88,802.36,124.74,128.35
75.3,74.04,115.44,124.5,117.81
75.37,1073.46,115.11,124.37,118.14
75.38,73.91,119.17,123.92,117.62
75.34,74.01,115.56,124.15,118.47
77.06,1074.09,115.14,142.67,118.5
75.21,73.86,115.22,125.03,117.78
76.01,73.94,115.39,124.06,118.08
77.43,73.91,126.51,124.28,118.05
75.38,74.06,115.19,124.16,118.13
75.25,74.05,115.24,142.88,128.42
78.99,73.92,115.11,124.47,117.98
75.31,73.95,115.36,124.24,118.08
75.37,74.06,118.05,124.69,118.82
75.18,73.93,115.53,126.04,141.59
77.21,75.42,115.22,131.31,118.14
75.19,74.0,115.16,124.67,117.57
77.13,74.03,115.37,124.24,117.93
75.43,73.85,115.14,124.98,135.71
75.55,73.93,806.82,127.34,121.62
75.28,75.58,129.9,124.11,118.8
75.36,74.08,115.59,124.1,118.18
75.5,74.03,115.09,132.13,118.03
75.24,73.95,115.28,124.17,118.06
75.2,73.91,115.59,124.85,130.72
75.32,75.52,117.39,143.26,117.61
75.27,74.41,115.56,124.19,117.94
78.58,73.89,115.48,124.28,118.72
75.19,75.5,115.7,124.14,118.75
75.36,74.11,124.17,132.29,118.06
75.21,73.97,115.31,142.64,118.0
78.82,73.91,117.56,124.23,117.89
78.62,74.08,115.69,124.45,118.41
78.7,73.83,115.03,124.25,118.41
75.2,73.92,119.37,135.22,118.16
78.49,74.17,116.22,124.52,117.8
75.38,75.09,115.43,124.9,117.81
75.43,73.87,115.42,124.49,117.81
75.23,74.11,115.08,124.32,117.92
78.74,75.45,115.08,124.06,117.73
75.36,73.95,115.17,124.49,117.8
77.29,73.94,115.41,124.27,117.73
77.34,75.33,115.62,124.25,118.86
75.28,73.84,117.87,127.02,118.63
75.17,73.99,115.23,124.26,119.77
75.69,73.95,114.96,807.14,117.88
77.34,74.33,115.24,124.57,118.52
75.27,73.99,115.28,160.59,118.08
75.22,74.36,122.78,127.89,135.02
75.26,74.01,116.16,126.03,127.85
75.32,73.97,115.67,124.23,117.79
76.81,73.76,115.18,124.38,117.8
75.41,74.02,117.31,125.97,117.85
75.41,73.87,121.3,128.38,117.69
75.31,73.96,134.99,124.31,117.83
77.41,73.91,115.4,124.46,118.47
1076.44,76.39,115.36,124.19,117.85
75.45,73.84,115.46,124.23,118.59
75.23,73.95,129.75,143.55,118.32
75.38,74.02,117.19,124.23,118.04
75.27,74.07,125.85,124.25,117.94
75.34,73.81,117.53,124.08,117.76
75.44,73.86,115.31,124.51,118.54
75.19,76.17,802.38,124.15,118.31
75.35,73.81,115.7,124.35,117.81
