P-521,hqc256,p521_hqc256
805.82,2321.89,2323.73
405.61,1747.89,1938.69
405.47,1912.2,2686.03
405.38,1919.82,1741.55
405.26,1912.07,1921.13
405.6,1913.99,1942.11
405.24,1912.3,1920.85
405.78,1919.76,3143.2
406.85,1740.85,1923.1
405.37,3568.17,1919.91
407.05,1930.25,1920.59
406.72,1911.18,1919.96
405.75,1912.83,3219.35
1404.89,1911.54,1930.63
1404.96,1923.58,1919.88
405.23,2678.01,2684.73
405.2,1915.04,1930.59
405.27,1911.85,1933.08
405.48,1911.69,1920.42
405.26,1915.12,2728.79
405.41,2755.53,1920.39
405.57,2905.39,1938.42
405.4,2686.31,2695.36
407.59,1912.17,1930.31
407.37,1911.68,1920.23
1405.08,1732.93,1920.13
405.34,2864.79,1930.59
405.21,1911.86,1926.45
405.24,1740.92,1742.21
405.29,2857.9,1920.33
407.41,1912.26,4140.28
1404.62,1911.63,1920.02
405.16,1911.44,2470.81
405.32,1924.23,1920.72
405.21,1912.25,1920.91
405.38,1922.22,1920.18
405.2,1921.77,3712.2
407.52,3176.11,1920.41
405.29,1929.99,1921.14
405.3,2678.15,1919.94
405.26,1912.39,1920.09
405.38,1927.76,1942.06
405.36,1911.8,1920.38
406.14,2610.13,1920.41
405.22,1919.07,1919.94
1404.82,1732.71,1920.14
405.25,1911.32,1921.16
405.33,1911.26,2470.53
405.32,1913.14,1919.77
1404.86,2678.85,1920.08
405.38,1912.17,1920.01
407.41,1929.6,1920.52
1404.65,1911.98,1741.65
405.37,1911.81,1919.89
405.21,1911.91,2866.05
405.43,1912.6,1920.13
405.35,1919.41,1919.92
405.24,1914.36,1920.83
405.34,1912.31,1920.23
405.32,1914.85,1741.22
405.29,1912.81,1741.38
405.27,1919.31,1920.47
405.29,1912.08,1742.37
1406.8,1917.18,2694.29
407.37,1914.06,1923.35
1404.68,1751.22,2684.46
405.43,1922.93,1921.11
405.4,1911.31,1920.01
405.3,3713.27,1930.87
405.36,1911.54,1741.82
1404.55,1933.34,2618.85
405.23,1911.6,2867.85
407.63,1913.13,1920.8
405.72,2610.09,3978.26
405.22,1911.82,1920.96
405.29,2678.03,1920.76
405.4,1920.2,1919.73
405.42,2866.61,1921.34
407.62,1912.19,1921.66
409.57,1911.76,2686.55
407.34,3089.16,1979.7
405.34,1923.09,1928.08
405.22,1732.61,1920.34
406.56,1732.54,1920.23
1404.62,1922.12,2866.76
406.55,1911.88,1919.7
406.69,1920.53,1743.41
405.39,1912.53,1922.39
1407.23,1911.71,3615.48
405.3,1911.6,2685.99
405.54,3162.9,1931.24
405.37,1911.41,1932.23
407.4,1911.66,1919.86
1404.64,1919.77,1930.49
405.27,1911.88,1919.56
405.23,1922.1,1744.18
407.42,1911.95,1920.13
408.69,1732.63,5111.18
405.41,1923.32,1919.73
405.24,1929.8,1931.26
407.33,1913.11,1920.18
405.25,2869.18,1920.3
405.29,2685.51,1919.79
1407.4,1911.97,1930.58
406.95,1921.62,1920.15
405.76,3312.61,1919.7
1404.59,1913.9,2684.46
405.42,1911.49,1930.6
405.35,1919.24,1920.0
405.24,2689.35,1920.14
405.28,1930.76,2618.26
405.31,2681.83,1920.3
408.65,1911.82,1747.72
405.35,1926.92,1930.32
405.46,1911.47,1923.68
405.38,1911.48,1920.42
405.38,1911.07,2687.01
406.48,1915.83,3712.16
407.41,1919.81,1919.97
406.65,1918.19,2687.84
405.25,1911.2,1921.28
405.34,1911.64,1919.74
1404.76,2738.66,1920.17
1406.03,1933.54,1919.91
405.23,1935.83,1944.17
405.25,1943.65,1920.69
406.49,1917.11,1920.49
405.38,1911.69,1741.13
405.31,3905.33,1920.87
1406.62,1916.81,1920.92
1404.67,1911.61,1741.12
405.25,1916.16,3713.17
405.45,1935.14,1919.73
405.3,1911.71,1741.15
405.25,4276.01,1741.54
405.26,1912.03,1919.87
405.2,1912.22,2746.99
405.31,1921.85,2865.95
407.33,1911.41,1920.0
405.21,1916.94,1920.23
405.47,1920.22,1941.63
405.34,1918.48,2866.41
405.27,1922.15,1920.19
405.26,1742.7,1920.19
405.19,1911.8,1919.99
405.24,1930.36,1920.81
405.33,1911.55,1919.56
405.2,2686.03,1920.28
405.23,1911.93,1920.58
406.45,1929.96,1927.12
407.29,1912.19,1943.93
406.57,1736.91,1920.08
406.01,1911.92,1920.16
405.46,1920.07,3120.19
1404.67,1915.72,1920.34
406.57,1911.25,1919.88
405.85,1915.98,1922.53
405.27,1913.26,1919.98
406.64,1921.68,1922.39
406.63,1923.61,1921.33
405.21,1911.25,1920.75
405.23,1911.97,1919.78
1404.73,1912.11,1919.91
1404.92,1919.27,1921.7
405.1,1914.26,1919.63
405.59,1911.62,1920.01
405.6,1921.54,1920.14
406.55,3901.28,2685.88
405.77,1911.89,1920.06
406.44,1931.98,1920.45
405.19,1912.03,2684.82
405.26,1911.77,2739.38
1405.06,1914.37,2684.41
407.37,1911.42,3711.82
405.29,1911.85,1923.02
405.33,1911.33,1920.19
405.37,1911.65,1919.93
1404.63,1933.1,1920.67
405.34,1912.17,1919.9
405.36,1911.3,3602.47
1404.61,1733.13,1934.02
405.43,1911.95,1919.98
405.37,3520.77,1741.73
405.29,1914.22,1922.07
405.26,2693.08,1920.32
405.22,1913.56,1919.81
405.45,1923.05,1920.27
408.62,1919.85,1920.99
405.33,1930.52,2684.75
405.4,1918.08,1921.86
408.58,1910.9,1920.88
405.19,1916.01,1921.09
405.47,3137.95,1922.37
405.36,3984.91,1919.93
405.35,2737.7,3143.07
405.31,1911.61,1922.94
405.44,1925.23,2472.38
405.32,2678.28,1919.82
405.24,2857.56,2767.89
405.32,1917.05,1922.18
405.28,1914.87,2867.02
405.3,1911.99,1941.15
405.33,1911.4,3319.36
1405.22,2678.42,1743.84
408.53,1913.76,1923.12
405.26,3599.67,1922.89
405.33,1911.18,1922.44
405.32,1911.92,1927.02
1404.67,1911.56,3714.99
405.31,1911.35,2752.04
405.81,1911.7,1744.95
1405.14,2678.64,1924.63
405.24,1911.76,1921.98
405.35,2856.3,1925.49
405.45,1911.65,2685.52
405.32,1911.38,2689.03
407.42,1912.0,1920.89
405.27,3905.09,1931.95
405.3,4591.81,1934.38
405.33,1911.89,1921.59
407.35,1912.01,1921.98
405.29,3134.64,1924.0
407.34,1919.52,1922.62
1406.03,2679.07,1922.39
405.24,1911.31,2696.44
405.22,1911.46,1930.19
405.24,1911.82,1925.61
407.42,1911.6,1743.95
405.56,1914.9,2762.81
405.44,1911.35,1922.3
405.28,2737.55,1923.68
405.19,2678.19,2756.56
405.24,2737.26,1924.2
405.23,2680.92,1922.53
405.71,1911.39,1933.44
405.32,1913.23,2686.17
405.32,2680.31,1923.5
405.37,1914.25,1928.64
405.29,1927.16,3184.88
405.27,1929.63,2698.75
405.21,1912.04,2472.84
405.19,1945.41,2686.68
405.59,3705.86,1931.72
405.33,1911.42,3108.98
405.34,1912.01,1932.86
405.36,1911.73,1746.2
405.33,1911.09,1921.01
405.3,1911.4,1923.5
405.39,1932.06,1922.95
407.45,1911.36,1921.09
405.51,1926.95,3268.58
405.31,1912.23,1926.71
405.25,1732.82,1920.79
405.3,1911.65,1923.01
405.36,3224.62,2695.43
405.4,1732.26,1922.19
405.23,1911.81,1925.82
405.38,1911.21,1926.41
405.31,1911.72,1921.47
405.32,1912.12,1922.52
405.32,1911.0,1922.33
407.36,2761.62,1924.73
405.31,3234.92,1922.67
405.32,1911.54,1921.83
405.3,1911.28,2751.08
405.27,2721.61,1920.43
405.31,1913.9,1921.3
405.39,3161.06,1921.31
