P-521,hqc256,p521_hqc256
6.1,96.15,96.96
6.51,82.59,103.94
6.92,91.72,92.22
5.55,83.16,91.74
4.92,82.94,104.85
6.1,81.76,90.18
5.2,90.69,91.0
5.25,83.25,92.67
7.2,88.14,105.61
5.05,82.34,91.32
5.18,99.06,90.42
4.94,83.41,93.25
5.85,83.07,91.48
6.22,82.47,90.72
8.02,81.83,90.3
5.43,80.97,93.82
5.01,82.78,104.15
5.57,82.31,101.17
5.56,92.58,92.01
5.71,83.5,94.4
5.24,82.67,119.67
6.26,92.83,102.02
5.75,88.62,91.21
4.9,93.83,92.04
5.61,93.12,96.26
7.13,81.3,91.82
6.19,105.82,93.32
5.62,82.52,90.7
5.12,93.97,91.71
5.73,82.37,94.33
4.95,82.8,91.41
5.5,82.8,105.3
6.43,82.9,92.23
5.0,95.82,91.88
5.8,81.62,91.73
4.99,81.98,91.95
5.0,82.51,92.05
5.43,82.61,93.16
4.94,82.54,90.49
5.28,82.28,104.69
5.17,85.73,98.34
7.62,82.67,90.37
4.96,81.85,90.84
6.42,81.13,92.73
5.06,81.35,91.15
5.01,94.48,91.96
6.57,82.69,92.42
4.99,81.99,90.62
6.85,82.66,90.47
4.99,85.04,101.31
5.54,83.2,91.64
4.92,82.48,103.62
5.43,81.19,93.86
5.0,95.17,92.15
4.98,82.0,91.91
5.16,83.04,91.28
4.96,84.06,90.5
5.38,83.05,90.06
5.0,83.08,91.59
5.65,81.87,91.02
4.93,82.44,102.69
5.62,83.37,98.99
4.95,81.28,91.64
5.61,81.8,91.1
6.99,81.82,92.22
5.03,82.77,90.68
4.99,82.94,90.86
4.97,82.32,91.52
5.0,92.33,91.89
7.17,82.99,90.87
7.69,82.43,97.59
5.01,81.22,90.73
7.04,81.3,92.3
7.52,81.65,90.84
7.25,83.05,90.23
4.94,82.61,92.47
5.64,82.36,93.2
4.94,82.62,91.95
5.66,94.83,90.85
4.96,82.2,91.79
5.41,83.07,91.34
5.0,81.46,93.32
7.36,100.09,90.65
5.17,81.89,90.21
4.99,82.22,91.04
5.08,81.69,90.82
7.04,82.19,91.1
5.39,82.84,91.79
4.83,87.09,94.28
7.57,91.57,93.2
7.19,81.72,90.97
4.94,80.97,89.9
5.58,81.31,90.12
4.91,82.99,91.46
5.67,82.37,90.84
4.93,82.92,91.82
5.64,82.84,91.28
4.94,82.85,92.98
7.42,82.22,91.35
4.94,82.55,90.75
4.93,81.13,90.39
5.29,81.66,90.32
7.16,82.58,91.05
5.11,83.39,91.28
5.31,81.58,92.03
7.14,98.01,92.05
5.52,82.65,91.86
4.9,81.56,91.09
5.79,82.97,93.15
5.44,81.99,90.14
5.14,81.09,89.75
5.21,81.08,91.2
4.92,85.1,91.97
5.01,98.19,91.32
5.02,90.8,93.37
5.14,83.95,91.09
5.0,82.53,93.72
4.91,83.03,90.8
5.74,82.64,91.14
4.98,80.85,89.83
5.02,81.21,100.95
5.0,82.24,93.22
5.11,83.89,92.44
5.05,82.22,92.48
7.21,82.9,90.96
5.07,82.47,93.06
6.09,82.24,92.04
4.92,83.44,89.74
5.52,83.04,89.82
4.95,81.13,92.07
5.16,82.21,102.24
5.23,82.93,91.7
4.96,97.51,91.72
5.63,90.41,91.13
4.93,84.97,99.33
5.67,91.93,90.75
4.94,90.61,105.72
7.01,83.15,93.44
5.61,81.0,91.39
5.0,82.62,91.31
6.36,81.92,97.88
5.8,91.34,92.44
4.94,81.78,102.49
6.78,91.02,90.62
4.97,88.69,90.63
4.94,82.08,90.0
5.21,83.05,91.94
5.17,81.39,90.92
5.56,81.22,93.3
5.09,82.84,102.44
5.69,82.12,91.12
5.1,83.07,91.06
4.93,82.86,92.54
5.25,82.44,93.0
4.96,83.72,90.11
5.87,104.97,90.93
5.06,82.18,91.43
5.93,83.81,90.75
7.03,88.46,91.03
5.11,82.35,92.31
5.04,85.75,91.13
5.14,81.92,118.4
5.07,82.07,91.16
5.13,81.78,92.31
5.82,81.66,91.9
4.95,82.07,92.58
5.84,81.93,91.17
4.88,101.29,109.76
5.27,81.93,92.26
5.0,109.11,91.77
8.96,82.39,91.54
5.75,83.06,89.93
7.03,83.39,91.47
4.94,83.4,92.14
5.56,82.43,91.61
4.96,81.11,92.17
5.64,91.72,91.15
5.1,81.31,91.4
5.63,89.32,91.25
4.93,82.28,90.71
7.45,82.78,91.28
6.0,90.15,91.59
4.95,82.84,102.6
5.51,82.62,101.36
5.04,83.33,92.94
5.66,100.93,91.72
5.07,81.83,91.84
4.98,82.3,91.42
4.99,83.95,89.93
4.95,82.97,90.37
7.67,82.74,91.34
5.0,81.42,93.0
4.97,105.52,91.45
5.0,81.68,91.84
5.17,81.3,91.7
5.32,81.29,92.13
4.93,81.77,91.83
5.37,82.09,89.95
7.21,82.59,91.35
5.22,102.13,91.7
4.88,82.61,90.94
5.66,82.89,91.29
4.97,82.45,92.95
5.66,90.55,91.47
4.89,81.97,102.06
5.14,82.25,91.75
5.0,82.58,93.45
7.01,82.23,90.8
5.58,83.19,93.61
4.97,81.91,101.31
5.22,82.11,100.86
5.06,82.06,91.69
4.97,82.24,93.06
5.19,81.37,92.27
5.11,80.99,105.39
5.42,82.56,102.58
4.91,81.81,91.09
5.65,85.23,105.24
5.0,97.53,91.09
5.49,81.81,92.45
4.99,83.1,91.85
4.97,103.69,93.85
6.08,82.57,91.1
5.05,82.27,114.19
7.68,81.48,91.39
5.09,82.81,109.46
4.96,82.39,91.46
7.5,81.51,92.43
5.01,81.88,91.7
7.07,82.78,91.36
5.66,82.8,113.98
7.88,94.05,112.57
4.92,81.09,98.55
5.46,81.1,91.81
5.06,81.65,93.66
5.18,83.31,91.68
5.2,83.16,90.69
4.95,81.79,100.75
5.04,82.52,90.55
4.91,82.81,90.68
5.17,82.51,92.74
4.98,82.01,93.96
6.11,81.52,109.74
4.98,81.36,91.93
5.66,89.87,91.63
4.96,83.94,98.11
5.21,82.9,109.9
5.05,82.88,91.87
4.93,83.36,89.84
5.8,83.0,91.15
4.91,81.69,91.81
5.61,81.61,91.69
4.96,81.72,92.5
5.64,89.58,118.22
5.46,82.28,91.19
5.04,82.53,92.57
5.01,82.87,92.57
5.19,83.17,110.56
5.54,81.91,90.54
4.98,81.8,91.31
5.71,82.56,102.75
7.0,80.98,90.94
6.17,81.83,100.47
7.08,81.75,91.76
4.93,83.84,107.33
5.27,81.88,90.98
5.24,108.99,90.73
5.52,115.14,91.13
4.96,83.43,91.4
6.67,83.1,95.54
5.0,81.39,91.31
6.67,81.4,92.15
4.98,82.82,91.52
4.95,105.69,90.87
4.95,83.34,102.66
4.97,83.58,90.81
5.0,82.85,104.8
5.13,83.34,101.77
5.0,82.18,92.69
4.96,81.95,91.04
5.56,87.0,92.28
5.0,84.43,92.1
5.77,82.7,100.54
4.99,81.7,97.89
5.72,81.79,90.55
5.06,82.26,92.18
7.17,82.96,91.35
7.43,82.83,93.53
4.96,81.93,101.48
7.36,81.16,103.25
7.48,81.01,96.93
4.95,96.93,90.67
5.72,84.3,90.67
4.98,82.48,91.71
5.11,82.11,102.53
7.07,83.93,104.44
4.96,82.62,91.67
5.56,82.39,92.27
4.95,82.02,104.42
7.38,100.14,90.0
5.01,80.84,91.89
4.96,82.44,91.41
5.24,83.02,91.53
4.94,83.11,92.14
5.89,83.43,90.89
6.33,83.13,90.88
6.62,82.9,92.04
5.61,82.43,92.9
5.01,81.13,90.37
6.98,81.54,92.27
7.55,88.46,91.53
4.96,81.86,93.1
4.99,81.85,92.79
5.19,82.68,91.87
4.99,93.22,101.75
5.16,85.64,91.28
7.0,82.98,91.42
5.64,82.52,90.02
5.08,82.21,98.36
5.21,81.63,105.92
7.45,83.4,102.7
4.95,84.41,99.4
6.93,83.29,91.99
5.65,90.91,93.0
4.91,98.89,91.76
5.55,82.46,90.87
4.97,100.52,94.16
4.93,91.61,102.59
5.05,81.36,91.25
4.92,82.31,91.59
5.66,84.7,93.05
5.01,93.18,92.86
5.72,82.46,91.08
4.99,90.49,91.58
4.98,82.77,90.15
5.62,82.81,89.91
4.96,82.01,91.47
5.75,80.79,91.48
5.02,82.54,91.1
4.95,95.33,92.14
5.8,89.84,91.94
7.03,83.23,103.28
5.14,91.26,91.28
5.0,108.68,90.09
5.03,81.94,91.19
4.93,82.44,102.14
7.01,81.25,91.75
5.51,81.76,90.61
4.93,82.45,92.61
5.44,83.93,91.0
4.97,82.63,105.28
5.57,102.37,90.35
7.06,83.2,90.02
6.96,82.53,92.36
5.56,82.15,91.84
4.86,84.27,93.42
5.14,81.87,98.09
5.8,83.79,106.75
4.96,83.8,102.87
7.14,83.46,99.35
6.63,87.42,90.21
4.92,81.98,90.06
5.14,82.07,103.85
4.92,85.05,91.86
7.68,103.95,91.67
4.96,82.05,91.59
5.27,82.17,92.19
6.99,104.41,93.33
5.61,85.67,92.47
6.24,83.0,90.13
7.36,94.46,91.15
5.2,82.27,90.77
4.95,82.94,90.87
7.11,105.96,91.64
5.79,81.5,92.92
4.92,81.99,102.0
7.54,82.85,91.56
