P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
14.1,2.98,18.55,26.51,17.87
7.46,2.42,17.82,23.1,17.7
6.5,2.29,17.95,22.55,17.54
7.39,2.27,18.24,23.23,18.13
6.26,2.23,18.15,23.81,18.26
8.16,2.26,17.94,24.04,18.57
7.49,3.95,17.87,24.22,18.43
6.18,4.02,18.03,23.72,18.07
6.51,4.26,19.55,23.64,17.46
6.47,5.05,17.76,22.78,18.11
6.87,6.58,18.06,22.55,18.93
3.14,5.25,18.87,22.32,18.31
2.56,4.15,17.74,22.66,19.21
3.6,4.26,18.06,22.21,18.02
3.62,4.1,18.54,22.94,20.23
2.97,4.1,18.2,22.18,17.58
2.73,4.37,18.08,21.34,17.97
3.19,4.63,19.28,21.15,17.57
3.41,4.1,17.98,22.13,18.92
4.23,4.07,17.77,23.42,18.37
3.22,4.1,18.37,23.17,18.82
3.12,4.44,18.47,24.02,18.53
3.73,4.13,17.81,23.07,18.11
3.3,4.7,17.75,22.36,17.6
3.45,4.18,17.57,21.99,18.4
3.46,4.11,19.26,21.95,18.33
3.46,4.04,17.51,22.37,18.66
3.23,4.87,17.74,22.09,17.42
3.31,4.65,18.47,23.24,17.82
3.81,4.0,18.67,23.15,17.97
3.31,4.09,18.67,25.02,18.42
3.24,4.53,17.59,22.39,18.02
3.88,5.03,17.37,22.24,17.87
3.84,4.96,17.89,22.42,17.23
3.11,4.29,17.76,22.27,17.89
3.51,4.17,17.64,22.99,17.66
3.37,4.64,17.96,21.73,16.84
3.98,4.79,17.92,22.09,18.1
4.24,5.68,17.83,22.52,17.6
4.04,3.98,17.5,23.15,17.94
4.13,5.58,17.52,22.43,17.92
4.29,4.54,17.76,22.07,17.86
5.28,5.8,18.23,22.55,17.46
4.0,5.03,18.03,23.27,17.96
4.18,4.04,17.9,22.37,17.98
4.29,4.09,18.1,22.79,17.58
4.12,4.13,17.43,24.9,17.66
4.6,6.16,17.81,22.38,17.83
4.71,5.86,17.93,22.62,17.32
5.44,4.85,17.39,22.33,17.63
6.49,4.56,17.63,23.18,17.49
7.01,5.56,18.08,22.7,17.68
5.59,4.64,17.7,22.38,17.23
5.84,5.9,17.93,23.31,17.83
6.92,6.46,19.18,23.23,17.85
5.7,5.06,17.88,24.18,17.64
5.47,6.06,18.0,23.05,17.62
6.82,5.71,17.28,22.88,16.66
5.83,5.14,17.69,23.02,17.3
6.03,4.92,17.25,20.91,18.11
5.68,5.65,16.62,22.03,18.26
5.35,6.63,16.85,22.5,17.67
7.14,5.17,18.15,22.84,16.97
5.44,6.57,17.95,21.65,16.73
5.89,5.0,17.47,22.66,16.76
6.19,6.02,17.91,22.62,17.24
5.64,5.52,17.45,22.14,17.86
6.3,5.89,17.27,24.01,17.12
5.37,5.92,17.34,22.17,17.84
6.54,5.55,18.61,21.37,18.11
5.95,6.46,17.29,22.81,18.36
5.33,5.5,17.6,21.8,17.77
6.35,6.59,18.19,22.36,16.53
5.79,5.84,17.32,21.96,16.29
6.06,7.4,16.95,22.25,16.77
5.37,7.64,16.76,22.48,16.17
6.43,7.51,19.27,21.82,16.71
8.24,8.03,16.57,21.75,17.89
6.08,6.52,17.2,22.2,17.05
8.43,6.49,16.98,21.65,16.98
6.09,5.11,17.37,21.89,17.71
5.82,5.34,17.25,22.0,17.05
5.77,6.21,17.84,21.28,17.55
6.79,5.4,17.43,21.16,17.37
6.1,5.1,19.34,22.33,17.32
7.64,5.52,17.54,22.02,17.7
8.27,5.19,17.1,21.5,17.27
8.74,7.08,19.93,21.31,17.48
6.07,6.16,16.41,21.05,18.43
6.3,5.11,16.58,20.86,17.65
6.13,6.48,16.18,21.92,17.94
5.6,5.77,16.5,21.63,17.69
6.62,5.31,15.89,20.96,17.48
5.85,6.18,16.18,20.62,18.04
5.25,6.52,16.48,23.36,19.23
6.8,6.1,16.98,21.29,17.86
6.81,207.55,21.16,21.59,18.21
5.32,416.41,16.24,21.85,18.39
5.35,420.83,17.02,21.79,19.35
5.77,1227.94,17.28,21.57,18.21
5.71,6.81,17.71,21.56,17.51
6.12,5.71,16.87,22.21,17.57
5.41,1023.31,18.2,21.26,17.95
2.83,5.62,17.22,22.2,17.48
4.56,214.69,17.06,22.04,18.18
2.9,1010.96,16.93,22.12,17.51
2.67,8.43,17.79,21.45,19.11
2.67,4394.77,16.29,22.59,16.39
2.67,1053.65,16.33,21.46,18.95
2.92,1259.85,17.45,20.9,17.58
2.71,2268.37,16.23,22.14,17.64
3.61,6.53,17.35,21.26,17.48
3.73,5.79,17.13,21.13,17.72
2.82,1008.0,16.59,21.18,16.3
4.12,6807.05,16.76,21.46,16.8
4.62,3102.88,17.5,21.95,22.25
3.27,7190.35,17.35,24.68,21.62
2.69,1481.41,17.06,21.99,17.05
2.71,2.11,17.03,23.14,17.88
2.67,1028.18,16.95,20.69,17.57
3.23,1649.78,17.02,24.14,16.85
4.25,5.99,16.74,20.7,16.25
3.33,6.21,17.02,21.82,16.84
3.75,6.49,16.67,21.42,16.48
4.88,13207.48,17.45,21.25,16.87
3.25,213.16,16.45,22.47,16.64
3.21,7.13,16.39,22.43,17.03
4.09,1027.06,16.49,24.7,17.21
3.2,209.96,15.69,21.29,18.21
3.25,5.73,15.78,20.7,17.87
3.3,3272.16,15.98,21.68,17.5
3.41,1055.79,15.85,21.71,17.91
3.27,420.41,16.31,21.21,18.81
3.22,1037.51,16.2,21.1,18.02
4.36,6.57,16.72,20.84,17.6
3.26,419.96,16.99,20.91,17.52
4.58,5144.99,17.37,21.05,16.91
4.05,3097.42,17.41,21.14,17.24
6.19,2.38,16.41,21.52,17.08
7.56,414.58,16.23,21.13,16.97
6.14,2.8,16.46,21.0,17.58
5.87,2496.72,17.1,21.06,17.09
7.84,6.73,16.42,21.82,17.24
5.36,1049.52,16.54,21.1,17.12
6.01,3101.65,17.1,21.28,16.67
5.94,2.71,16.32,21.27,16.44
6.31,2073.79,17.19,21.33,17.17
6.28,2.55,26.9,23.59,16.55
6.14,4.14,17.1,21.5,16.03
6.33,4.98,17.36,23.54,16.55
8.0,1037.01,17.29,21.1,16.16
6.44,1007.81,17.33,20.4,16.79
10.41,1069.47,18.94,21.97,15.95
6.19,2278.89,17.45,21.5,16.53
5.35,213.37,17.05,22.05,16.51
5.68,6.82,16.73,23.56,17.15
6.93,7654.84,16.88,22.48,17.69
5.98,6.28,16.66,20.93,18.12
5.37,1014.82,16.48,20.99,18.16
5.82,5.88,15.8,24.93,17.66
6.5,6.15,16.52,26.19,16.95
5.91,5.91,16.33,20.73,19.51
5.6,6.83,16.53,23.43,17.16
6.05,213.71,16.4,21.5,23.37
5.65,6.02,16.79,21.36,17.01
5.48,6.1,16.34,23.73,16.62
7.47,213.05,16.95,27.36,16.46
6.89,5.77,17.18,21.88,16.45
5.64,1027.32,16.77,20.86,18.14
6.87,7.36,17.31,1682.67,17.8
7.06,1423.23,16.64,23.77,16.99
5.63,6.19,16.83,2079.95,17.2
6.01,6.24,16.76,432.89,17.42
6.26,423.64,16.25,1495.56,17.08
5.48,210.87,17.71,29.89,17.71
5.34,7619.92,16.82,17528.4,17.49
6.22,5.7,16.04,3376.82,221.65
6.16,6.22,17.0,4654.8,224.34
5.48,1267.12,17.31,1520.23,2085.82
6.03,207.75,20.46,3185.93,1503.0
6.17,7.18,244.89,24.43,19.27
5.39,214.85,1494.62,22.9,216.56
2.85,210.19,26646.13,461.19,1288.72
2.24,6.26,28.11,1659.13,24.28
2.24,5.96,666.36,4192.03,2527.93
2.66,6.21,3146.23,3144.32,4851.59
2.5,1014.49,18.46,3363.83,27.48
2.65,6.47,657.9,1331.36,464.53
4.57,6.29,26.78,2769.24,3174.98
3.67,6.4,1087.27,1505.11,242.24
4.36,214.19,224.03,23.43,25.19
3.7,210.21,1697.34,1898.16,3097.89
3.9,5.82,2324.66,1282.17,52937.44
5.99,3070.9,18.76,24.0,27.32
6.47,206.65,218.76,2900.47,18.16
5.54,2.22,1504.5,2561.2,2129.64
5.37,2.33,26.13,258.59,840.68
5.36,415.89,247.68,437.4,22.33
6.15,209.32,2355.55,4191.36,22.58
6.48,2.59,19.3,2995.06,23.38
5.4,208.45,17.82,874.33,15254.24
6.06,416.62,18.12,29.29,464.67
6.51,1232.32,1101.03,261.36,4125.51
5.4,1059.55,26.94,25.09,1705.89
6.12,6.58,831.35,6406.27,2108.95
6.78,1839.83,1120.64,1280.84,242.8
5.41,5.72,28.59,2076.34,4177.88
6.23,215.27,1675.4,1530.39,427.1
5.9,2685.07,23.7,29.41,1077.58
5.67,211.95,250.24,29.66,46.15
3.82,1051.88,33.87,1302.34,27.32
2.36,210.0,252.85,1319.71,334041.79
2.1,1061.65,18.64,1534.65,1729.5
2.28,1052.12,254.08,259.66,1930.84
2.27,831.21,1719.27,1715.88,1506.92
2.67,5.93,20.82,37.74,1700.94
2.69,6.25,2752.06,1726.83,21.37
2.71,1047.52,3142.04,224.33,21.51
3.19,418.39,670.44,3751.53,2126.95
4.0,419.11,19.5,2328.02,235.09
7.74,1032.5,659.34,251.05,29.27
5.68,214.91,27.68,2146.2,19.62
5.45,6.04,248.75,11389.6,1531.17
5.92,7.0,34.77,3016.04,1519.45
5.7,5.8,27.35,1282.52,34.05
4.2,5.72,658.2,1069.05,31365.29
2.83,6.4,3778.51,3554.8,1515.67
2.8,214.58,18.15,257.98,1083.59
2.85,5.77,215.27,28.24,26805.49
2.88,1068.4,1695.19,255.17,2094.57
4.44,213.7,18.34,1088.13,435.61
6.24,5.83,1067.03,23.82,27.89
6.69,6.56,225.17,3594.71,1297.76
5.47,7618.46,6407.87,29.36,19.26
6.4,6.81,441201.04,1319.72,17.76
2.79,1217.78,4786.21,1276.68,9528.28
2.42,828.38,857.94,262.43,1334.91
3.69,7.08,2150.57,224.29,1939.22
2.44,214.71,19.95,1515.61,1070.05
2.36,5.83,1514.14,1314.17,254.08
3.17,5.61,33.87,29.4,2758.46
5.67,421.22,22.55,3973.17,26.76
5.5,211.48,18.82,26825.52,4617.13
6.48,209.75,211655.64,1283.17,1485.53
5.65,6.03,34.22,27.05,2759.32
5.42,1458.57,1715.69,2297.82,252.46
5.32,15096.63,19.2,13185.38,34.11
7.41,5.88,1088.45,2955.62,18.13
5.9,1890.51,2264.2,15047.74,18.7
7.01,6.24,25.09,2760.07,1715.7
5.41,827.23,17.8,1521.77,2537.07
5.31,3097.2,2510.15,2540.77,1728.9
6.7,1046.87,1307.37,6794.35,427.67
5.65,213.82,427.22,57343.96,226.21
6.06,213.56,24.27,29.95,35.27
6.38,5.56,7641.9,29.26,875.94
5.64,6.88,470.37,1278.35,7259.32
5.62,5133.6,27.34,840.36,426.05
5.7,1053.05,1074.76,2324.31,3747.23
5.61,1259.11,1854.25,224.36,1506.72
6.37,6.88,35.07,2742.35,257.47
6.14,3313.3,215.51,4781.33,3353.86
5.37,5.66,4556.6,232.3,1724.66
5.41,823.83,1105.12,36.92,6397.75
6.9,5.84,3112.61,1315.25,5407.89
6.03,210.22,1251.29,1476.25,252.52
5.7,7.35,15377.74,1912.99,3123.99
7.36,6.03,18.98,4153.27,25.35
5.69,7.58,215.49,223.83,259.17
5.55,215.21,1695.03,1493.66,23.19
7.06,3920.9,18.64,834.52,23.08
6.46,212.18,2954.46,33.46,1310.84
5.58,3309.99,25.4,23.16,1337.72
