P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1.81,1.49,15.86,23.16,15.98
1.48,1.45,15.61,20.59,16.04
1.39,1.72,15.47,20.42,15.82
1.59,1.26,16.54,20.05,15.93
1.57,1.38,15.92,20.42,15.82
1.49,1.65,15.93,20.36,15.73
1.48,1.36,15.93,20.72,15.92
1.47,1.39,16.26,20.86,15.74
2.08,1.39,15.95,21.05,16.62
1.41,1.43,15.92,20.53,15.64
1.46,1.62,15.89,20.43,15.76
1.92,1.33,15.51,20.36,15.92
1.45,1.33,15.68,20.83,15.86
1.45,1.39,15.62,20.42,16.23
1.61,1.47,16.47,20.19,15.77
1.5,1.62,16.57,20.54,16.72
1.5,1.38,16.91,21.56,16.51
1.79,1.32,16.33,20.36,16.58
1.46,1.41,16.41,20.53,16.39
1.48,1.37,17.18,20.55,16.56
1.58,1.41,16.53,21.05,15.87
1.47,1.36,16.73,20.46,15.91
1.52,1.38,17.06,20.4,15.76
1.44,1.82,16.52,20.4,17.07
1.47,1.38,17.06,20.55,15.87
1.76,1.46,18.15,20.26,16.12
1.47,1.4,18.34,20.7,15.94
1.5,1.38,16.48,20.32,16.71
1.52,1.39,16.37,20.82,16.42
1.5,1.4,16.42,20.92,16.22
1.52,1.5,18.59,20.83,16.66
1.66,1.53,16.37,20.99,15.98
1.45,1.36,16.46,21.12,16.36
1.75,1.44,16.37,21.07,15.79
1.44,1.4,15.7,20.12,16.41
1.49,1.36,15.65,20.45,16.52
1.55,1.51,15.5,20.99,15.77
1.46,1.44,15.52,21.06,15.8
1.52,1.5,16.1,26.65,15.72
1.44,1.86,15.52,22.59,15.65
1.43,1.31,16.09,21.98,15.87
1.53,1.34,15.53,20.25,15.78
1.59,1.41,15.6,20.28,15.76
1.49,1.35,15.64,20.62,15.77
1.82,1.61,15.38,20.48,15.77
1.48,1.34,15.69,20.13,16.86
1.43,1.39,15.29,20.45,15.74
1.52,1.32,17.71,20.47,16.71
1.41,1.32,15.34,20.47,15.72
1.73,1.73,15.44,22.34,16.36
1.61,1.33,16.15,21.15,16.52
1.5,1.34,17.81,20.59,16.43
2.17,1.34,17.45,20.52,16.15
1.46,1.29,17.33,20.14,15.7
1.58,1.64,17.5,20.47,15.69
1.52,1.33,17.45,20.43,15.74
1.41,1.34,17.58,20.48,15.66
1.66,1.71,17.33,20.59,15.87
1.52,1.32,18.2,20.43,15.6
1.51,1.45,15.64,20.35,15.86
1.95,1.38,15.44,20.51,15.68
1.51,1.34,16.06,20.27,15.86
1.48,2.43,15.41,20.57,15.66
1.57,1.35,15.43,20.41,16.47
1.49,1.39,15.48,20.19,15.66
1.5,1.35,15.42,20.61,16.52
1.59,1.34,15.4,20.73,15.75
1.48,1.67,16.11,20.65,15.61
1.62,1.38,15.31,20.0,16.45
1.47,1.49,15.44,20.42,15.75
1.48,1.39,15.42,20.34,16.35
1.93,1.34,15.44,20.63,15.65
1.44,1.35,15.33,20.24,15.72
1.51,1.39,15.17,21.26,15.89
1.48,1.52,15.32,20.49,15.8
1.6,1.74,15.6,20.3,15.78
1.48,1.34,15.38,20.21,15.88
1.44,1.43,15.52,20.55,16.09
1.47,1.4,15.76,20.49,18.59
2.18,1.38,15.26,20.43,17.61
1.4,1.4,15.55,20.68,17.64
1.57,1.42,16.08,21.24,15.98
1.58,1.35,15.56,20.25,15.86
1.41,1.56,15.29,20.15,15.64
1.43,1.35,15.51,20.41,15.71
1.58,1.29,15.22,21.43,16.44
1.41,1.39,15.52,20.38,15.66
1.59,1.33,15.55,20.36,16.38
1.66,1.69,15.51,20.34,15.81
1.64,1.36,15.45,20.52,16.4
1.89,1.36,15.17,20.48,15.73
1.53,1.51,15.93,20.29,16.32
1.43,1.35,15.43,20.43,15.72
1.5,1.48,15.38,20.71,16.57
1.48,1.51,16.02,20.39,15.62
1.56,1.32,15.31,20.72,15.65
1.49,1.39,15.94,20.32,15.95
1.48,1.39,15.33,20.48,16.35
1.82,1.44,15.35,20.54,16.02
1.41,1.65,15.47,20.35,15.89
1.55,1.33,15.33,20.38,15.66
1.46,1.38,15.55,20.39,15.58
1.47,1.41,15.26,21.55,16.09
1.8,1.37,15.69,20.3,15.74
1.43,1.36,15.26,21.04,15.88
1.54,1.46,15.41,20.38,15.68
1.47,1.38,15.41,20.57,15.93
1.44,1.93,15.31,20.54,15.73
1.96,1.38,16.16,20.45,15.6
1.51,1.38,15.4,21.32,15.86
1.43,1.39,15.33,20.27,15.72
1.49,1.36,15.2,20.36,15.85
1.37,1.47,15.5,20.55,15.87
1.54,1.41,15.8,20.79,15.76
1.41,1.29,15.52,21.82,15.79
1.47,1.78,15.19,20.36,15.65
1.47,1.37,15.68,21.35,15.84
1.45,1.57,15.51,20.96,15.7
1.47,1.34,15.24,20.29,15.7
1.41,1.43,15.46,21.08,15.76
1.43,1.39,15.47,21.67,16.33
1.73,1.36,15.45,21.27,15.76
1.47,1.38,17.86,21.17,15.61
1.6,1.64,15.36,21.21,16.47
1.51,1.35,15.59,20.32,16.08
1.54,1.39,15.26,21.21,15.84
1.75,1.39,15.68,20.46,16.25
1.46,1.41,15.28,21.5,16.38
1.49,1.64,15.36,20.17,15.76
1.52,1.42,15.38,21.36,15.7
1.47,1.36,15.51,21.06,15.79
1.59,1.41,15.39,20.87,16.41
1.47,1.36,15.38,21.22,15.7
1.47,1.39,15.32,21.17,16.01
1.62,1.36,15.72,21.1,15.71
1.48,1.35,15.66,20.8,16.05
1.52,1.54,15.39,20.34,15.76
1.63,1.34,15.34,20.26,15.89
1.39,1.35,15.35,20.33,15.67
1.59,1.37,15.46,20.54,15.78
1.61,1.52,15.35,20.43,15.68
1.41,1.73,15.48,20.37,15.72
1.66,1.36,15.22,20.64,15.66
1.36,1.37,16.29,20.46,16.02
1.44,1.42,15.94,26.18,15.82
1.67,1.45,15.39,24.07,15.94
1.44,1.68,15.53,23.08,15.71
1.45,1.36,15.57,24.49,16.33
1.48,1.35,15.44,23.02,15.72
1.41,1.36,15.29,21.35,15.66
1.63,1.48,15.45,20.46,15.81
