P-384,x448,hqc192,p384_hqc192,x448_hqc192
1616.75,1209.49,1662.56,1650.36,1663.32
2238.68,808.44,1235.76,1645.92,2146.07
813.36,1206.95,1239.14,1251.72,1243.64
2231.86,807.67,1639.74,1257.23,1242.12
2229.03,1207.89,1239.44,1662.4,2072.74
819.7,809.0,2880.43,1247.61,1237.1
813.12,808.01,1236.56,1650.53,1263.15
1212.68,809.48,1239.27,1243.23,2868.58
816.15,808.14,1639.93,1247.15,2914.96
815.4,808.03,1263.62,1259.03,1238.22
814.85,806.45,2147.74,1258.43,1238.35
814.8,808.7,1262.62,1247.38,1238.47
1721.62,809.13,1238.5,3086.62,1239.95
815.29,2624.26,1262.78,3105.47,1240.0
1319.45,805.02,1233.69,1255.58,1261.59
811.78,808.6,1264.11,1247.53,1238.87
817.21,806.73,1244.58,1683.92,1238.61
814.3,809.3,1287.44,1247.98,1238.32
815.91,808.72,1239.82,1247.7,1239.21
817.36,808.0,1238.5,1257.04,1237.84
1715.76,808.79,1237.34,1249.31,1639.74
816.99,809.17,1244.65,1271.25,1269.37
1728.89,1318.26,1641.56,2916.34,1247.15
1216.48,810.13,1240.94,1248.39,1238.88
3457.91,1313.0,1238.65,1243.89,3427.9
816.34,810.32,1649.33,1243.4,3615.42
814.52,809.5,1238.68,1272.87,1237.95
816.36,806.9,1237.84,1245.59,1238.82
812.68,807.75,1267.42,1647.62,1264.82
812.63,808.59,1239.82,1246.26,1237.24
2277.66,3627.76,1240.53,1247.83,1239.51
816.7,809.23,3610.29,1248.32,1260.4
815.1,808.27,4032.3,1246.27,1246.03
816.89,1609.86,1639.2,1254.97,1260.47
2232.34,809.1,1242.08,1244.26,1247.72
817.13,1208.83,1237.69,1247.85,1650.09
811.65,1719.92,2147.02,1246.19,2241.97
815.99,807.85,1236.94,1651.43,1240.44
811.17,2628.92,1241.18,1246.23,1238.74
816.39,808.59,3078.15,2900.65,1239.71
1212.52,809.19,3608.17,1236.73,1240.5
1615.57,2637.0,1237.17,1247.96,1239.54
815.57,806.13,2924.71,1270.72,1257.56
819.57,807.75,1639.49,1246.47,1237.4
818.62,808.62,1246.17,1274.69,1238.85
814.68,808.08,1238.98,1245.47,1252.4
1715.53,807.8,1265.08,1256.22,1248.73
811.04,1815.71,4735.25,1246.62,1237.89
810.72,807.94,1636.31,1246.69,1242.02
1215.98,1718.3,1639.57,1244.48,3471.66
810.1,807.13,1238.55,2158.1,1240.89
816.32,1316.21,1240.12,1252.14,1240.27
814.9,807.75,1238.51,1257.23,1238.9
816.92,2250.2,1237.21,1645.74,1240.68
2121.22,806.63,1238.77,1245.29,1239.14
816.06,2452.51,1264.61,1247.88,1241.37
817.13,809.62,1269.94,1268.07,1239.14
816.44,808.86,1238.74,1248.54,4032.52
816.52,807.39,1240.02,2264.2,1237.71
814.04,808.87,1246.05,1647.9,2243.81
813.16,809.14,1637.42,1246.33,1238.05
814.62,809.1,1235.84,1272.39,1239.27
811.42,1722.71,1236.16,1245.41,1318.89
814.66,807.97,1238.38,1243.49,1237.3
815.31,1209.85,2858.28,1283.63,1247.6
1218.52,2270.02,1237.79,1248.22,2904.03
815.83,803.47,1237.33,1246.48,1239.43
812.74,809.22,1270.49,1272.14,2152.05
1216.64,807.11,1236.11,1646.27,1262.76
814.02,1206.37,1236.82,1248.15,1238.76
814.25,1718.04,1273.22,1253.81,1238.71
814.13,807.54,1236.19,1256.3,1239.25
1217.26,1720.68,1641.48,1244.93,1240.05
1724.76,2651.0,3077.1,1253.33,1659.59
816.09,807.49,1262.16,1280.01,1261.76
815.34,807.94,3052.74,1645.14,1238.42
817.15,808.67,1261.39,1247.3,1287.01
816.19,806.63,3614.16,1249.47,3899.5
815.07,809.42,1236.48,1245.86,1638.0
814.93,809.36,1259.17,1246.17,1238.54
1214.86,808.76,1235.98,1281.36,1251.4
807.97,806.69,1237.24,1247.74,1234.37
816.4,810.37,1260.99,1245.88,1241.26
815.91,808.51,1261.14,1256.82,1239.19
814.96,807.62,1238.4,1276.34,1242.53
815.82,1210.13,1240.06,1272.88,1242.38
815.23,808.94,1659.66,2908.32,1251.06
815.47,808.03,1258.74,1268.45,1237.59
815.06,809.34,1237.24,1244.49,1239.69
2657.72,805.31,1264.84,1278.61,1267.81
815.88,811.41,3052.9,1247.0,1236.44
816.04,808.92,1265.37,1247.74,1265.15
4491.28,1312.49,1236.1,1248.19,1240.14
816.47,808.7,1640.32,1246.22,1238.41
815.2,809.99,1241.03,1246.55,1639.26
815.94,1210.44,1263.12,1674.09,1262.4
810.23,809.84,1237.42,1277.36,1635.43
815.75,808.43,1238.6,1245.13,2151.16
815.96,807.27,1640.88,1248.29,1240.02
815.22,808.51,1240.05,1246.79,1239.34
814.12,808.45,1249.57,1245.49,1640.88
814.48,809.35,1239.26,1245.82,3652.19
816.75,806.96,1247.45,1247.26,1248.84
816.63,809.15,1638.95,1256.17,3097.02
2844.82,808.91,1261.26,1244.75,1247.93
813.94,809.4,3482.86,1253.35,1237.93
815.46,1613.24,1281.98,1243.34,1240.32
816.25,808.65,1237.19,1245.05,1238.74
2643.18,808.07,1239.07,1273.96,1239.61
812.13,1813.12,1238.82,1247.51,1236.05
813.32,808.26,1245.49,1245.2,1238.78
815.27,806.21,1239.64,4905.54,1241.46
816.05,809.24,1239.93,1247.79,1263.05
1219.92,808.46,1642.2,1252.62,1263.87
1319.71,2247.3,2909.95,1269.69,1240.51
812.34,809.68,1639.26,1244.35,1269.34
812.93,1314.03,1238.09,1246.34,1263.41
815.74,1312.68,1236.31,1267.34,1753.27
