P-521,hqc256,p521_hqc256
1620.72,2102.84,2519.22
822.28,2679.73,1313.73
821.5,2064.32,1310.69
821.39,5154.34,1715.31
821.94,2168.62,1671.61
1728.47,1322.53,5208.35
825.69,1696.74,2687.38
1327.9,1296.42,3247.57
827.62,1699.88,2127.1
823.85,1297.55,1676.56
1218.99,1659.88,1317.23
832.05,4041.96,1712.73
1614.97,1299.3,4069.09
822.5,1298.64,1314.86
1218.29,1657.1,5394.43
2272.35,2672.63,1309.88
1220.62,3513.52,1669.26
3255.3,1670.85,2687.73
1620.14,6201.13,2074.97
4925.36,1661.51,1331.11
1216.58,1308.26,1669.91
1322.55,2680.77,1314.58
2984.75,1299.47,1673.63
823.24,1293.84,2582.76
823.4,3341.18,3870.48
825.84,2061.55,1737.92
1216.71,3076.23,2074.55
2123.31,2174.07,1315.83
826.69,2101.94,1711.42
1618.1,2099.42,1715.63
828.33,1295.73,7079.05
1225.53,1301.87,1340.32
2232.73,1298.2,4168.35
1619.29,1703.41,1669.18
1227.28,1299.14,5304.65
824.9,1322.5,2179.96
828.85,3482.09,1714.31
823.46,1297.82,1312.58
2262.75,1701.75,1735.13
1219.06,1700.92,1711.21
829.56,1297.9,3529.78
1322.98,2569.24,3361.02
820.92,2668.76,1675.33
826.63,1318.43,1746.2
2258.97,3229.83,3521.54
3482.78,1300.83,1683.86
3036.47,2564.51,1717.76
821.06,1771.24,1669.71
822.8,1666.08,1674.83
1220.58,1702.12,1720.44
2436.96,1723.65,2068.85
1220.22,1697.56,1682.14
815.5,1295.63,1753.68
5288.77,3313.54,2074.81
821.99,1312.93,1325.66
820.35,1295.63,1314.41
1219.16,1295.54,5123.33
823.5,1298.94,1778.3
1328.83,1725.84,1725.22
820.32,1296.94,2073.97
1728.41,2717.82,2080.19
820.99,1297.69,1739.66
1229.94,2098.66,3910.47
1218.99,1694.57,1720.01
1220.71,1323.47,3491.38
826.59,2347.21,1347.88
1217.55,1700.57,1312.27
827.59,2459.63,3084.74
826.01,1662.68,1675.82
822.47,4806.37,1674.34
822.48,4488.03,1312.03
1220.09,3951.63,1333.44
2133.66,1293.55,1673.77
1222.16,2167.55,1746.44
821.65,1298.22,2474.28
2272.45,2692.41,1318.96
817.56,1325.85,1715.86
3704.65,1301.74,2074.76
825.01,2718.0,1717.15
1219.39,1700.92,1314.4
1225.64,2562.73,3337.71
3035.69,4408.44,1310.96
820.34,1295.0,1714.28
2268.78,1699.39,3730.99
1323.75,3490.84,2070.82
819.85,1697.42,1727.65
1219.08,1298.36,2072.72
1326.1,3904.09,2077.56
1221.72,1700.32,2188.7
823.58,1700.53,1348.81
821.75,1700.11,1311.35
1233.84,1699.92,1309.91
820.5,3195.97,1715.73
826.42,1304.9,1673.82
1220.93,3114.87,1325.21
1221.67,1299.8,2074.14
2019.72,3483.35,1717.79
