P-384,x448,hqc192,p384_hqc192,x448_hqc192
239.11,225.46,296.57,408.37,1501.96
168.93,158.27,244.86,244.67,234.27
166.12,1178.24,222.5,239.86,231.5
173.82,145.66,231.52,246.19,388.63
169.9,145.28,228.36,241.5,554.15
447.79,151.75,228.65,229.03,211.1
163.31,146.77,232.98,241.68,236.8
171.08,148.35,223.88,236.2,232.22
170.92,156.84,241.88,228.82,233.96
169.97,157.34,233.15,242.61,530.03
1173.85,157.98,230.14,233.19,234.71
168.53,158.67,225.06,215.15,230.89
167.13,145.01,228.67,261.59,228.06
168.7,156.63,231.51,239.3,235.5
168.45,148.02,231.0,235.74,235.11
168.22,160.84,228.92,246.88,225.53
168.66,159.61,227.97,237.59,547.8
165.86,158.19,226.02,235.19,224.17
160.46,156.81,220.93,232.63,1534.49
169.67,157.8,224.73,234.44,213.19
166.1,157.68,223.51,232.64,245.03
170.74,160.97,239.94,231.21,231.34
170.73,158.24,227.29,234.0,248.61
171.01,159.12,229.61,233.96,415.9
171.29,158.3,236.9,235.36,206.51
167.11,156.46,231.64,218.64,238.09
167.73,157.59,236.93,566.17,223.51
164.87,159.82,238.63,232.87,248.82
160.94,159.18,228.03,238.78,228.61
172.04,156.16,237.53,233.58,233.57
167.05,158.55,224.94,234.36,203.12
166.87,158.03,232.37,231.29,230.85
162.61,160.48,235.69,228.27,238.47
168.97,158.76,233.69,230.05,231.29
170.07,157.01,228.14,1215.97,1235.47
168.77,156.7,231.99,231.24,230.27
171.02,156.48,230.51,242.36,213.32
167.28,158.55,298.07,233.74,325.72
170.33,154.25,211.97,232.37,233.26
170.76,160.41,483.05,257.55,231.54
170.82,156.64,249.29,233.03,236.53
167.88,157.2,230.12,236.51,232.44
170.78,158.44,232.51,245.71,237.34
153.07,158.57,237.41,240.39,229.32
427.9,156.92,230.79,237.7,324.41
169.72,158.96,228.11,241.98,254.15
170.81,159.5,296.37,242.33,226.09
163.71,434.27,222.93,260.66,231.04
165.81,159.37,234.36,238.31,231.76
168.41,157.75,225.83,240.65,216.59
168.29,158.79,236.28,243.0,321.69
168.6,161.41,230.65,235.81,219.87
169.83,158.97,227.66,233.87,547.04
168.08,158.94,236.36,216.18,209.81
168.97,158.81,230.05,248.04,211.65
168.28,155.54,226.17,247.27,252.08
167.24,159.87,223.59,239.01,223.7
168.12,155.05,226.56,241.1,221.14
166.04,158.21,231.35,238.83,234.68
166.0,156.84,324.07,236.81,231.37
167.27,157.65,324.55,246.88,236.7
166.82,154.67,225.55,239.06,245.77
161.94,157.77,246.7,243.99,230.06
1168.01,160.17,236.25,241.32,326.61
170.78,157.0,226.99,234.1,236.23
166.69,158.57,232.19,242.71,233.21
441.41,159.24,393.03,239.51,234.48
162.18,156.83,213.0,237.41,228.96
168.61,159.04,231.41,241.04,230.56
167.33,156.55,220.66,234.15,239.24
169.82,156.25,223.71,241.37,241.45
168.66,158.5,234.87,229.45,242.92
162.72,148.76,1237.52,234.27,233.81
167.19,156.28,228.62,240.82,231.19
167.68,156.95,227.2,237.78,243.93
166.96,155.31,231.62,231.54,298.53
172.28,157.49,223.99,243.82,218.36
166.79,158.59,219.83,248.05,322.13
167.05,157.47,230.75,238.18,229.41
169.41,160.35,221.66,238.42,222.89
166.58,151.75,231.94,242.38,224.38
169.08,157.34,228.43,236.0,225.01
169.73,160.94,232.34,236.82,229.58
166.59,160.14,230.67,236.55,232.6
167.06,158.46,233.77,245.89,226.54
167.56,157.45,223.9,374.32,241.46
171.05,156.11,228.98,559.52,231.36
169.2,159.88,224.4,221.65,228.02
166.3,158.79,391.88,232.39,227.44
168.74,157.09,238.88,231.31,224.29
168.06,156.82,234.14,240.18,224.65
162.04,150.54,222.07,263.69,224.86
156.5,148.97,244.24,216.51,232.21
166.68,158.34,223.56,254.6,557.04
1183.07,157.02,324.61,237.95,225.45
166.05,159.85,225.16,236.7,223.08
168.05,158.99,242.58,223.13,219.59
171.45,149.41,411.85,233.58,228.64
170.13,157.62,235.01,243.4,235.68
161.6,149.47,314.97,235.64,233.16
168.91,147.94,226.13,245.32,228.34
170.06,158.9,221.42,235.18,233.89
168.0,165.68,227.6,403.95,227.88
168.02,152.28,226.57,235.02,222.33
172.07,158.35,222.46,233.59,228.62
170.91,159.24,226.68,224.14,235.03
170.75,158.56,229.78,244.22,222.84
169.8,160.79,223.86,261.21,227.5
170.9,157.44,225.74,194.89,194.9
162.49,157.69,216.05,232.8,231.58
165.74,1179.46,230.78,240.61,227.74
169.79,157.59,241.45,235.87,234.59
166.15,155.71,227.31,238.98,235.26
168.0,157.87,237.61,333.04,347.71
165.43,1165.89,229.91,244.82,232.11
168.16,156.63,216.72,236.5,236.19
169.96,156.7,221.27,265.94,1405.45
169.09,159.97,239.75,235.43,219.91
165.53,159.0,223.56,232.29,224.68
157.03,160.52,225.8,245.0,208.72
171.35,159.94,233.87,250.41,343.84
168.72,158.96,225.07,239.32,228.72
166.4,155.35,208.47,244.89,231.34
170.9,157.49,222.75,262.18,237.43
170.97,156.23,212.86,245.17,239.32
157.1,158.38,189.49,232.59,231.15
169.69,157.85,229.94,238.78,224.83
166.82,159.04,222.69,240.38,221.01
168.21,154.1,194.94,232.58,227.01
169.99,156.12,223.32,203.57,232.48
172.09,159.98,219.01,259.03,227.28
168.24,158.66,210.01,231.44,223.69
167.96,151.62,230.16,246.15,221.84
169.47,158.0,390.67,229.93,323.23
168.93,157.21,228.52,245.11,233.46
161.43,158.98,234.23,238.59,1372.81
166.66,153.29,323.92,233.1,222.45
169.99,157.15,242.68,352.31,221.82
166.85,158.42,225.98,237.49,224.71
169.13,156.32,225.56,234.6,222.34
168.44,157.87,203.69,242.16,231.47
167.91,158.07,229.19,334.2,239.49
164.75,154.3,321.3,242.74,223.31
169.14,158.83,240.17,242.67,226.12
169.06,161.17,1205.0,238.73,236.16
167.55,157.72,223.1,228.74,233.1
167.88,157.08,229.69,326.07,231.96
170.05,158.99,229.2,233.77,253.24
163.57,158.07,342.66,332.5,240.71
163.45,157.64,410.62,235.92,235.78
168.03,436.03,233.31,226.53,229.8
167.21,158.64,221.9,380.56,236.59
169.49,157.64,223.1,237.94,234.44
163.31,158.51,559.09,241.98,223.2
170.92,157.26,207.3,240.76,231.19
165.87,160.15,230.44,1242.73,227.56
169.24,153.16,222.52,238.63,227.46
162.99,156.73,235.85,240.79,224.08
166.54,147.89,321.3,231.26,230.49
172.33,152.2,227.9,242.18,226.84
168.85,152.55,232.48,239.31,226.59
166.73,158.96,226.17,352.49,246.89
158.53,158.43,253.31,235.37,237.76
172.2,154.35,223.02,242.68,232.25
168.53,156.61,230.26,232.69,228.68
445.01,156.45,235.44,233.0,221.34
158.41,1167.29,297.02,242.78,223.8
169.04,158.51,237.97,242.01,551.96
161.5,157.52,213.36,241.94,212.11
172.03,158.93,236.42,236.47,391.22
166.69,157.12,229.97,215.54,215.45
167.81,154.54,244.96,329.81,227.93
166.47,159.19,230.54,235.38,223.8
171.41,157.5,244.68,331.97,227.22
169.08,158.44,553.39,239.55,230.97
170.25,154.39,230.14,233.69,205.12
169.01,159.01,227.04,234.18,238.63
1167.41,156.39,227.22,232.9,226.71
167.89,156.68,229.32,234.91,301.99
171.45,158.62,222.3,240.11,231.59
171.92,157.73,253.18,236.67,238.03
169.03,158.49,221.58,246.77,228.29
167.83,156.66,339.15,259.56,224.57
170.0,157.69,206.89,241.07,220.84
171.14,436.23,236.32,242.72,237.47
170.95,156.14,228.95,246.17,233.5
1179.59,158.04,253.06,241.48,236.96
166.44,157.27,223.31,1204.23,224.72
165.8,158.54,245.8,232.72,231.88
167.43,158.51,236.46,242.66,231.98
168.66,158.86,230.05,238.57,233.11
156.89,432.14,252.16,332.99,227.18
169.96,158.11,240.09,240.78,235.79
165.14,159.32,235.9,235.29,226.64
167.87,160.1,254.44,240.7,209.34
170.23,158.44,252.02,244.38,231.58
166.5,159.61,230.99,240.83,244.65
170.86,158.37,228.5,335.51,224.01
171.3,158.6,229.7,242.14,189.56
169.99,157.74,230.64,312.53,224.57
157.61,158.84,220.6,246.33,231.82
167.36,157.86,228.5,250.66,240.47
167.74,157.48,222.66,675.18,240.29
168.14,156.4,553.04,236.49,237.89
161.66,157.69,222.89,236.93,239.61
164.11,160.02,223.93,240.65,225.99
166.28,158.98,227.07,236.07,223.06
169.83,157.63,221.42,238.64,218.29
168.05,157.96,222.05,242.13,227.49
169.38,158.07,255.39,233.96,209.71
170.03,1175.33,241.89,245.32,301.53
167.15,157.77,224.91,427.5,231.57
166.97,157.68,229.76,235.29,237.16
167.74,153.31,241.09,241.69,229.22
168.58,156.85,227.98,234.38,229.56
166.77,157.81,196.01,265.66,232.16
165.81,1160.04,220.69,245.63,239.72
169.63,157.89,219.18,237.57,237.38
171.33,156.86,234.56,236.74,223.59
171.83,156.5,233.62,260.23,563.09
168.03,156.84,198.59,267.24,231.49
169.9,158.71,193.56,243.54,240.42
168.5,158.89,189.16,239.86,230.59
167.15,159.05,232.03,242.97,228.78
165.87,160.16,241.35,243.52,230.52
172.41,156.69,227.49,242.56,222.67
166.44,156.54,230.03,245.54,224.5
162.96,157.61,235.35,248.65,220.91
169.03,158.59,237.22,237.24,344.63
172.4,156.43,223.73,221.94,228.56
164.41,156.76,229.26,241.25,230.77
170.35,147.99,234.79,238.5,228.72
1180.69,159.39,231.08,236.04,230.09
169.16,157.78,227.42,240.47,224.75
172.42,156.55,390.89,237.68,221.63
167.84,157.29,224.97,246.26,204.91
165.14,156.84,213.0,234.65,231.94
170.06,156.17,230.41,242.3,239.47
164.19,157.83,224.29,236.6,226.02
167.08,157.93,229.82,335.01,213.62
170.99,158.96,223.8,264.06,224.28
167.74,154.5,233.38,237.78,555.54
169.27,158.32,321.45,308.9,228.14
165.57,159.7,228.15,241.53,237.23
168.97,152.79,221.79,235.18,236.36
168.28,160.85,231.43,554.08,235.63
171.89,156.35,650.3,228.1,234.94
171.43,158.02,224.5,237.25,233.43
164.01,157.98,231.25,237.28,232.02
165.88,429.8,228.93,241.8,207.61
168.26,157.05,231.71,232.36,229.47
167.83,157.62,227.49,422.16,231.54
171.88,426.65,228.6,225.81,229.42
166.74,157.47,227.94,239.1,253.69
159.58,157.73,228.02,242.35,251.72
448.7,157.36,207.69,244.3,232.77
156.41,158.75,227.65,238.83,232.49
165.34,159.87,230.68,310.36,225.22
169.79,160.19,250.58,236.1,229.76
168.6,155.84,230.17,242.42,222.95
167.22,158.32,220.9,266.26,231.39
170.7,159.32,227.19,399.68,232.16
159.21,158.47,226.72,233.48,207.17
168.91,158.79,327.07,243.31,232.42
161.52,159.76,223.26,235.58,296.32
169.13,158.1,212.72,243.48,230.26
167.84,435.41,230.96,236.24,235.85
168.09,156.46,408.69,226.2,231.99
167.7,439.28,202.19,231.43,228.45
166.65,157.68,212.04,233.81,230.5
166.16,158.35,212.88,247.83,234.95
169.87,158.73,299.56,241.48,273.51
169.5,160.96,220.14,239.82,228.68
169.03,157.48,207.57,244.44,229.98
160.58,157.58,227.87,239.75,232.13
170.88,154.36,223.72,222.05,240.56
168.19,1152.35,219.34,240.7,234.37
171.67,158.06,226.49,237.97,236.74
167.13,159.12,227.94,235.43,238.12
169.94,156.64,228.25,240.18,227.79
167.07,158.12,219.12,237.83,243.62
167.34,148.9,224.14,242.11,226.56
171.46,156.34,228.25,235.24,237.96
161.92,159.23,247.44,221.28,309.57
171.87,157.02,227.26,241.22,225.58
172.25,158.57,224.91,236.69,230.67
167.48,159.84,224.02,258.32,228.28
167.29,158.23,413.14,231.99,552.14
172.36,158.69,240.37,236.64,230.24
167.4,157.9,253.16,243.32,232.69
172.09,152.58,227.49,237.97,231.95
168.07,158.34,232.08,236.6,221.51
167.37,157.92,230.76,234.7,232.14
