P-521,hqc256,p521_hqc256
2283.58,2940.29,2333.76
862.01,1459.92,1512.25
859.5,1475.03,1422.48
858.49,1471.96,1496.94
859.52,1454.86,1503.09
858.16,1469.33,1498.74
859.11,1468.89,1495.33
863.18,3263.95,1497.75
862.08,1396.29,1486.56
861.31,1370.55,1493.42
1912.89,1476.32,1467.63
854.58,2411.06,1486.18
861.94,1407.89,1486.69
859.25,1456.28,1417.13
867.52,1467.76,1477.14
863.01,1454.56,1473.65
860.45,2278.24,1499.04
860.79,1446.76,1484.18
858.3,4038.52,1487.97
857.63,1455.7,1485.25
862.04,2259.42,1498.12
859.99,1478.06,1483.71
860.12,1404.29,1501.64
1881.97,1431.73,3273.08
856.77,1473.91,1437.18
856.02,1398.2,1496.39
861.54,1452.36,1474.12
858.99,2459.64,1495.84
1903.06,1456.26,1475.24
854.73,1385.84,1398.22
857.96,1455.26,1512.66
1891.29,1446.71,1495.3
856.51,1450.36,1890.23
859.25,1466.14,1493.96
859.54,2269.77,2273.63
854.95,1472.04,1514.88
859.93,1397.63,1523.22
859.71,1864.13,1515.55
863.13,1404.19,1516.65
857.81,1454.75,1501.83
858.07,1474.17,1494.73
860.29,1449.77,1496.3
857.7,1471.58,1479.41
861.24,1469.07,1491.24
861.51,1472.17,1493.98
849.21,1446.56,1486.85
858.56,1470.45,1496.6
857.0,1468.18,1463.04
860.39,1458.84,1495.65
860.54,1453.41,1472.93
860.81,2517.59,1488.94
861.02,3226.16,1509.04
860.63,1464.13,3792.8
1882.71,1473.25,1485.13
857.98,1403.66,1480.93
861.92,1423.39,1493.39
857.56,1476.04,1484.26
859.96,1461.26,1500.41
858.78,1447.03,1483.99
861.0,1473.01,1487.32
856.62,1451.17,1432.01
861.51,1448.4,1503.1
858.51,2510.36,1493.07
859.09,1454.26,1484.22
847.86,1454.92,1483.0
855.77,1445.36,1496.62
858.45,3719.05,2461.36
858.55,1472.72,1490.24
857.87,1476.93,4063.31
861.51,3295.47,1426.48
860.69,1453.89,1469.22
859.15,1390.15,1519.2
858.97,1448.3,1495.5
861.37,1470.18,1505.4
857.43,1410.43,1433.17
858.73,1460.85,1487.12
861.5,1446.58,1493.75
860.31,1449.72,1513.45
860.08,1447.9,3676.9
861.96,1447.59,1466.66
858.61,2202.9,2506.99
1898.29,1451.33,1488.61
855.58,1473.94,1487.66
856.94,1860.74,1499.71
1891.64,1412.79,1485.04
860.78,1452.66,1473.75
854.51,2520.55,1481.73
859.06,1442.82,1418.3
859.87,1400.09,1482.13
1856.92,4146.54,1472.21
854.85,2248.84,1484.86
859.52,1404.85,1479.05
869.44,1463.55,1490.3
860.53,1393.23,1487.17
1908.48,1453.38,1900.28
860.39,1446.96,1502.13
1913.79,1474.92,1475.26
858.87,1452.13,1493.99
1910.02,1472.74,1494.5
859.41,1481.44,3947.98
858.99,1450.65,3179.23
857.96,1473.74,1445.51
860.58,1387.38,2471.2
842.46,1453.05,1421.82
860.36,1469.1,2428.06
857.47,1446.15,1498.94
858.33,5041.95,1495.26
847.12,1463.86,1505.63
859.03,1411.6,1498.14
860.03,1460.5,1427.57
858.66,1446.71,1488.34
858.63,1448.19,1473.71
855.32,1471.66,1440.5
855.72,1428.38,1420.12
858.57,4044.3,1468.38
860.86,1447.9,1485.22
845.95,1438.68,1423.68
867.31,1476.27,2294.92
