Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

08:16:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:16:30     all    5,15    0,25    4,02   17,71    0,00    0,25    0,00    0,00    0,00   72,61
08:16:31     all    4,29    0,13    2,90   10,34    0,00    0,00    0,00    0,00    0,00   82,35
08:16:32     all    6,61    0,13    4,45   10,29    0,00    0,00    0,00    0,00    0,00   78,53
08:16:33     all    4,42    0,00    3,03    9,34    0,00    0,00    0,00    0,00    0,00   83,21
08:16:34     all    9,54    0,00    9,29    0,00    0,00    0,00    0,00    0,00    0,00   81,17
08:16:35     all    5,05    0,00    4,42   13,64    0,00    0,13    0,00    0,00    0,00   76,77
08:16:36     all    4,02    0,00    2,51   11,67    0,00    0,00    0,00    0,00    0,00   81,81
08:16:37     all    9,72    0,00    4,04    6,31    0,00    0,00    0,00    0,00    0,00   79,92
08:16:38     all   13,07    0,00    0,88    0,63    0,00    0,00    0,00    0,00    0,00   85,43
08:16:39     all   13,30    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   86,07
08:16:40     all   12,77    0,00    0,75    0,00    0,00    0,00    0,00    0,00    0,00   86,48
08:16:41     all   12,86    0,00    1,12    0,00    0,00    0,00    0,00    0,00    0,00   86,02
08:16:42     all   13,16    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   86,22
08:16:43     all   13,09    0,00    0,87    0,50    0,00    0,00    0,00    0,00    0,00   85,54
08:16:44     all   14,23    0,00    1,26    4,16    0,00    0,00    0,00    0,00    0,00   80,35
08:16:45     all   13,27    0,00    0,63   18,77    0,00    0,00    0,00    0,00    0,00   67,33
08:16:46     all   17,35    0,00    2,87   10,24    0,00    0,00    0,00    0,00    0,00   69,54
08:16:47     all   25,31    0,00    2,77   15,74    0,00    0,00    0,00    0,00    0,00   56,17
08:16:48     all   26,63    0,13    3,14   10,55    0,00    0,00    0,00    0,00    0,00   59,55
08:16:49     all   34,72    0,00    4,15   11,70    0,00    0,00    0,00    0,00    0,00   49,43
08:16:50     all   36,27    0,00    3,78   10,96    0,00    0,13    0,00    0,00    0,00   48,87
08:16:51     all   40,68    0,00    5,67    7,18    0,00    0,00    0,00    0,00    0,00   46,47
08:16:52     all   47,68    0,00    4,64    9,66    0,00    0,13    0,00    0,00    0,00   37,89
08:16:53     all   48,55    0,00    6,68    6,31    0,00    0,13    0,00    0,00    0,00   38,34
08:16:54     all   55,71    0,13    5,90    8,53    0,00    0,00    0,00    0,00    0,00   29,74
08:16:55     all   59,57    0,13    6,93    5,54    0,00    0,00    0,00    0,00    0,00   27,83
08:16:56     all   63,38    0,00    7,83    2,40    0,00    0,13    0,00    0,00    0,00   26,26
08:16:57     all   68,93    0,00    7,04    3,77    0,00    0,00    0,00    0,00    0,00   20,25
08:16:58     all   69,51    0,13    8,66    3,64    0,00    0,13    0,00    0,00    0,00   17,94
08:16:59     all   78,52    0,13    8,17    2,64    0,00    0,25    0,00    0,00    0,00   10,30
08:17:00     all   79,87    0,00    8,55    2,64    0,00    0,00    0,00    0,00    0,00    8,93
08:17:01     all   81,78    0,00    9,80    1,26    0,00    0,00    0,00    0,00    0,00    7,16
08:17:02     all   87,11    0,00    8,39    1,13    0,00    0,13    0,00    0,00    0,00    3,25
08:17:03     all   85,34    0,00    9,15    0,88    0,00    0,13    0,00    0,00    0,00    4,51
08:17:04     all   88,22    0,00    8,90    0,38    0,00    0,13    0,00    0,00    0,00    2,38
08:17:05     all   88,32    0,00    8,67    0,50    0,00    0,38    0,00    0,00    0,00    2,14
08:17:06     all   88,00    0,00   10,50    0,25    0,00    0,12    0,00    0,00    0,00    1,12
08:17:07     all   90,43    0,00    8,94    0,00    0,00    0,00    0,00    0,00    0,00    0,63
08:17:08     all   88,50    0,00   10,12    0,25    0,00    0,00    0,00    0,00    0,00    1,12
08:17:09     all   89,65    0,12    8,98    0,25    0,00    0,25    0,00    0,00    0,00    0,75
08:17:10     all   88,83    0,00    9,16    0,13    0,00    0,25    0,00    0,00    0,00    1,63
08:17:11     all   88,72    0,00   10,15    0,13    0,00    0,00    0,00    0,00    0,00    1,00
08:17:12     all   90,38    0,00    9,38    0,12    0,00    0,00    0,00    0,00    0,00    0,12
08:17:13     all   89,86    0,00    9,51    0,00    0,00    0,13    0,00    0,00    0,00    0,50
08:17:14     all   88,42    0,12   10,83    0,25    0,00    0,12    0,00    0,00    0,00    0,25
08:17:15     all   89,84    0,00    9,91    0,00    0,00    0,00    0,00    0,00    0,00    0,25
08:17:16     all   88,89    0,12   10,24    0,12    0,00    0,25    0,00    0,00    0,00    0,37
08:17:17     all   88,53    0,12   10,97    0,12    0,00    0,12    0,00    0,00    0,00    0,12
08:17:18     all   90,50    0,00    8,75    0,00    0,00    0,38    0,00    0,00    0,00    0,38
08:17:19     all   88,64    0,12   10,74    0,00    0,00    0,00    0,00    0,00    0,00    0,50
08:17:20     all   88,38    0,12   11,00    0,00    0,00    0,38    0,00    0,00    0,00    0,12
08:17:21     all   89,71    0,00    9,79    0,00    0,00    0,00    0,00    0,00    0,00    0,50
08:17:22     all   88,40    0,12   11,10    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:17:23     all   89,35    0,00   10,40    0,13    0,00    0,00    0,00    0,00    0,00    0,13
08:17:24     all   89,72    0,00   10,15    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:25     all   88,49    0,00   11,26    0,25    0,00    0,00    0,00    0,00    0,00    0,00
08:17:26     all   90,38    0,00    9,12    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:17:27     all   90,36    0,00    9,51    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:17:28     all   88,39    0,12   11,36    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:17:29     all   89,91    0,12    9,46    0,00    0,00    0,37    0,00    0,00    0,00    0,12
08:17:30     all   87,34    0,00   12,41    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:17:31     all   89,26    0,00   10,36    0,00    0,00    0,00    0,00    0,00    0,00    0,37
08:17:32     all   90,24    0,00    9,76    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:17:33     all   87,47    0,00   12,03    0,13    0,00    0,13    0,00    0,00    0,00    0,25
08:17:34     all   90,88    0,00    9,00    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:17:35     all   88,78    0,00   10,97    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:36     all   88,85    0,00   10,90    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:37     all   89,46    0,13   10,29    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:17:38     all   87,89    0,00   11,61    0,00    0,00    0,12    0,00    0,00    0,00    0,37
08:17:39     all   89,78    0,00    9,85    0,00    0,00    0,25    0,00    0,00    0,00    0,12
08:17:40     all   89,74    0,13   10,01    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:41     all   88,50    0,00   11,38    0,00    0,00    0,00    0,00    0,00    0,00    0,12
08:17:42     all   89,36    0,00   10,51    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:43     all   90,60    0,00    9,27    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:17:44     all   87,84    0,00   12,16    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:17:45     all   90,29    0,12    9,34    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:46     all   89,97    0,00    9,77    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:17:47     all   88,26    0,12   11,24    0,12    0,00    0,12    0,00    0,00    0,00    0,12
08:17:48     all   89,11    0,00   10,51    0,13    0,00    0,13    0,00    0,00    0,00    0,13
08:17:49     all   90,04    0,12    9,59    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:17:50     all   88,89    0,00   10,61    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:17:51     all   89,75    0,00   10,25    0,00    0,00    0,00    0,00    0,00    0,00    0,00
