procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 15697788 253608 5665572    0    0    95   190 4007    6 11  2 86  1  0  0
 0  1      0 15687348 253628 5665588    0    0     0  2004 4223 7904  5  4 73 18  0  0
 0  1      0 15689452 253660 5663652    0    0     0   756 4452 8012  4  3 83 10  0  0
 1  1      0 15685332 253680 5665720    0    0     0  2060 5829 8347  7  5 78 10  0  0
 2  0      0 15692608 253704 5665700    0    0     0   492 5453 7212  4  3 83  9  0  0
 1  0      0 15663824 253704 5665708    0    0     0     0 19419 27775 10  9 81  0  0  0
 1  1      0 15656732 253712 5665700    0    0     0  1000 8990 15498  5  4 77 14  0  0
 2  0      0 15666492 253740 5665744    0    0     0   868 3470 5304  4  3 82 12  0  0
 1  0      0 15671980 253752 5665836    0    0     0   408 5004 6962 10  4 80  6  0  0
 1  0      0 15670624 253752 5665848    0    0     0     4 2446 3706 13  1 85  1  0  0
 1  0      0 15676252 253752 5665852    0    0     0     0 2374 2042 13  1 86  0  0  0
 1  0      0 15690980 253752 5665856    0    0     0     0 1817 1147 13  1 86  0  0  0
 1  0      0 15696652 253752 5665860    0    0     0     0 2012 3122 13  1 86  0  0  0
 1  1      0 15702628 253760 5665736    0    0     0    52 2203 1627 13  1 86  0  0  0
 1  0      0 15706924 253760 5665748    0    0     0     0 1648 1080 13  1 86  1  0  0
 1  1      0 15710068 253760 5665752    0    0     0  1644 3916 8282 14  1 80  4  0  0
 2  1      0 15721904 253780 5665760    0    0     0  1048 2419 2534 13  1 67 19  0  0
 2  1      0 15699692 253796 5665968    0    0     0   752 6450 12986 17  3 70 10  0  0
 2  1      0 15684932 253816 5665884    0    0     0  1768 7067 8777 25  3 56 16  0  0
 4  1      0 15678824 253840 5665976    0    0     0  1152 8068 10889 27  3 59 10  0  0
 3  2      0 15673716 253868 5666020    0    0     0  1884 8657 12657 35  4 49 12  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 15675024 253880 5665944    0    0     0  1508 8303 8528 36  4 49 11  0  0
 4  1      0 15656824 253908 5666068    0    0     0   596 11734 20598 41  6 46  7  0  0
 4  1      0 15642188 253924 5666088    0    0     0  1824 9005 10761 48  5 38  9  0  0
 4  1      0 15651016 253952 5666216    0    0     0   780 10374 15051 49  6 38  6  0  0
 5  2      0 15636276 253956 5666256    0    0     0  2136 10447 14765 56  6 30  9  0  0
 6  1      0 15641924 253996 5666284    0    0     0   884 11097 16403 60  7 28  6  0  0
 6  2      0 15614232 254028 5666400    0    0     0  2116 12237 19315 64  8 26  2  0  0
 6  1      0 15616072 254040 5666424    0    0     0   648 10085 12731 69  7 20  4  0  0
10  1      0 15608496 254064 5666552    0    0     0   680 11555 16607 70  9 18  4  0  0
10  1      0 15614244 254088 5666584    0    0     0  2136 11696 15829 79  8 10  3  0  0
10  1      0 15587624 254116 5666612    0    0     0  1232 12152 17366 80  9  9  3  0  0
 8  4      0 15583544 254128 5666728    0    0     0  2120 14175 20567 82 10  7  1  0  0
 9  1      0 15602332 254136 5666756    0    0     0   720 11595 13314 87  8  3  1  0  0
10  1      0 15602884 254156 5666832    0    0     0   588 14650 20305 85 10  5  1  0  0
11  1      0 15604712 254168 5666948    0    0     0  2204 12601 12814 89  9  2  0  0  0
13  1      0 15604836 254196 5666980    0    0     0  1584 14019 17642 88  9  2  1  0  0
13  0      0 15575428 254216 5666992    0    0     0  1084 15387 20622 88 10  1  0  0  0
19  2      0 15555484 254220 5667164    0    0     0  2424 13530 14567 90  9  1  0  0  0
10  1      0 15557768 254244 5667184    0    0     0   504 13892 16705 89 10  1  0  0  0
12  1      0 15562272 254280 5667360    0    0     0  1972 14120 16277 90  9  1  0  0  0
15  1      0 15547816 254308 5667364    0    0     0  1472 14713 18745 89 10  2  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
