Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

02:23:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:23:33     all    4,80    0,00    2,53   16,29    0,00    0,00    0,00    0,00    0,00   76,39
02:23:34     all    5,83    0,13    3,55   10,01    0,00    0,13    0,00    0,00    0,00   80,35
02:23:35     all    6,81    0,13    4,92   10,47    0,00    0,00    0,00    0,00    0,00   77,68
02:23:36     all    4,68    0,00    5,31    6,95    0,00    0,00    0,00    0,00    0,00   83,06
02:23:37     all    9,63    0,00    9,00    1,01    0,00    0,00    0,00    0,00    0,00   80,35
02:23:38     all    3,16    0,00    2,40   17,17    0,00    0,00    0,00    0,00    0,00   77,27
02:23:39     all    5,82    0,25    4,05    9,62    0,00    0,00    0,00    0,00    0,00   80,25
02:23:40     all    2,13    0,00    2,89    3,26    0,00    0,00    0,00    0,00    0,00   91,72
02:23:41     all    3,00    0,00    2,25    0,00    0,00    0,00    0,00    0,00    0,00   94,75
02:23:42     all    1,51    0,00    1,76    0,00    0,00    0,00    0,00    0,00    0,00   96,74
02:23:43     all    0,50    0,00    1,13    0,00    0,00    0,00    0,00    0,00    0,00   98,36
02:23:44     all    1,25    0,00    1,12    0,00    0,00    0,00    0,00    0,00    0,00   97,62
02:23:45     all    0,88    0,00    1,26    0,38    0,00    0,00    0,00    0,00    0,00   97,47
02:23:46     all    1,00    0,00    1,12    0,00    0,00    0,00    0,00    0,00    0,00   97,88
02:23:47     all    3,90    0,13    2,89    9,69    0,00    0,00    0,00    0,00    0,00   83,40
02:23:48     all    2,65    0,13    2,02   12,11    0,00    0,13    0,00    0,00    0,00   82,98
02:23:49     all    9,23    0,00    5,18    8,34    0,00    0,00    0,00    0,00    0,00   77,24
02:23:50     all   13,16    0,00    2,76   18,17    0,00    0,00    0,00    0,00    0,00   65,91
02:23:51     all   15,89    0,00    3,91    9,84    0,00    0,00    0,00    0,00    0,00   70,37
02:23:52     all   17,86    0,00    3,14   12,96    0,00    0,00    0,00    0,00    0,00   66,04
02:23:53     all   21,11    0,00    4,17   10,49    0,00    0,00    0,00    0,00    0,00   64,22
02:23:54     all   18,59    0,00    3,89   11,81    0,00    0,00    0,00    0,00    0,00   65,70
02:23:55     all   18,74    0,00    4,03   12,96    0,00    0,00    0,00    0,00    0,00   64,28
02:23:56     all   20,33    0,13    4,04   13,13    0,00    0,13    0,00    0,00    0,00   62,25
02:23:57     all   17,91    0,00    3,40   12,36    0,00    0,13    0,00    0,00    0,00   66,20
02:23:58     all   20,48    0,13    4,65    8,92    0,00    0,13    0,00    0,00    0,00   65,70
02:23:59     all   18,70    0,00    3,76   10,66    0,00    0,00    0,00    0,00    0,00   66,88
02:24:00     all   20,78    0,00    4,16    8,69    0,00    0,13    0,00    0,00    0,00   66,25
02:24:01     all   18,92    0,00    3,78   19,42    0,00    0,00    0,00    0,00    0,00   57,88
02:24:02     all   19,55    0,13    4,01   10,03    0,00    0,13    0,00    0,00    0,00   66,17
02:24:03     all   20,13    0,00    4,15   10,57    0,00    0,00    0,00    0,00    0,00   65,16
02:24:04     all   19,90    0,00    3,53    9,32    0,00    0,00    0,00    0,00    0,00   67,25
02:24:05     all   20,48    0,00    4,80   10,37    0,00    0,00    0,00    0,00    0,00   64,35
02:24:06     all   18,27    0,00    3,50   14,02    0,00    0,13    0,00    0,00    0,00   64,08
02:24:07     all   20,40    0,00    4,41    9,57    0,00    0,13    0,00    0,00    0,00   65,49
