--- 2026-06-04_01:38:48 ---
--- 2026-06-04_01:38:50 ---
--- 2026-06-04_01:38:52 ---
--- 2026-06-04_01:38:54 ---
--- 2026-06-04_01:38:56 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
servidor_hqc   0.00%     2.836MiB / 23.32GiB   0.01%
--- 2026-06-04_01:38:59 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
servidor_hqc   0.00%     2.824MiB / 23.32GiB   0.01%
--- 2026-06-04_01:39:02 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
servidor_hqc   0.00%     2.824MiB / 23.32GiB   0.01%
--- 2026-06-04_01:39:05 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc1   56.77%    3.996MiB / 23.32GiB   0.02%
servidor_hqc   34.53%    3.086MiB / 23.32GiB   0.01%
cliente_hqc2   49.47%    3.621MiB / 23.32GiB   0.02%
--- 2026-06-04_01:39:10 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc3   32.18%    4.363MiB / 23.32GiB   0.02%
cliente_hqc2   25.94%    3.609MiB / 23.32GiB   0.02%
cliente_hqc1   28.76%    4.215MiB / 23.32GiB   0.02%
servidor_hqc   49.14%    3.832MiB / 23.32GiB   0.02%
cliente_hqc4   23.42%    3.672MiB / 23.32GiB   0.02%
--- 2026-06-04_01:39:14 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc5   20.80%    3.586MiB / 23.32GiB   0.02%
cliente_hqc4   19.32%    3.621MiB / 23.32GiB   0.02%
cliente_hqc3   17.89%    3.633MiB / 23.32GiB   0.02%
cliente_hqc2   17.58%    3.582MiB / 23.32GiB   0.02%
cliente_hqc1   16.23%    2.906MiB / 23.32GiB   0.01%
servidor_hqc   51.99%    3.816MiB / 23.32GiB   0.02%
cliente_hqc6   16.44%    3.738MiB / 23.32GiB   0.02%
--- 2026-06-04_01:39:19 ---
