P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
803.21,802.32,2239.01,805.38,802.55
402.41,402.12,409.65,403.5,1827.27
402.48,401.92,408.96,403.65,402.19
402.27,402.02,408.92,403.61,402.25
402.31,402.23,409.46,403.58,402.28
402.74,402.43,408.87,404.7,402.44
402.39,402.13,410.17,403.54,401.98
402.15,402.09,408.77,403.41,402.54
402.19,402.09,409.0,403.38,402.19
402.83,402.01,408.81,403.53,402.05
402.46,402.07,408.78,403.72,401.97
1402.01,401.82,408.83,403.25,402.34
405.41,401.9,409.05,403.73,1827.24
402.35,402.12,409.08,403.46,402.04
402.29,402.05,408.88,403.33,402.09
402.37,402.0,408.91,1829.47,401.97
402.21,401.83,408.72,403.47,402.49
402.38,1401.49,409.42,403.5,401.94
402.24,402.44,409.0,404.26,402.69
402.07,401.97,408.91,403.47,401.91
402.7,402.07,408.93,403.62,402.04
402.22,402.27,409.57,403.46,402.41
402.25,401.9,408.75,1828.58,402.05
402.86,401.92,408.79,404.58,402.0
402.21,401.98,408.89,403.44,402.05
402.23,402.13,408.99,403.55,401.87
402.73,401.83,409.04,403.75,402.0
402.08,401.79,408.66,403.44,402.12
402.22,401.83,409.04,403.6,402.61
402.7,1401.01,414.67,403.48,401.87
402.15,401.89,409.07,403.5,401.86
402.24,402.03,409.11,403.55,401.92
402.2,402.42,408.76,403.51,402.03
402.27,402.03,410.85,403.43,401.94
402.28,402.55,414.36,404.56,402.32
402.35,401.86,408.77,404.52,401.97
402.21,401.99,408.89,403.43,401.84
402.17,402.02,409.8,403.43,401.96
402.12,402.52,408.84,403.52,402.03
402.18,401.93,408.74,404.86,402.27
402.16,401.9,408.7,403.26,402.46
1401.63,401.98,408.78,403.38,401.91
402.18,402.07,409.07,403.45,401.94
402.12,401.9,408.8,404.35,401.98
402.25,401.93,408.75,403.47,402.02
402.64,401.75,408.88,403.46,402.67
402.87,401.89,408.68,404.49,402.52
402.25,401.9,414.63,404.57,401.92
402.15,1401.56,409.49,404.54,402.01
402.24,402.07,408.84,404.63,402.19
402.22,402.01,408.88,404.58,401.97
402.73,402.0,409.05,404.46,402.0
402.21,402.44,409.3,404.42,402.01
402.35,401.99,408.71,403.59,402.06
402.31,401.85,408.83,404.58,401.94
402.23,401.8,413.62,403.37,402.08
402.08,401.88,413.61,404.64,402.02
402.21,401.99,408.94,403.68,401.89
402.21,402.05,409.1,403.26,401.83
402.24,401.92,408.77,403.34,401.84
402.28,402.0,409.41,404.52,402.05
402.73,402.02,409.18,403.61,401.92
402.27,402.04,409.33,403.43,401.88
402.18,401.94,409.04,403.38,401.89
402.22,401.91,412.06,403.49,401.88
402.74,1401.58,408.74,404.42,401.96
402.21,402.26,408.78,403.41,402.23
402.22,402.04,408.71,403.42,402.14
402.35,401.93,408.88,403.39,401.89
402.63,401.88,408.79,403.52,402.04
404.45,401.88,408.94,403.47,402.44
402.33,401.79,414.32,403.36,401.97
402.31,402.01,408.66,403.31,402.14
402.45,401.9,408.68,403.3,401.95
402.19,401.84,408.98,403.52,401.94
402.25,401.93,414.65,404.61,402.04
402.23,401.93,408.88,403.24,401.98
402.31,401.94,408.74,403.52,401.98
402.26,401.91,408.78,403.25,401.95
402.15,402.05,410.39,403.64,1827.13
402.0,401.94,409.31,403.51,402.11
402.16,401.79,408.84,403.92,402.06
402.24,402.66,413.64,403.37,402.23
402.29,402.67,408.76,403.25,402.05
402.27,401.89,408.99,403.4,401.98
402.14,402.06,413.51,403.48,402.02
402.21,1401.63,409.17,404.6,402.07
402.0,401.89,408.95,1829.38,401.91
402.68,401.96,408.74,403.47,401.91
402.16,401.89,408.77,403.51,401.96
402.13,402.05,409.62,403.32,402.06
402.33,402.14,408.71,403.44,402.07
402.28,401.93,408.87,404.65,402.6
402.56,402.08,408.81,403.44,402.07
402.23,401.88,408.66,403.39,403.04
402.27,401.87,408.8,404.31,401.96
402.25,401.85,408.94,403.49,401.94
402.15,402.05,408.98,404.51,402.48
402.16,402.15,1833.94,404.73,402.05
402.71,402.0,414.51,404.73,402.07
