P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
111.95,2.12,16.65,4.7,2.56
2.02,2.1,10.57,3.16,1.96
2.48,1.76,8.54,3.29,2.02
1.89,1.8,8.69,3.8,2.94
2.07,1.83,9.27,3.84,2.2
2.03,2.09,14.1,4.21,1.94
1.94,1.63,13.7,4.4,2.26
2.81,1.79,9.18,3.55,2.11
2.44,1.71,9.33,3.62,2.68
1.91,2.76,10.1,3.35,1.9
2.33,1.82,13.74,3.29,1.76
2.16,3.17,14.34,4.09,2.28
1.91,1.94,10.04,3.39,1.75
1.93,1.66,9.18,4.48,1.69
2.56,2.35,8.49,3.39,1.82
2.32,2.19,13.65,3.61,1.8
2.35,2.42,8.54,3.15,2.11
2.87,1.92,8.42,3.48,2.31
1.86,1.81,13.58,3.12,1.9
2.9,2.38,8.49,3.65,1.87
2.53,1.68,8.92,3.13,2.38
2.69,1.95,9.73,3.23,1.83
2.03,1.97,9.47,3.2,1.68
2.83,1.92,9.13,3.2,1.89
2.99,2.29,9.49,3.45,2.53
2.47,1.9,8.55,4.51,1.61
2.28,1.88,9.52,4.45,1.89
2.52,2.26,9.52,4.78,2.46
2.34,1.69,13.41,3.1,2.24
4.03,1.64,9.04,3.13,1.66
1.88,1.94,8.63,3.1,1.71
2.08,1.83,9.45,4.01,2.09
2.25,2.23,10.38,3.21,2.72
2.25,2.03,8.78,3.24,1.7
1.85,2.46,13.88,3.13,1.62
2.23,2.11,10.02,3.23,1.94
2.58,1.67,13.74,4.55,2.02
2.17,1.99,9.56,3.4,1.72
1.95,1.71,9.86,3.14,1.61
2.11,1.85,8.54,3.35,2.24
1.89,1.69,10.0,3.1,1.86
2.52,1.63,10.83,3.4,1.75
2.67,1.9,8.54,3.18,1.92
2.61,1.86,10.18,3.06,1.86
1.87,1.78,9.89,3.18,1.69
2.69,2.35,13.76,3.13,2.19
1.8,1.74,9.95,3.1,1.89
2.02,2.08,9.94,4.32,1.9
1.97,1.9,9.63,3.09,1.87
1.86,1.8,8.44,3.24,1.94
2.37,2.11,10.39,3.14,1.92
1.82,1.81,8.91,4.99,1.86
2.02,1.69,8.4,3.12,2.18
2.17,2.25,9.51,3.28,1.65
2.2,1.79,9.82,3.08,1.94
2.2,1.68,13.42,4.65,1.89
1.8,2.63,13.77,3.07,1.9
2.03,1.65,9.25,3.27,2.17
2.87,1.67,15.43,4.0,2.08
1.96,2.69,10.12,3.98,1.61
1.96,1.66,8.48,4.27,1.8
2.48,1.67,9.07,3.71,1.68
2.03,1.71,9.22,3.58,1.96
3.04,2.34,9.25,3.94,1.9
2.75,2.64,12.02,3.64,1.77
1.99,2.13,9.48,3.78,2.34
2.06,2.19,10.32,4.33,2.55
2.32,1.7,10.61,3.33,1.65
2.73,1.67,12.57,4.78,1.7
1.88,2.7,10.25,3.5,1.94
2.5,1.68,10.0,3.41,1.67
1.96,2.54,8.51,3.12,1.77
1.97,2.09,9.45,3.13,1.66
1.87,2.2,8.45,3.26,1.74
3.08,1.66,9.96,3.1,1.72
2.08,1.69,10.4,4.07,1.65
2.04,1.74,9.64,3.55,2.09
2.1,1.83,9.75,3.1,1.66
2.35,1.96,8.43,3.19,2.43
2.79,1.7,8.97,3.09,2.4
1.99,2.39,14.05,3.18,1.74
