P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.8,2.97,13.39,4.89,2.29
2.81,2.56,9.7,3.75,1.93
2.25,2.62,11.08,3.52,1.79
3.27,2.67,10.31,3.42,2.07
2.02,5.43,9.92,3.46,2.21
2.57,2.06,13.71,4.34,1.65
2.2,3.76,11.88,3.47,1.79
2.46,2.35,13.91,4.16,1.79
2.08,2.36,10.11,3.66,1.82
2.71,2.81,15.55,3.23,2.14
2.25,2.34,12.64,3.93,1.82
2.28,1.9,10.11,4.1,2.03
2.17,1.81,14.95,3.44,1.8
2.16,2.08,11.89,3.58,2.02
2.02,2.16,14.37,3.51,1.97
2.19,1.82,9.25,4.23,1.85
2.01,2.83,9.51,4.15,1.79
2.02,3.85,12.45,3.25,1.77
2.71,2.22,13.13,3.27,1.83
3.06,2.16,10.65,4.22,1.91
2.26,2.66,15.8,3.45,1.83
2.24,2.36,9.55,4.29,1.96
2.08,2.46,16.44,3.25,1.63
2.49,2.52,17.61,3.24,2.54
2.44,2.63,10.41,4.23,2.46
2.63,2.15,17.06,4.14,1.86
2.52,2.49,16.39,3.23,1.8
2.43,2.13,10.61,4.08,1.82
1.92,1.85,14.34,4.28,1.88
2.38,1.9,10.25,4.21,1.85
2.63,2.44,13.87,3.3,1.8
1.89,2.08,12.13,3.3,2.18
2.25,2.19,16.55,3.49,1.77
2.37,2.88,15.56,3.23,1.86
2.02,2.32,14.77,3.41,1.75
1.9,2.1,14.59,3.21,2.01
1.94,2.31,10.43,3.21,1.98
2.01,5.1,15.58,3.2,2.2
1.92,2.81,17.35,3.4,1.83
2.61,2.37,13.14,3.18,1.58
2.1,1.96,10.42,3.48,2.0
2.25,2.71,17.63,3.81,1.62
2.0,2.07,15.9,3.25,1.88
1.9,2.21,14.96,3.21,1.81
1.97,1.92,15.57,3.24,2.12
1.98,1.93,11.89,3.59,1.77
2.68,2.04,12.15,3.22,1.76
2.92,2.21,17.1,3.16,1.8
2.77,1.79,16.29,3.53,1.81
1.99,1.9,13.86,3.21,1.79
2.1,2.07,10.67,3.3,1.81
2.16,2.15,12.07,4.4,1.84
2.38,1.6,12.56,4.27,1.65
2.05,1.7,13.33,3.24,1.87
2.49,2.0,12.15,3.23,2.05
2.03,2.06,11.43,3.26,1.81
1.99,2.19,12.07,3.34,2.54
2.5,2.06,17.27,3.86,2.2
2.52,2.07,13.37,3.34,1.64
2.67,1.9,11.28,3.19,2.02
