P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.56,2.33,17.49,4.85,2.2
2.27,2.0,8.72,3.35,1.92
2.5,1.95,13.28,3.52,1.79
2.19,1.86,9.11,4.04,1.83
2.15,2.37,10.92,3.67,1.82
2.17,2.03,9.03,4.59,1.78
2.02,2.05,8.62,4.38,1.9
2.44,1.8,9.34,4.32,1.82
1.97,2.01,9.13,4.18,1.96
2.31,1.73,8.89,3.73,2.2
2.74,1.66,8.64,3.06,1.76
2.04,1.99,9.8,3.46,1.86
2.08,1.75,9.81,4.12,1.73
2.06,1.81,13.38,4.18,1.79
2.29,1.79,9.24,3.09,1.79
2.29,1.8,10.71,3.18,1.96
1.99,2.12,8.55,3.5,1.68
1.96,1.89,8.43,3.23,1.86
2.48,1.79,8.95,3.22,1.92
2.03,1.82,8.71,3.27,1.77
2.16,2.14,10.01,3.12,1.89
1.95,1.87,8.95,3.34,1.78
2.39,1.84,8.63,3.25,1.82
2.11,1.82,9.19,3.44,1.68
2.33,2.28,10.36,3.11,2.03
2.13,1.87,8.62,3.33,1.68
2.0,1.66,8.39,3.41,1.87
1.99,2.01,8.59,3.12,1.78
2.07,2.12,8.87,4.49,2.07
2.07,1.85,10.55,3.22,1.81
2.27,1.83,8.59,3.64,1.92
2.04,1.88,9.02,4.36,1.89
1.86,1.83,8.76,3.18,1.81
2.07,1.84,9.8,4.2,1.75
1.94,1.72,9.16,3.01,1.79
1.99,1.93,13.24,3.42,1.98
2.3,2.14,9.08,4.15,2.16
2.26,2.27,8.62,3.18,1.8
1.99,1.74,8.64,3.18,1.82
2.04,2.02,8.77,3.23,2.05
2.06,1.87,8.55,3.78,1.96
2.12,1.79,9.47,3.3,2.14
2.11,1.8,8.83,3.15,1.73
2.06,1.77,8.49,3.25,1.73
1.99,1.85,8.58,3.26,1.74
2.52,1.82,8.82,3.11,1.77
1.98,1.98,9.47,3.21,1.93
2.12,1.86,8.58,3.41,1.86
2.22,1.89,8.52,3.06,2.02
2.07,1.83,8.62,4.16,2.1
1.95,2.21,8.9,3.36,1.63
2.2,1.73,8.67,3.27,1.73
2.15,1.82,8.75,3.38,2.0
2.01,2.01,8.99,3.1,1.84
2.14,1.86,11.03,3.42,1.77
1.97,1.91,8.79,3.37,2.0
2.05,1.8,8.65,4.18,1.97
2.41,2.09,8.67,3.28,1.97
2.01,1.85,10.64,3.38,2.12
2.04,1.84,9.89,3.22,1.75
2.03,1.77,13.35,3.15,1.73
2.93,2.25,9.62,3.15,1.74
3.13,1.77,9.55,4.1,1.77
2.02,1.81,9.47,4.41,1.77
2.14,1.79,10.46,3.78,1.77
1.93,2.18,8.73,3.42,1.65
2.38,1.99,13.27,3.28,1.66
2.31,1.79,8.86,3.29,1.85
1.97,2.03,13.34,3.23,2.08
2.04,2.03,9.61,3.16,1.85
2.2,1.82,9.52,3.29,1.75
2.34,2.27,8.64,3.3,1.79
2.16,1.88,13.15,3.25,2.04
2.09,1.7,12.3,3.41,1.7
2.28,1.72,8.85,4.35,1.99
2.38,2.04,13.15,3.34,2.01
2.5,1.78,13.62,3.24,1.71
2.05,1.99,13.26,3.68,1.75
1.87,2.2,14.08,4.21,2.1
2.27,2.02,8.66,4.18,1.85
2.42,2.08,13.16,3.29,1.8
2.04,2.03,8.52,5.29,1.79
2.19,1.9,8.56,3.51,2.12
1.96,1.94,12.26,3.56,1.79
1.96,2.02,8.54,3.14,1.78
2.36,2.06,11.08,3.26,1.87
2.13,2.04,8.87,3.17,2.02
2.15,2.0,8.82,3.35,1.82
2.0,1.77,9.46,3.38,2.04
2.07,1.88,9.15,3.14,1.82
2.37,1.79,8.72,3.32,1.83
2.18,1.95,8.66,3.34,1.8
1.94,2.06,8.95,3.26,1.71
2.29,2.01,13.29,3.3,1.81
1.98,1.74,13.21,3.23,2.08
1.94,2.04,8.63,3.7,1.87
2.11,2.51,8.79,3.37,1.99
2.34,1.81,8.87,3.29,2.42
2.06,2.3,8.75,3.12,1.92
2.03,5.19,12.01,3.37,2.13
2.08,1.8,10.08,3.26,2.01
2.02,1.87,13.14,3.37,1.8
1.92,1.9,8.66,3.24,1.96
2.06,1.91,13.38,3.63,2.04
1.95,1.94,8.74,3.29,1.96
1.91,1.96,10.63,3.36,1.74
2.12,1.77,9.15,4.19,1.76
1.98,2.07,8.63,3.19,1.94
1.99,1.82,8.76,4.18,1.75
2.5,2.06,10.63,4.25,1.95
2.02,1.87,13.11,4.16,2.08
2.04,1.97,9.98,3.84,1.83
2.28,1.81,8.97,3.0,1.92
1.98,2.09,9.41,3.39,1.59
2.0,1.68,11.02,3.23,1.73
2.48,2.07,8.7,4.23,1.79
1.95,1.82,13.13,4.58,1.79
1.95,1.75,8.62,3.25,1.9
2.13,2.23,8.72,3.15,1.55
1.95,1.89,13.05,3.48,1.87
2.33,1.85,8.88,3.33,1.75
2.64,1.79,8.7,3.3,2.09
1.95,1.83,8.73,4.12,1.68
2.04,1.8,14.88,4.22,1.73
2.19,2.01,8.73,3.77,1.8
2.06,2.02,8.97,3.55,1.95
1.94,1.75,8.49,3.3,1.76
1.95,2.03,8.7,3.58,1.67
