P-521,p521_mlkem1024,mlkem1024
5.51,15.23,3.69
4.3,12.37,2.62
4.26,12.38,2.06
5.28,11.37,2.18
4.25,13.29,2.18
4.26,12.07,2.42
5.06,11.42,2.15
4.09,10.92,2.39
5.04,11.17,2.33
5.12,11.01,2.98
5.02,11.45,2.16
4.16,17.0,2.32
3.97,11.58,2.04
3.9,12.18,2.37
4.17,12.03,2.33
4.08,13.69,2.65
4.24,13.57,2.24
3.98,13.77,2.3
3.92,15.68,1.99
3.77,13.44,1.99
3.74,11.59,2.26
3.88,14.1,2.09
3.92,12.31,2.79
3.89,11.65,2.29
3.97,12.19,2.54
5.34,11.47,2.27
5.04,13.55,2.08
3.92,11.37,2.14
3.9,16.75,2.82
3.93,12.11,2.12
5.25,12.62,2.06
3.8,12.2,2.86
3.78,11.93,2.26
5.02,11.51,2.1
3.83,12.11,2.35
3.96,12.74,2.29
3.88,11.05,2.44
4.06,11.27,2.14
5.04,13.43,2.15
4.33,13.29,3.46
3.77,13.42,2.47
3.8,16.83,2.29
3.9,14.2,2.12
5.0,12.77,2.58
5.13,11.69,2.52
4.0,12.56,2.46
4.37,14.7,2.13
4.01,11.48,2.37
3.99,11.7,2.67
3.98,12.99,2.25
5.46,11.56,2.18
3.88,13.36,2.39
4.16,11.16,2.05
5.28,11.55,2.04
3.99,12.1,2.06
3.97,13.61,2.69
3.93,11.51,2.0
5.18,11.17,2.98
3.92,11.42,2.11
4.12,11.28,2.0
3.92,11.05,2.06
3.92,13.63,2.08
5.12,13.03,2.06
5.33,13.85,2.04
5.04,13.48,2.12
3.86,13.2,2.04
3.92,11.59,2.54
3.89,14.3,2.13
4.07,12.96,2.08
3.9,12.74,2.66
3.96,10.84,2.23
4.0,16.17,3.13
3.94,12.87,2.07
3.93,16.26,2.68
4.02,12.52,2.15
3.91,10.94,2.31
3.91,12.71,2.0
3.93,16.46,2.07
3.97,10.83,2.23
4.32,11.2,2.15
4.0,11.25,2.4
3.96,11.69,2.31
3.98,11.13,2.22
4.0,13.11,2.15
3.96,14.22,2.34
5.01,17.1,2.5
4.0,13.15,2.04
5.09,11.14,2.55
3.99,13.41,2.01
4.21,11.71,2.12
3.86,12.42,2.46
3.91,13.16,2.04
3.94,16.5,2.69
4.07,11.42,2.12
4.06,11.37,2.11
3.87,11.23,2.56
5.12,12.88,2.16
3.88,13.73,2.39
5.17,11.64,2.16
5.15,11.05,2.18
3.89,12.08,2.26
3.89,11.94,2.06
4.01,12.38,2.08
3.89,12.27,2.14
4.03,11.92,2.04
4.12,12.04,2.1
5.03,11.97,3.02
3.88,12.53,2.06
3.88,16.8,2.39
3.93,16.52,2.24
3.87,11.34,2.4
3.91,11.17,2.3
5.05,17.41,2.54
5.13,17.47,2.07
5.07,13.75,2.19
4.09,14.32,2.17
4.08,12.94,2.12
3.93,17.37,2.03
4.18,17.4,2.43
5.08,12.13,3.3
5.0,13.14,2.08
5.41,16.95,2.08
4.17,15.79,2.18
5.41,16.99,2.29
5.04,15.21,2.2
3.75,14.48,2.3
3.98,11.87,2.15
3.99,12.17,2.1
4.99,13.12,2.33
3.93,11.46,2.07
4.13,11.92,2.18
3.95,11.44,2.19
3.99,12.51,2.24
3.97,14.25,2.62
5.28,11.0,2.14
4.01,13.11,2.31
3.93,13.9,2.14
5.04,10.78,2.14
4.18,10.8,2.53
3.93,13.01,2.09
5.13,10.98,2.3
5.04,11.66,2.1
4.05,11.74,2.19
5.0,11.7,2.79
3.92,16.64,2.04
4.23,11.44,2.47
4.96,11.26,2.67
5.41,16.83,2.03
3.95,14.48,2.83
3.87,11.26,2.22
3.98,10.91,2.32
3.79,16.15,2.04
5.01,12.83,2.21
4.93,12.8,2.01
3.78,11.77,2.01
3.84,11.1,2.23
3.77,11.72,2.2
5.0,13.42,2.09
5.03,13.62,2.12
4.07,12.08,2.34
3.83,12.72,2.5
5.17,11.01,2.32
3.76,14.04,2.31
3.83,11.32,2.92
3.96,11.84,2.06
5.2,11.72,2.61
5.28,13.35,2.43
4.02,13.61,2.58
5.02,11.2,2.77
5.04,11.04,2.33
4.15,3013.19,2.39
4.18,11.44,2.41
4.94,70.9,3.06
4.94,11.79,2.41
3.97,12.0,2.45
4.94,11.46,3.39
3.94,3206.77,2.4
3.76,11.08,2.33
4.04,14.51,2.95
5.03,11.54,2.26
5.3,16.79,2.07
3.74,12.32,2.05
3.91,53.97,2.2
3.94,16.51,3.15
3.93,12.24,1999.99
5.02,2034.72,3028.02
5.0,11.47,2.98
5.07,52.33,2.96
5.04,13.16,2082.71
5.01,16.91,2.16
5.0,13.45,2.11
5.02,10.63,2.26
3.92,12.65,2.08
5.04,16.34,2.57
3.91,10.65,2.11
5.1,16.34,2.06
4.04,2007.73,2.05
3.96,16.69,3026.5
3.79,11.92,2.09
4.95,16.8,2.12
4.96,4031.64,3083.51
5.0,13.15,1001.65
5.04,11.7,29.88
3.98,3130.7,2.11
4.87,12.83,2.07
3.96,51.76,29.63
5.0,100.97,2.06
3.95,12.34,2.38
4.98,12.06,2000.53
3.83,41.66,2.11
4.93,7038.15,29.94
5.1,71.46,2.75
4.91,2090.28,2.19
4.14,11.25,1.96
4.97,76.42,2.01
5.07,17.75,2.04
3.85,18.19,2.26
3.86,16.61,1001.59
5.13,17.0,30.2
4.98,14.01,2.17
3.87,104.1,30.05
5.05,61.45,2027.84
5.03,66.54,2.09
4.31,20.56,2.54
3.74,2008.25,2.44
3.95,2008.03,2.4
5.01,10.69,3.02
