P-521,p521_mlkem1024,mlkem1024
4.16,16.24,2.65
4.14,13.37,2.02
4.22,16.47,2.48
4.13,13.71,2.35
3.91,12.93,1.89
5.25,16.37,2.26
5.09,10.91,2.12
5.2,16.16,1.93
4.95,16.22,2.37
7.27,12.74,2.09
4.39,12.75,2.22
3.87,11.01,1.94
5.27,11.21,2.25
4.0,16.65,2.34
3.99,11.04,2.05
3.75,10.91,2.24
3.88,10.82,2.57
4.18,17.18,2.47
3.89,11.95,2.1
3.84,10.81,2.44
3.89,10.93,2.07
4.04,13.22,2.06
3.77,12.96,2.07
5.26,10.66,1.95
5.99,12.72,2.27
4.03,13.47,1.9
5.15,12.09,2.12
3.83,13.32,4.19
4.02,11.05,2.06
4.21,11.13,2.04
3.96,11.54,2.12
3.88,11.11,2.33
4.17,13.26,2.12
3.84,13.05,2.04
4.11,11.3,2.23
3.81,10.94,2.05
3.84,11.96,2.58
4.64,12.9,2.27
3.93,16.18,2.08
4.18,12.7,2.35
3.9,16.27,2.34
3.91,10.92,2.09
3.94,12.01,1.95
4.09,11.31,1.95
4.0,12.94,2.22
4.14,13.03,2.11
3.95,12.02,1.92
3.92,13.02,1.94
4.2,13.95,2.27
3.8,11.15,2.19
4.11,10.8,2.07
3.81,13.2,2.64
4.13,16.2,2.05
3.94,12.54,2.25
4.22,10.68,2.45
4.0,13.91,2.31
4.0,11.23,2.58
4.87,13.06,2.45
3.96,10.72,2.06
3.98,11.26,2.04
3.95,17.41,2.18
4.11,16.38,2.21
3.93,10.96,2.45
4.43,15.23,2.26
3.78,10.91,2.03
4.14,16.3,2.19
3.85,10.97,2.1
4.09,11.11,2.11
4.06,10.73,2.18
4.19,16.41,2.15
4.06,11.15,2.62
3.91,16.48,2.41
3.94,11.13,2.12
4.05,11.02,2.31
4.26,10.85,2.08
3.94,14.26,2.33
3.75,10.71,2.28
5.26,10.82,2.06
5.43,11.2,2.24
3.98,12.9,2.36
3.91,12.98,2.03
3.85,10.77,1.98
5.16,12.75,2.2
3.75,10.74,2.48
3.92,10.77,2.21
3.92,11.55,2.02
3.77,16.18,2.08
3.92,12.61,2.21
4.2,10.87,1.93
4.12,10.78,2.09
4.53,16.13,2.09
5.12,13.51,2.17
3.9,10.73,2.47
3.96,13.63,2.3
4.07,16.26,2.6
4.73,16.72,2.12
3.84,12.93,2.1
4.05,10.76,2.01
3.87,10.89,2.08
3.95,11.19,2.88
3.9,10.93,2.36
5.78,17.64,2.01
4.01,16.41,2.46
4.68,11.09,2.49
4.0,11.06,2.57
4.24,11.59,2.1
4.03,10.94,2.44
5.16,11.81,2.14
3.95,13.76,2.51
5.12,14.73,2.27
3.97,16.16,2.02
4.14,16.68,2.46
5.46,11.34,2.35
4.39,10.99,2.47
4.0,3094.81,2.16
3.68,11.14,2.35
5.0,8115.45,2.29
3.98,10.66,2.29
4.26,4954.74,1.94
3.81,40.37,2.17
3.88,40.37,2.31
3.83,10.92,1.98
3.8,12.7,2.2
3.85,4087.27,2.25
3.94,11.12,2.19
5.28,16.33,2.05
3.9,10.96,1.97
3.93,10.94,2.27
3.69,10.85,2.02
3.99,1096.05,2.07
3.93,7390.46,2.42
4.07,40.41,2.19
4.97,10.7,2.7
4.04,7328.45,2.2
4.03,13.02,2.0
4.06,3721.25,2.08
3.96,377.09,2.25
5.09,3063.19,2.12
3.95,7238.28,2.17
5.05,268.42,2.39
3.89,40.64,2.0
3.95,51.82,2.04
4.03,11.26,2.24
4.04,7064.7,2.29
4.01,247.05,2.51
3.88,11.03,2.01
4.11,41.87,2.01
3.92,345.7,2.18
4.16,10.98,2.01
3.89,10.98,2.74
4.01,11.11,2.53
4.02,8033.35,1.95
3.99,10.81,2.06
5.17,4060.28,2.06
3.79,2007.78,2.47
4.23,11.54,2.44
3.95,3121.5,2.23
4.17,4031.16,2.55
5.01,1010.2,2.17
3.84,8164.08,2.24
5.2,79.35,2.16
3.88,11.11,2.4
5.08,670.61,2.31
4.16,10.72,1.92
3.91,12.74,1.92
5.25,4767.83,1.9
4.03,6494.31,2.08
4.07,16.71,2.35
5.08,10.86,1.93
3.8,11.51,2.31
6.35,10.92,2.62
3.73,2035.65,2.53
32.66,111.0,2.67
3001.04,3032.93,1.97
3.79,10.77,2.81
3001.65,9194.86,2.28
3111.11,3253.41,2.1
7027.87,42.34,2.03
7000.19,8486.48,2.57
3113.2,3065.47,2.17
168.74,45.3,2.01
7085.06,10.79,2.08
3000.86,10.99,14105.99
3000.94,16.27,143.41
4.01,42.13,2.41
4.14,271.35,29.64
7000.02,13.26,2.31
3083.37,45.23,85.12
3000.67,16.21,4027.27
5.14,11.2,2000.65
3081.54,10.97,8023.22
3879.33,11.05,3410.9
3028.42,40.63,2.33
3.79,5302.79,2.47
3.84,2214.05,2.23
4.12,10.98,7040.26
3028.35,4057.02,2.54
