P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.73,4.14,17.21,7.23,6.28
5.25,4.03,13.01,6.92,3.24
6.92,3.9,18.58,5.81,3.6
7.77,3.87,12.34,5.54,4.76
6.39,3.82,12.95,6.86,3.45
6.46,3.73,15.98,6.62,3.17
5.2,3.75,12.56,6.6,3.17
5.39,3.93,18.32,8.18,3.62
6.5,3.96,19.56,5.66,3.19
5.8,4.63,19.32,5.69,3.47
5.76,3.72,12.75,6.66,3.53
6.84,4.59,14.28,8.2,3.08
7.4,3.8,14.85,6.11,3.18
5.13,3.79,12.44,5.69,3.02
7.29,3.84,14.96,6.67,3.33
7.3,3.75,19.19,6.09,3.45
5.14,5.57,12.09,5.86,3.21
5.33,5.61,13.3,5.62,3.37
5.37,3.72,15.33,6.6,3.95
6.57,3.8,14.14,5.75,3.1
7.15,3.74,11.93,5.62,4.47
6.43,3.9,13.37,8.01,2.94
5.12,4.03,12.23,5.65,4.35
6.41,3.95,11.84,6.7,4.28
5.35,3.86,14.58,5.62,4.19
5.15,3.98,11.99,5.65,3.4
5.08,4.54,11.82,5.68,2.91
5.09,3.68,12.24,5.66,2.94
5.07,4.52,12.06,5.53,3.37
5.14,4.51,11.95,8.06,3.37
5.13,3.71,12.21,5.57,3.5
5.03,4.37,12.18,5.55,2.92
5.07,3.71,11.85,7.97,3.37
5.07,4.14,14.3,5.71,3.37
5.13,5.29,11.95,5.58,3.37
5.12,4.52,12.26,5.77,2.89
5.12,5.3,12.09,6.65,3.41
5.05,4.42,11.99,6.54,3.32
6.14,3.73,13.18,8.07,2.93
5.15,4.88,12.59,5.6,3.35
7.3,5.28,13.04,5.55,3.19
5.12,5.29,11.83,5.59,3.4
5.25,3.94,12.27,8.06,3.08
5.06,4.06,14.48,5.68,3.79
7.27,4.46,12.36,5.67,4.54
5.28,3.79,12.22,6.66,4.7
6.4,5.33,12.49,6.6,4.64
5.11,4.52,12.25,6.68,2.97
5.06,4.54,18.84,5.66,3.73
6.39,4.05,11.96,5.63,3.03
7.18,4.58,12.42,5.57,4.79
6.21,3.82,13.12,5.65,3.43
5.36,4.51,12.2,6.13,3.6
5.32,4.6,12.6,5.69,3.0
5.09,3.78,13.32,8.07,3.6
6.19,3.75,11.82,5.81,3.55
5.36,4.5,14.32,5.64,3.42
5.82,3.73,13.12,5.82,3.17
5.55,3.86,12.09,5.63,3.0
5.27,5.3,18.85,7.93,3.01
6.97,4.56,11.85,5.68,3.16
5.83,3.73,11.96,6.3,4.12
5.38,4.61,12.07,5.63,3.2
7.51,4.54,12.01,5.64,4.21
5.24,3.73,11.82,8.01,4.7
6.03,3.73,11.92,5.82,3.65
5.16,3.76,12.39,5.74,3.08
5.06,3.73,12.14,5.63,4.33
5.39,3.76,11.83,5.66,3.47
5.16,3.72,12.21,5.88,3.09
5.0,3.86,11.87,5.55,2.94
5.13,5.51,11.97,5.53,2.91
5.21,3.76,12.6,8.07,3.0
5.13,3.85,12.47,5.63,3.14
5.17,3.79,16.2,5.73,3.08
5.07,3.72,11.99,5.64,2.94
7.16,3.74,14.7,5.61,2.97
5.09,5.33,12.22,5.61,3.04
5.08,5.31,12.31,5.63,3.69
5.2,5.38,12.27,5.52,3.02
