P-521,p521_mlkem1024,mlkem1024
5.68,18.55,3.82
5.19,12.62,3.38
5.28,13.14,3.44
7.05,12.9,3.44
6.92,17.56,3.43
6.27,13.17,4.71
5.13,13.79,3.42
6.01,13.35,3.21
6.48,12.48,3.44
5.07,12.27,4.12
5.43,12.42,3.33
5.04,19.31,3.17
7.5,13.3,3.4
5.83,12.59,3.2
5.22,14.26,4.49
5.09,13.58,3.39
5.27,18.84,3.76
5.3,14.31,3.11
5.2,13.18,3.58
6.34,12.86,3.51
5.23,12.95,3.11
5.85,12.67,3.99
5.44,12.76,3.1
5.55,13.74,3.22
5.42,14.23,3.2
6.33,12.25,4.34
6.43,12.13,3.32
5.05,12.48,3.35
5.12,12.21,3.33
5.21,13.43,3.14
5.05,14.08,3.56
4.95,12.21,3.48
7.28,16.05,3.24
7.31,14.5,3.29
5.0,12.94,3.3
5.05,15.24,3.75
6.32,14.35,3.77
5.12,13.71,4.85
5.01,12.39,3.19
5.04,13.28,3.21
5.05,14.2,3.81
7.25,14.2,3.17
7.18,12.19,3.52
4.97,18.96,3.19
5.38,12.73,3.6
5.04,12.51,3.25
7.64,19.2,3.18
5.04,12.07,3.31
5.05,13.18,4.5
5.22,12.29,3.3
4.96,12.56,3.15
5.09,13.44,4.7
5.04,12.29,3.17
5.24,15.13,3.14
5.08,13.13,3.5
5.36,13.95,3.17
5.19,12.07,4.62
5.25,14.4,3.17
4.99,13.7,3.78
5.09,12.77,3.17
5.08,12.54,3.61
4.98,15.53,3.32
5.33,12.58,3.13
5.14,14.62,4.91
5.56,12.36,3.55
5.01,12.01,4.75
5.12,19.14,3.13
5.24,12.53,3.33
5.23,14.08,3.23
5.05,12.02,3.13
5.42,18.83,3.6
5.05,12.34,3.15
5.27,17.59,3.7
5.05,12.68,4.42
5.09,13.84,3.17
5.48,12.51,3.49
5.0,12.43,4.46
5.38,13.66,4.75
7.34,14.7,4.43
5.11,14.11,3.48
6.96,15.15,3.17
5.04,13.05,4.04
5.59,18.92,3.91
5.11,13.23,3.19
5.36,12.11,4.2
5.0,12.24,4.65
5.22,12.34,3.19
5.07,12.39,3.52
4.98,19.27,4.4
5.19,12.2,3.19
9.24,18.82,3.8
7.18,15.75,3.14
7.04,11.95,3.14
7.11,11.86,3.21
6.21,12.75,3.25
5.03,12.4,3.12
5.06,13.05,3.51
5.19,11.88,4.59
5.15,12.61,3.57
5.05,12.23,3.65
6.47,11.91,3.13
7.26,11.9,3.2
5.23,18.44,3.14
5.02,18.16,3.85
5.14,13.13,3.25
5.02,17.74,3.53
5.45,14.54,3.14
5.09,18.77,3.42
5.13,13.38,3.05
4.98,18.7,3.18
6.98,12.64,3.13
6.4,11.87,3.16
6.21,12.24,4.39
6.27,13.29,3.12
6.28,12.14,3.1
6.24,14.64,3.14
