P-521,p521_mlkem1024,mlkem1024
5.39,15.88,3.62
5.52,12.26,3.37
7.17,12.22,3.31
5.16,18.5,3.48
4.98,11.93,4.68
5.38,13.37,3.2
5.15,12.02,4.46
5.03,12.12,3.42
4.98,18.32,3.45
5.01,11.93,3.23
6.28,18.23,3.26
7.11,11.7,4.49
5.26,11.83,3.33
5.39,12.39,3.25
6.27,18.43,3.19
4.97,13.62,3.41
5.02,12.02,3.1
6.96,12.7,3.14
5.21,12.22,3.49
5.54,11.93,3.1
5.2,11.72,3.17
6.98,11.82,3.24
7.2,11.91,3.16
8.71,11.78,3.18
5.07,12.04,3.15
7.06,12.19,3.08
6.24,12.14,3.57
5.02,12.05,3.1
5.35,12.24,3.32
6.25,11.98,3.05
6.41,11.91,3.2
6.56,13.54,3.34
5.02,11.96,4.41
5.17,11.92,3.33
9.45,12.07,4.63
7.17,12.32,3.13
4.95,12.12,3.24
5.0,11.94,3.13
5.15,12.24,4.45
5.05,11.99,3.15
5.11,11.95,3.24
4.93,11.9,4.66
4.91,11.89,3.06
5.03,11.8,3.07
7.0,12.0,3.33
7.3,11.79,5.83
4.96,11.9,3.21
5.15,11.89,3.33
4.96,11.89,3.06
5.1,11.82,3.18
8.6,12.36,3.19
5.06,12.17,3.11
7.02,12.39,3.21
5.02,12.03,3.31
5.25,11.99,3.52
6.45,13.21,3.11
4.96,11.88,3.23
5.09,11.95,3.43
6.28,12.16,3.33
6.67,12.57,3.17
4.99,12.05,3.11
6.5,14.69,3.18
5.02,12.04,3.11
6.24,11.99,3.04
7.25,12.8,3.17
5.22,11.84,3.14
4.93,12.59,3.16
4.96,11.89,3.13
5.1,11.86,3.19
4.92,11.87,3.24
6.27,12.08,3.09
7.16,11.81,3.11
7.05,11.88,3.04
6.36,11.96,3.09
7.06,11.89,3.37
5.05,18.51,3.21
4.93,12.73,3.22
5.11,11.92,3.15
4.95,12.45,3.23
5.19,13.51,3.23
7.0,11.87,3.69
6.81,11.88,3.16
5.1,11.93,3.65
6.23,18.33,3.39
7.17,11.93,3.64
4.97,13.74,3.21
5.17,12.04,3.18
6.66,12.12,3.2
4.98,13.24,3.29
7.06,11.9,4.57
6.24,11.94,3.22
5.42,18.68,3.12
5.0,14.03,3.22
6.61,11.86,3.38
5.26,12.11,3.11
5.05,12.17,4.03
4.99,11.98,3.41
5.14,13.25,3.37
6.28,18.25,3.08
4.96,11.72,3.26
5.43,12.02,3.71
6.23,11.93,3.14
5.0,12.02,3.21
6.21,13.24,4.78
4.94,18.24,4.68
7.2,11.85,5.09
5.83,11.78,3.32
5.06,11.96,3.13
6.68,11.73,4.41
6.25,18.41,3.13
7.42,12.01,4.42
5.13,11.89,3.19
6.98,12.28,3.14
5.01,11.84,3.65
7.1,14.07,3.12
6.27,13.98,3.59
5.12,11.88,3.56
5.24,11.86,4.43
6.19,11.87,3.18
6.29,11.95,3.13
6.22,11.93,3.65
5.14,12.43,3.24
5.01,18.22,3.29
5.01,11.76,3.19
5.04,18.21,4.42
4.99,11.97,3.09
7.05,12.54,3.16
7.18,11.87,4.45
5.07,11.94,3.19
4.98,18.21,3.17
5.15,12.04,3.24
7.04,12.64,3.12
4.99,18.21,3.23
7.03,12.47,3.24
4.86,12.05,3.13
5.17,12.0,3.25
5.04,12.0,3.15
4.95,14.14,3.59
4.96,11.94,3.71
5.01,11.93,3.17
4.99,12.02,3.76
5.12,11.87,4.47
4.91,14.02,4.54
4.88,14.05,3.18
4.94,17.41,3.11
5.13,14.16,3.1
6.32,14.19,3.17
7.37,14.07,3.23
5.03,14.1,3.21
5.1,12.17,3.16
4.92,12.04,3.67
4.99,18.18,4.44
6.17,11.69,4.54
5.03,11.89,3.11
6.99,18.15,4.48
5.46,18.34,3.36
8.52,14.42,3.13
5.04,14.13,3.08
5.01,12.31,3.33
4.96,18.3,3.06
4.97,11.91,3.76
6.2,12.19,3.34
6.44,14.04,4.59
6.42,11.78,3.1
4.93,12.09,3.23
6.28,11.98,3.06
5.13,11.89,3.06
5.37,12.06,3.14
4.98,13.34,3.84
6.28,11.92,1026.43
5.06,12.05,1020.56
4.95,18.35,1008.41
5.07,12.62,1030.1
5.36,18.22,3.14
1004.43,18.3,1022.53
