P-521,p521_mlkem1024,mlkem1024
1205.22,1220.17,1204.16
804.84,813.71,804.18
804.92,7721.04,803.54
805.07,811.62,804.27
4254.53,4042.51,803.85
804.48,816.93,804.21
804.7,811.55,2637.47
805.79,813.36,803.77
804.54,811.29,803.13
804.53,811.28,803.52
806.04,813.12,803.87
804.5,811.84,803.54
804.64,811.44,803.97
804.48,811.58,803.27
804.58,811.41,803.1
807.48,813.11,803.91
806.76,811.18,803.17
804.96,816.81,803.62
805.07,811.41,803.22
806.06,5062.61,803.41
804.7,816.58,6086.08
804.66,2241.81,4883.98
805.85,811.28,803.16
2233.23,811.27,803.87
804.7,812.66,2232.58
806.01,811.74,803.23
806.99,813.16,803.74
2233.22,820.1,4235.65
804.34,813.7,803.51
805.73,811.86,2232.11
805.47,811.61,803.06
804.91,812.16,803.21
7805.3,811.39,803.41
804.32,813.3,803.34
3806.12,811.55,803.17
804.67,811.56,803.1
3806.48,813.21,803.18
804.61,811.62,803.31
2232.97,813.24,803.95
804.26,2245.23,803.81
804.78,816.79,803.09
2233.23,811.65,803.16
2233.45,811.52,803.6
804.6,4640.05,803.28
804.74,4494.49,4035.07
2234.01,818.45,803.35
804.81,811.39,803.1
804.42,4668.81,803.74
3518.29,811.61,4035.42
804.68,818.81,803.29
804.7,811.85,803.4
2234.69,2242.05,4036.28
805.11,4491.22,803.12
805.73,811.81,4035.14
4256.49,812.76,803.25
805.02,811.34,803.23
804.92,811.33,4520.03
3805.1,811.4,1809.76
804.61,814.99,2230.88
804.42,6095.56,803.27
804.88,4041.72,803.46
804.64,811.32,803.79
804.57,811.53,803.74
804.43,4448.19,2232.23
804.66,811.48,803.2
4205.0,813.58,804.75
804.65,811.75,803.26
804.47,811.43,804.25
804.69,4042.41,803.47
805.12,811.31,803.74
805.16,813.66,803.36
4231.78,811.51,4653.01
4935.91,811.09,803.36
804.81,811.31,803.8
804.65,812.8,803.38
3805.98,2242.16,803.77
805.86,818.44,803.92
804.75,817.15,2231.76
804.92,811.09,803.3
5654.39,811.2,2637.55
3805.82,811.42,803.48
805.55,811.21,2232.61
804.19,2242.4,803.35
804.29,811.58,803.25
805.8,4043.03,4035.26
4652.33,811.42,803.56
804.56,811.58,3110.24
804.78,811.42,803.19
804.44,811.35,803.35
804.41,811.36,803.09
804.59,811.37,803.99
805.7,811.4,803.96
804.66,811.48,803.34
805.03,4042.61,803.14
805.62,811.36,803.46
804.58,811.69,4683.02
804.37,811.17,803.93
804.92,2652.6,803.44
805.86,811.24,803.62
804.5,4242.34,803.57
805.45,813.23,803.62
804.81,817.1,803.4
805.17,2241.85,803.27
804.22,811.12,803.26
806.24,2241.68,4034.63
