P-521,p521_mlkem1024,mlkem1024
8.1,23.22,3.71
7.68,20.54,3.43
7.69,16.24,3.71
8.2,16.8,3.86
6.4,17.84,3.31
6.25,16.8,3.09
5.79,15.85,3.6
6.35,17.59,3.2
6.81,15.93,3.27
5.67,16.25,3.31
5.71,24.36,3.02
6.01,15.84,3.38
5.88,16.36,3.09
6.68,16.06,3.94
5.96,24.65,3.47
6.07,24.18,3.49
5.82,24.29,3.52
6.72,16.53,4.29
7.74,17.54,3.16
5.99,17.59,3.42
6.24,24.64,3.72
5.72,16.63,3.74
5.99,16.9,3.0
5.82,18.74,3.24
6.02,16.41,3.41
6.21,18.37,3.55
7.31,23.26,2.92
5.7,16.69,2.91
7.08,20.43,3.82
5.76,17.98,3.04
5.91,16.94,3.5
6.17,25.95,3.14
5.92,19.92,3.03
7.57,17.26,2.97
6.34,16.41,2.95
6.85,16.53,3.76
6.73,16.39,3.71
6.04,15.81,2.92
6.05,23.79,3.05
5.86,17.19,3.02
7.19,24.03,2.86
5.84,16.25,2.75
5.72,17.53,2.88
6.18,17.67,3.99
5.83,16.41,2.96
5.87,16.31,3.65
6.68,17.23,2.96
6.17,16.14,3.55
5.87,24.77,2.89
6.15,22.46,3.41
6.27,32.35,3.44
5.72,29.63,3.77
8.91,21.34,3.69
5.8,30.57,3.46
7.97,20.35,3.36
6.25,30.52,3.35
5.78,32.27,2.98
5.95,17.82,3.71
5.88,18.68,3.61
7.54,19.78,3.12
5.99,19.4,3.59
6.26,16.34,3.31
7.34,18.22,3.02
7.16,16.43,3.83
6.03,18.86,2.82
7.64,16.46,3.78
8.01,17.59,3.16
5.94,16.19,4.45
5.91,16.37,2.96
7.8,24.55,2.85
5.8,16.43,3.99
6.27,17.79,2.97
6.33,15.79,3.47
5.66,24.52,3.63
6.64,17.46,2.97
6.02,23.58,3.14
5.82,17.34,4.1
5.67,16.17,2.95
7.05,17.3,3.17
6.13,18.12,2.94
5.77,18.98,3.28
7.61,24.03,2.98
6.04,17.5,3.15
5.96,16.35,2.81
6.71,16.65,3.45
6.33,15.96,4.2
7.31,17.02,3.0
7.47,16.54,3.19
5.92,15.68,3.34
6.67,19.32,2.71
5.97,16.29,3.09
5.89,15.59,3.38
6.0,15.83,4.16
6.95,17.39,3.17
5.92,19.33,3.31
5.79,17.29,3.34
5.89,16.1,3.2
8.3,17.07,2.94
5.86,17.05,4.03
8.82,16.38,4.31
6.01,15.54,3.64
5.89,15.87,3.06
6.24,18.87,2.98
6.15,15.71,2.67
5.83,16.89,3.34
6.45,16.05,3.54
5.78,27.86,3.25
6.11,20.25,3.44
7.6,16.21,3.87
6.82,16.93,3.11
6.16,16.93,2.91
5.84,16.15,3.0
6.58,16.36,2.85
5.88,17.71,3.37
5.66,19.59,2.87
5.84,20.06,3.52
6.24,18.63,3.07
7.36,15.64,3.17
6.12,19.17,3.51
7.73,25.1,3.6
5.9,18.91,4.08
6.06,25.79,3.82
6.04,19.25,3.06
6.0,17.25,3.38
6.78,23.82,3.24
5.69,16.24,3.21
5.78,19.7,4.17
6.0,16.34,3.11
6.12,19.87,3.62
6.11,19.17,3.04
6.16,18.19,3.04
6.08,23.89,3.31
5.91,17.73,3.1
6.61,16.1,3.21
5.91,17.02,3.41
5.99,16.78,3.29
6.0,16.59,3.23
5.82,17.79,3.41
8.02,16.25,3.75
5.78,15.59,3.07
5.85,17.68,3.65
7.81,23.84,4.22
5.94,16.23,3.7
6.12,16.17,3.63
6.23,20.06,2.99
5.93,19.0,3.6
5.92,16.46,3.0
7.1,16.6,4.08
5.96,15.98,4.67
5.91,16.63,3.65
5.67,17.19,3.03
6.46,18.73,3.68
5.99,16.53,3.17
8.39,18.55,2.98
5.98,21.38,4.04
6.06,15.88,3.13
7.44,16.14,3.81
7.66,16.68,3.8
5.93,16.22,3.05
6.01,26.43,3.54
7.64,16.03,2.89
8.0,17.77,3.65
6.01,24.26,3.05
5.82,17.32,3.21
6.49,15.71,2.96
6.06,23.93,4.03
6.6,24.66,3.26
5.7,17.33,3.25
6.18,17.8,4.07
6.34,16.16,3.35
6.0,15.88,3.43
5.86,15.92,3.2
6.63,24.88,3.65
6.2,16.59,3.09
5.93,16.34,3.12
6.04,24.03,3.04
5.84,17.25,3.43
6.82,15.54,3.31
6.0,16.26,3.28
5.66,16.43,3.74
5.79,16.21,2.94
6.86,16.81,2.93
6.07,24.25,2.95
