P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
806.0,804.5,816.38,809.49,803.92
405.51,404.92,412.38,407.74,403.6
405.89,404.21,412.46,406.04,1402.68
405.77,405.63,412.31,406.19,403.45
405.48,403.93,418.8,406.14,403.47
405.51,404.03,413.08,405.95,403.39
405.45,404.17,412.4,408.69,403.55
1404.88,404.91,413.23,405.82,1402.72
405.33,404.01,413.48,406.05,403.32
405.41,405.54,412.43,405.93,403.28
406.94,404.22,414.67,405.93,403.23
405.26,404.78,412.34,406.16,404.7
405.39,404.04,412.42,405.99,403.37
405.31,404.08,412.54,405.94,403.32
405.37,403.81,412.24,406.0,403.24
405.24,403.93,412.31,406.12,403.35
405.48,404.04,412.14,405.78,403.21
405.38,405.65,412.24,405.89,403.33
406.73,403.98,418.75,405.82,403.2
405.3,403.98,414.28,405.94,403.4
405.33,404.19,412.22,408.32,403.31
405.2,403.97,412.35,405.89,403.18
405.27,403.97,413.17,406.35,403.3
405.25,405.83,412.29,408.44,403.35
405.33,405.62,2642.25,406.47,403.31
405.44,404.0,412.3,405.82,403.28
405.21,403.89,412.13,405.74,403.31
408.7,405.02,412.17,406.43,403.45
405.28,405.47,413.07,2632.09,1402.47
405.41,405.64,412.29,408.37,403.23
405.37,405.6,2637.14,405.88,403.27
405.33,1404.28,412.2,405.88,403.28
405.37,403.98,418.48,405.86,403.5
405.31,403.82,412.26,405.77,403.26
405.29,404.04,412.95,3833.41,403.3
405.31,403.97,418.74,405.81,403.28
405.42,403.94,412.37,409.34,403.25
405.38,405.47,412.68,406.3,403.23
405.8,403.87,415.92,409.38,403.37
405.48,403.9,412.21,405.84,403.38
405.34,403.93,418.57,405.86,404.42
405.35,404.05,2637.12,405.75,403.32
405.48,405.45,413.99,405.84,403.09
405.44,405.58,413.68,2632.2,403.24
405.37,403.88,412.29,406.49,403.36
405.48,403.9,413.91,405.88,403.18
405.32,1404.16,418.66,2632.24,403.28
405.72,404.02,412.27,406.03,403.11
405.39,404.89,412.26,405.98,403.49
407.58,403.92,412.47,405.81,403.66
405.43,403.9,414.16,405.84,403.4
407.55,405.5,412.67,405.88,404.47
405.39,404.06,417.91,409.37,404.43
405.46,405.58,412.27,2632.38,403.18
406.74,404.03,420.79,405.96,403.31
405.3,403.94,412.25,406.71,404.57
405.33,405.51,412.33,405.97,403.31
407.33,403.88,412.35,405.78,403.24
405.76,403.93,413.09,405.89,403.27
405.33,404.04,412.31,405.88,403.18
405.41,404.05,2638.02,406.04,403.25
405.39,405.6,412.21,408.38,403.33
405.43,403.94,412.46,405.77,403.24
405.31,403.89,412.43,407.18,403.33
408.65,403.86,420.86,405.86,1402.65
405.38,403.91,420.88,406.04,403.21
408.56,405.75,413.36,2632.62,404.55
408.68,405.62,420.77,405.84,403.23
405.76,403.97,413.56,405.85,403.29
405.43,403.95,412.22,406.01,403.3
405.71,404.07,421.32,405.87,403.46
405.3,403.98,412.73,405.94,403.26
405.3,405.63,412.2,405.82,1403.64
405.26,1405.68,412.23,406.14,403.81
405.29,403.76,412.71,405.88,403.18
405.89,403.92,412.54,406.17,403.01
405.42,403.9,412.51,406.07,1402.76
405.35,404.05,417.19,408.26,403.29
405.44,403.94,412.5,405.96,404.54
407.4,403.94,413.76,405.96,403.24
405.45,403.97,412.71,406.18,403.17
405.52,403.83,412.24,405.88,403.24
405.34,403.96,415.67,405.86,403.23
405.38,404.14,412.24,405.87,403.35
405.21,405.63,413.8,405.86,403.26
405.46,404.04,418.92,405.94,403.2
405.32,405.56,412.18,405.89,403.24
405.77,403.78,412.14,406.12,403.28
405.19,404.01,413.3,408.36,403.37
405.56,1404.11,414.14,405.92,403.3
405.42,1404.15,412.25,405.95,403.29
408.8,403.99,412.41,408.25,404.51
405.28,404.01,412.36,406.3,403.3
405.39,403.93,2637.29,405.92,403.17
405.38,405.47,413.69,408.39,403.15
407.42,403.98,412.27,408.43,403.16
405.37,404.04,412.1,405.81,403.27
405.38,404.06,412.94,406.04,403.32
405.48,403.96,412.25,405.97,403.2
405.43,403.97,412.28,405.92,1402.55
405.29,403.99,412.19,408.36,403.21
405.4,404.01,412.44,405.85,403.26
405.26,404.02,412.15,405.84,403.12
405.38,404.11,412.12,405.92,403.12
405.39,403.89,412.27,406.08,403.28
405.25,403.99,412.36,406.04,403.26
405.32,403.93,412.21,405.92,403.33
405.62,404.02,412.54,405.89,405.99
405.39,1404.12,412.1,405.81,404.38
405.36,403.97,414.66,405.85,403.26
405.48,403.86,412.31,2632.38,403.35
405.14,404.11,412.4,405.82,1402.29
405.3,404.01,413.08,408.59,403.21
408.55,403.92,412.31,405.93,404.6
