P-521,p521_mlkem1024,mlkem1024
807.24,816.36,804.12
406.68,412.49,403.54
405.31,412.24,403.71
407.55,418.51,2630.35
405.36,412.31,403.52
406.54,413.76,404.9
405.42,412.43,403.32
407.34,412.87,403.4
1404.67,412.48,403.97
405.17,412.09,403.46
407.23,412.25,403.49
407.36,412.31,403.56
405.48,414.89,403.68
405.33,412.59,404.78
1404.69,412.06,403.58
405.2,414.25,403.41
405.13,412.11,404.95
407.36,412.04,403.47
405.28,412.1,403.51
405.63,412.18,403.49
405.12,412.73,403.37
405.22,412.15,403.63
405.28,412.18,403.48
405.33,418.48,403.45
407.13,411.95,403.51
405.24,412.29,403.95
405.27,412.06,403.41
407.38,411.98,403.61
405.25,412.94,403.54
407.25,412.26,403.54
405.52,412.68,404.69
1404.69,2637.28,403.39
405.22,412.12,403.4
407.22,412.16,403.51
405.14,412.22,404.93
405.12,412.15,403.29
405.24,412.2,2631.16
405.25,414.26,403.42
405.25,412.64,403.77
1404.73,414.28,403.51
405.2,414.43,403.27
405.24,412.49,403.43
405.38,412.12,403.44
407.31,412.08,403.44
405.33,412.12,403.43
405.18,3834.94,403.33
407.31,412.02,403.64
405.39,412.17,403.47
405.27,412.43,403.44
405.3,412.2,403.43
405.15,412.19,403.6
405.25,412.12,403.34
405.3,411.99,403.34
405.3,412.27,403.44
405.24,412.27,403.57
405.19,412.25,403.63
405.28,412.31,403.45
405.23,412.83,403.4
405.2,412.08,403.38
405.21,418.43,403.55
405.25,418.43,403.55
405.1,412.2,404.79
405.13,412.05,403.55
405.22,418.4,403.44
405.21,412.16,404.61
405.24,412.16,403.5
405.31,412.13,404.8
405.26,412.17,403.44
405.21,412.2,403.33
407.32,412.14,403.39
407.27,412.21,403.4
405.17,418.63,403.49
405.28,412.03,403.52
405.29,412.17,403.53
405.14,412.74,403.35
1404.6,418.62,403.45
405.1,414.52,403.44
405.17,412.31,403.39
405.29,415.02,403.48
405.19,414.36,403.32
405.26,412.18,403.64
405.22,418.49,403.48
405.23,412.1,2630.7
405.24,414.25,403.46
405.29,411.94,404.8
405.3,412.12,403.46
405.22,414.23,403.46
407.26,412.05,403.39
405.33,418.45,403.3
407.38,415.57,2630.46
405.29,414.27,403.48
405.15,418.35,403.34
405.4,414.24,403.47
407.38,5092.09,403.41
405.15,418.46,403.49
405.2,414.86,403.4
405.2,412.17,403.36
405.29,412.06,403.35
405.2,411.97,403.32
405.25,412.26,403.52
405.24,412.07,403.45
405.25,412.44,403.46
405.2,412.41,403.61
405.2,412.35,403.36
405.25,412.12,403.68
405.19,412.21,403.56
405.26,412.71,403.48
405.26,412.19,403.53
405.15,412.33,403.47
407.26,412.16,403.39
405.22,412.23,403.5
405.22,412.09,404.77
405.1,412.11,403.55
405.23,412.21,2630.47
405.21,412.26,404.74
405.18,418.55,403.38
405.31,412.18,403.34
405.29,412.28,403.48
407.45,418.44,403.51
405.12,412.08,403.4
405.24,412.06,403.47
405.12,412.37,403.47
405.24,412.08,403.55
405.22,414.46,404.77
405.29,412.16,403.38
405.21,418.45,403.39
405.15,414.04,403.43
405.16,412.09,403.47
405.32,413.6,403.46
405.33,412.17,403.44
405.24,412.07,403.39
405.2,412.16,404.77
405.15,414.65,2630.24
407.23,412.22,403.47
405.13,418.62,403.42
407.43,412.19,403.48
405.29,412.22,404.65
405.38,412.05,403.53
405.16,412.25,403.46
405.28,412.03,2630.31
1404.76,2636.03,403.43
405.58,412.05,404.74
405.13,412.12,403.38
405.25,2636.4,403.5
405.17,412.51,403.52
405.18,413.18,403.46
405.38,412.17,403.65
405.21,418.35,404.84
405.19,411.95,403.51
407.34,411.98,404.79
407.21,413.04,404.75
407.34,2641.35,403.35
405.26,412.05,403.36
405.09,2637.76,404.58
405.28,418.45,403.5
407.28,412.2,403.45
405.18,412.69,403.38
405.53,412.19,403.55
405.28,412.04,403.36
407.36,412.17,403.83
405.15,412.22,403.43
405.81,414.08,404.84
405.18,412.23,403.41
1404.56,412.15,403.64
405.33,411.92,403.43
405.16,412.1,403.46
407.24,412.18,403.48
405.1,412.21,403.41
405.24,412.12,403.51
405.83,413.28,403.4
405.25,412.05,403.39
407.21,412.0,403.56
405.54,412.17,403.5
405.17,412.17,403.57
1405.15,412.21,403.35
407.36,3635.97,403.43
405.06,420.46,403.51
405.13,412.17,403.45
407.53,412.06,403.48
405.21,2637.61,403.55
405.19,420.24,403.39
405.25,420.48,404.85
405.09,420.56,403.51
405.17,412.21,403.53
405.27,412.13,403.46
405.2,411.96,403.55
405.14,412.19,403.36
405.13,414.09,403.4
405.06,412.11,403.33
405.21,412.17,403.46
405.26,414.07,403.52
405.17,412.05,403.47
407.35,412.07,403.57
405.29,413.94,404.71
1405.67,412.52,403.42
407.33,415.61,2629.95
405.14,412.38,403.46
405.3,412.12,403.52
1404.81,411.94,403.52
405.27,412.51,403.43
405.28,412.48,403.5
1404.63,412.34,403.4
405.18,420.56,403.5
405.11,412.03,403.48
407.28,412.07,403.42
405.31,412.83,404.76
405.26,420.5,403.34
405.35,412.13,403.45
405.12,412.52,403.43
405.24,412.03,403.43
405.05,420.56,403.36
405.17,412.24,403.39
405.23,412.33,403.53
405.23,412.2,404.69
405.25,412.19,403.44
405.19,411.96,403.44
405.12,412.22,403.46
405.23,412.57,403.65
405.24,412.18,404.82
405.17,412.08,2630.49
405.21,412.17,403.36
405.12,412.18,403.4
405.09,412.09,404.68
405.24,412.23,403.58
405.26,413.25,403.47
405.31,412.47,404.67
405.11,418.71,403.42
405.09,411.96,403.32
405.23,411.98,403.34
405.18,412.15,403.37
405.19,412.08,403.46
405.23,2637.11,403.52
407.29,412.31,403.55
405.12,412.46,403.4
405.14,412.17,403.54
405.18,413.41,403.54
405.18,412.15,403.41
406.49,412.26,403.5
406.57,412.24,403.38
406.4,412.07,403.45
406.47,412.15,403.43
405.19,412.06,404.67
405.3,412.07,403.4
406.64,412.17,403.43
405.18,412.16,403.41
1408.55,412.28,403.36
406.35,412.31,403.55
405.23,418.52,403.58
1404.7,412.19,403.55
405.33,418.32,403.49
407.2,412.09,403.41
407.25,412.31,403.39
405.1,412.44,404.77
405.19,412.7,403.64
405.19,412.09,2630.41
406.48,412.03,403.52
405.05,412.2,403.34
405.06,412.15,403.44
405.27,412.27,404.72
405.34,412.18,2630.4
406.56,412.3,403.57
405.18,412.59,403.57
407.14,412.14,403.48
405.16,412.0,403.34
406.48,412.1,403.39
405.26,412.06,403.42
405.21,413.02,404.73
406.55,412.17,404.91
405.13,412.26,403.5
405.33,412.34,403.49
406.59,412.15,404.84
1404.68,412.32,403.52
405.19,412.17,403.48
405.33,412.12,403.42
405.18,412.15,403.57
3402.71,412.01,403.5
405.25,412.1,2629.72
405.25,418.55,403.49
406.46,418.56,404.7
405.25,412.15,403.62
405.15,412.03,404.66
405.39,412.27,403.47
407.38,2640.64,403.5
405.19,412.0,2630.49
405.18,418.43,403.49
405.17,418.41,403.35
405.17,412.2,403.51
406.57,412.16,404.17
405.36,412.58,403.51
405.2,411.98,403.51
406.41,418.34,403.31
405.53,412.15,403.31
406.48,418.78,403.36
407.28,412.08,403.37
407.27,412.53,403.37
405.86,418.42,403.49
405.26,412.13,404.67
405.22,411.99,2631.65
405.51,414.29,403.66
405.27,412.13,404.58
