P-521,p521_mlkem1024,mlkem1024
810.63,829.7,805.58
409.58,421.41,404.96
410.85,423.13,404.91
408.65,423.43,405.12
412.3,420.41,404.75
409.53,421.72,404.75
408.27,425.35,407.22
407.65,420.72,407.58
410.95,427.08,404.55
409.88,419.46,407.17
409.73,422.33,404.98
408.68,424.55,2632.53
408.08,419.54,406.88
409.97,419.33,406.67
407.45,418.27,404.66
410.15,429.37,404.71
410.96,422.07,404.6
407.46,429.65,404.94
410.83,422.52,405.4
409.65,424.05,405.07
407.36,424.7,404.86
407.62,422.43,404.89
408.73,419.9,404.77
408.55,425.6,2632.17
410.05,422.82,406.42
410.6,2646.14,404.76
408.54,419.4,404.7
408.8,419.33,404.77
413.08,421.25,404.72
408.24,420.71,2632.59
407.81,428.51,404.57
410.4,428.42,404.85
408.36,2645.12,404.82
408.6,419.91,405.05
407.77,418.56,3633.32
410.4,419.77,404.7
408.7,432.3,407.16
408.37,2642.28,404.73
408.61,419.51,3633.37
407.84,419.75,404.61
407.6,419.38,406.93
408.93,420.82,404.76
1409.86,421.16,404.69
412.36,422.05,404.83
413.42,419.11,3632.72
407.6,418.92,406.72
410.87,433.03,404.6
409.81,421.02,404.87
408.17,422.21,407.29
410.14,420.13,404.55
408.33,418.76,406.58
1409.0,428.21,2632.11
408.83,427.48,404.61
408.34,2644.09,2632.07
411.95,418.99,408.58
408.77,429.69,405.76
1409.37,2645.76,405.43
409.7,418.86,404.71
407.94,424.98,406.57
409.92,2648.62,404.82
407.86,422.73,404.81
408.67,430.32,404.66
409.58,2645.13,404.82
408.62,418.14,404.97
410.56,421.65,404.83
1408.8,419.82,404.75
408.04,424.72,404.68
408.19,419.68,406.47
413.84,422.59,404.71
410.64,2644.67,404.78
412.03,420.94,2632.35
409.59,419.38,404.74
411.09,2649.92,404.74
409.64,421.91,404.7
409.83,420.6,406.6
410.0,420.0,404.7
408.38,420.76,406.53
409.49,419.29,406.58
409.14,419.86,404.96
409.0,432.66,406.62
410.22,2645.14,2631.18
409.65,418.97,2632.1
408.02,419.23,2632.19
409.12,2645.82,404.7
409.46,418.58,2631.68
408.1,420.47,406.55
408.66,420.44,404.7
407.65,421.98,405.01
408.53,423.85,404.73
407.8,424.32,404.6
1407.0,421.17,404.95
408.31,419.39,404.5
407.62,422.81,404.67
413.54,418.16,2632.37
410.45,2643.79,404.71
408.81,420.75,404.66
411.62,420.16,404.73
408.24,425.73,407.24
408.18,419.81,405.1
410.69,433.96,405.02
408.27,424.14,404.57
