P-521,p521_mlkem1024,mlkem1024
11.79,27.49,7.05
7.8,19.85,6.24
7.38,23.13,9.54
7.89,21.76,5.95
7.78,20.0,5.79
7.69,18.57,6.0
10.44,19.05,7.73
7.98,18.11,7.2
15.47,37.2,5.12
7.8,20.29,5.87
7.7,20.73,8.58
7.57,18.93,7.37
9.06,17.87,7.61
7.41,28.3,6.68
11.43,18.82,7.6
10.72,18.23,5.42
8.87,18.55,6.82
7.29,27.65,8.03
7.95,18.98,6.63
8.16,19.53,8.83
8.1,18.12,6.21
7.63,26.24,6.6
8.07,19.03,6.87
7.72,30.9,6.17
9.52,22.17,7.18
11.52,26.77,5.76
7.44,17.77,6.2
7.7,26.84,7.62
7.49,22.58,7.89
12.64,18.12,5.55
7.52,27.81,6.13
7.25,17.95,6.72
12.95,26.44,6.47
7.42,21.58,5.26
8.29,18.4,4.66
7.3,18.67,4.66
7.25,17.93,4.92
7.74,20.18,5.67
7.25,20.74,5.05
7.59,27.28,7.11
7.79,19.0,5.69
9.84,17.64,4.57
10.34,19.14,5.2
10.48,17.94,6.74
12.47,30.1,5.01
9.07,28.51,10.71
7.33,30.74,7.69
8.06,19.36,9.1
8.07,17.9,7.24
7.58,17.32,5.47
7.64,26.91,8.92
7.51,19.37,6.71
8.41,18.04,6.46
7.34,17.98,5.02
7.8,17.75,5.13
7.64,30.86,5.0
16.88,18.7,7.44
13.29,18.93,6.88
7.68,19.01,6.24
7.38,18.16,6.01
7.82,18.04,5.62
10.37,27.28,5.3
8.3,30.36,6.4
7.37,21.02,5.35
7.95,18.01,12.22
7.55,17.62,5.02
7.73,27.61,5.26
7.63,19.45,7.46
10.63,18.94,5.52
7.31,18.84,4.94
7.65,23.19,4.79
9.48,19.49,7.25
9.22,19.36,4.88
7.54,17.96,6.28
10.91,19.42,5.81
7.38,18.8,5.38
10.6,27.59,7.88
7.53,21.98,7.2
9.95,19.39,5.34
7.8,18.16,5.37
10.68,21.71,8.99
8.48,25.54,5.53
12.05,21.35,5.39
10.2,21.53,6.98
7.57,18.37,6.08
8.9,27.19,5.28
7.66,18.14,6.11
7.6,19.92,9.51
7.61,21.13,8.73
7.55,27.73,6.06
7.55,18.36,6.04
7.45,30.76,7.23
7.57,23.66,6.2
8.77,20.63,7.33
10.77,20.66,6.57
7.77,19.27,6.9
7.74,17.57,6.2
7.65,27.18,6.61
7.7,19.0,7.85
7.27,17.41,6.62
7.96,17.62,7.36
7.3,28.5,8.0
7.79,18.05,5.32
7.39,19.04,5.24
7.44,17.55,5.5
8.49,18.13,7.06
7.47,19.19,5.67
8.5,17.74,5.33
7.67,17.39,5.11
8.07,17.4,4.86
7.78,18.44,6.63
7.45,18.18,5.38
7.54,18.57,7.88
7.58,19.6,5.98
8.64,17.61,4.93
8.03,17.97,7.88
7.63,19.32,5.92
11.65,18.26,8.44
7.53,18.05,8.58
8.53,20.06,5.78
11.72,20.33,6.28
7.62,21.89,4.72
8.38,27.11,5.06
7.49,27.39,6.71
8.39,28.61,6.75
7.64,18.77,7.96
7.35,19.72,6.26
7.81,18.34,4.63
15.72,18.76,7.63
7.83,19.98,6.79
7.56,17.82,6.74
7.37,18.18,5.2
7.76,26.9,6.11
7.63,26.55,5.92
7.44,18.03,4.87
8.13,18.81,5.02
7.45,31.73,5.7
8.54,18.17,6.32
7.63,19.59,5.43
10.33,19.43,4.71
7.7,19.03,6.69
7.84,19.53,6.5
7.46,27.92,4.75
10.67,19.06,6.06
7.96,27.88,5.88
10.35,18.39,4.99
7.52,19.02,5.66
7.57,17.55,9.38
8.33,28.35,6.11
10.37,18.56,7.23
8.33,18.81,8.78
7.35,17.87,5.01
7.89,18.98,9.02
9.32,27.47,5.03
7.54,18.11,5.63
11.59,18.27,10.75
9.78,18.59,5.18
7.61,20.14,5.21
7.5,18.12,7.01
8.41,17.89,5.52
9.51,18.19,5.22
10.61,17.49,5.27
7.66,17.92,4.61
7.52,18.09,7.26
7.55,18.87,5.05
10.56,17.96,6.42
9.97,17.65,7.42
9.12,18.08,5.52
10.44,17.84,5.39
7.35,17.7,5.19
9.36,18.31,5.09
7.58,18.46,5.18
7.39,18.2,5.11
7.9,19.17,6.13
8.49,18.97,5.2
7.47,27.81,5.46
10.94,18.42,6.32
8.72,18.63,5.09
8.12,18.02,4.7
8.02,18.24,5.44
7.55,18.34,6.7
8.58,17.3,5.51
7.38,17.9,6.01
11.51,17.83,5.0
7.97,17.88,5.23
10.39,17.96,6.42
