P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1205.97,1207.63,1219.72,1208.8,1850.71
806.14,806.85,815.69,803.27,805.81
805.36,806.42,820.96,804.96,1829.9
806.55,805.56,813.57,807.21,805.95
806.16,806.92,813.78,1852.92,803.77
806.44,804.13,1823.68,806.62,806.06
804.94,804.79,815.85,806.98,1817.89
803.68,807.05,817.12,806.45,806.04
806.84,806.08,815.14,806.71,805.29
804.32,805.07,818.76,806.7,805.55
805.53,806.15,817.44,1837.33,805.34
1809.1,806.18,814.29,806.76,806.36
805.98,1815.01,816.3,807.24,1859.38
806.86,807.4,815.81,806.89,805.62
804.29,805.85,815.86,806.93,805.85
805.27,806.14,816.71,806.76,806.39
805.15,805.94,816.5,806.3,803.18
805.73,808.02,818.49,807.2,803.75
806.41,808.17,814.78,807.28,805.98
806.08,807.17,817.84,806.99,805.71
805.39,805.81,814.66,806.86,806.6
1809.62,807.05,816.24,806.34,805.66
806.77,804.39,814.65,806.77,1848.35
806.25,808.04,815.59,806.89,804.35
806.12,806.48,816.73,806.6,806.25
1829.03,805.55,815.27,806.88,805.17
804.45,806.13,815.69,806.78,805.69
806.27,803.42,2877.28,806.77,806.31
805.98,806.9,815.78,807.01,806.29
806.05,805.75,813.85,806.98,805.83
805.95,806.34,816.47,807.15,806.03
1862.5,807.51,2064.1,806.95,805.99
806.45,806.55,816.38,806.56,806.27
806.48,805.69,815.96,806.49,803.75
805.93,808.42,813.77,807.09,806.33
805.87,805.67,817.54,805.07,806.26
806.01,805.72,817.76,806.41,805.92
805.76,806.1,817.57,806.62,805.0
806.18,806.12,815.94,806.88,805.52
1818.31,805.74,816.35,806.8,1807.12
805.95,806.02,816.45,806.79,805.72
805.51,1861.36,815.41,806.51,805.85
806.29,807.86,816.47,804.59,806.24
806.05,804.69,815.63,806.62,805.75
803.97,807.28,814.87,806.62,805.64
805.6,805.2,812.39,807.71,805.33
806.01,806.18,815.38,806.47,1851.24
806.07,806.25,2075.0,806.21,806.16
806.33,805.8,815.85,806.14,805.68
805.51,806.15,815.37,806.65,805.96
805.57,805.08,813.28,1808.54,804.87
806.1,807.33,814.82,806.54,1823.65
806.08,806.55,818.55,807.06,805.51
806.34,807.19,821.1,806.89,805.37
806.16,806.14,816.41,806.68,804.25
806.24,806.12,816.75,806.43,805.61
805.4,807.0,814.09,807.1,805.87
806.42,806.0,814.73,806.87,806.02
1859.92,807.36,816.72,806.65,805.79
806.91,806.76,813.85,806.95,805.27
806.73,806.96,811.82,806.78,805.62
806.33,804.58,815.68,806.47,805.52
805.5,805.1,815.67,806.85,805.86
805.99,1854.92,814.5,806.58,1837.69
805.96,1860.9,816.02,806.2,805.58
804.23,805.39,816.98,807.16,1809.69
805.81,805.93,818.14,806.77,806.42
806.16,2815.97,815.06,806.85,805.89
1867.62,806.53,815.98,804.1,805.68
806.24,806.31,817.28,806.44,805.85
805.95,804.89,814.8,807.12,805.91
805.68,805.15,817.8,807.02,806.13
804.78,804.63,815.81,806.2,805.73
806.23,806.41,816.13,1832.64,808.41
1840.37,806.33,816.24,806.88,805.86
805.44,807.74,818.95,806.83,805.45
804.16,807.1,815.82,807.17,805.93
1810.32,803.81,815.35,806.92,806.06
805.94,805.86,2258.26,806.13,1807.06
806.18,805.87,818.29,806.58,805.46
806.03,805.8,814.92,807.08,805.99
806.18,804.99,813.25,807.06,806.02
806.17,805.22,811.17,806.55,805.71
1839.78,804.84,814.65,805.1,806.04
806.09,802.51,815.94,806.82,805.67
806.29,802.04,2248.77,806.68,806.07
805.79,805.07,816.43,806.86,806.41
805.87,805.83,814.74,805.77,805.5
805.74,805.91,817.68,807.11,805.8
806.16,804.46,815.24,806.77,805.45
806.01,1811.14,815.45,806.1,807.88
806.08,805.6,815.02,806.6,805.97
805.23,805.65,816.01,806.92,806.19
806.42,1819.91,816.19,806.49,805.96
804.96,803.75,814.85,806.6,805.9
805.72,805.28,817.09,806.37,803.69
806.14,805.49,816.18,807.36,806.01
806.28,802.41,814.13,807.02,1808.18
806.26,1833.32,815.59,1870.6,805.89
805.88,803.65,815.87,807.01,805.71
806.13,802.37,816.14,806.34,805.83
805.97,805.62,812.48,806.53,805.59
805.98,805.25,816.75,806.75,806.1
805.99,807.84,813.2,806.27,806.15
806.31,802.78,816.35,806.33,805.54
804.66,803.28,816.28,806.9,805.99
805.76,804.54,816.51,806.59,805.98
806.35,804.3,814.8,806.78,806.1
805.89,805.97,2239.29,807.04,805.91
806.21,806.73,815.14,806.38,806.05
805.77,805.08,813.84,806.61,805.9
804.28,806.31,813.6,806.31,805.89
805.85,2827.05,816.1,806.5,805.6
805.8,805.63,817.23,807.04,806.11
1855.52,806.11,816.11,805.56,806.2
804.08,805.41,816.61,806.67,806.34
804.97,805.24,813.92,1859.51,805.46
806.32,803.65,812.33,1859.67,1808.44
806.13,805.38,814.07,806.92,805.79
806.27,804.22,816.15,806.73,805.79
806.23,804.49,813.26,806.8,805.54
806.21,803.04,815.62,806.62,805.46
806.43,806.6,809.34,806.13,805.59
806.03,805.66,812.96,806.6,805.89
803.58,806.1,819.78,807.27,805.85
806.24,803.09,816.98,806.13,804.78
806.07,805.92,816.67,806.47,806.21
806.28,805.77,816.05,806.91,805.82
806.32,802.54,813.45,803.99,1864.76
805.45,806.72,815.7,3032.47,805.54
805.74,806.17,815.98,806.75,805.55
805.98,805.43,817.25,807.22,805.33
805.85,804.12,2233.78,806.87,805.93
806.53,805.54,816.85,807.08,805.52
806.58,804.76,815.19,803.11,805.63
806.48,805.94,817.47,806.38,806.04
1851.03,804.93,2887.97,806.35,805.53
806.96,804.84,2260.98,806.68,805.67
805.94,804.79,816.03,1821.78,806.14
805.48,805.36,815.97,805.96,1834.12
806.23,802.89,814.63,806.64,806.22
1810.1,805.59,814.69,806.4,804.06
1860.91,803.85,814.94,806.79,805.74
805.86,803.84,815.35,806.25,805.69
806.14,1843.05,820.29,805.94,805.7
806.37,805.84,811.8,1813.24,806.11
806.12,806.93,815.53,805.44,806.01
806.02,804.94,819.35,1848.21,805.71
805.67,805.96,816.05,807.2,805.6
805.83,802.94,817.34,806.54,804.63
806.16,803.93,819.96,806.7,804.52
806.21,803.75,815.54,805.49,802.9
805.71,806.13,817.19,804.89,804.47
806.01,803.17,818.32,806.33,805.5
806.1,805.99,2235.98,806.87,806.24
806.2,806.78,815.61,807.14,805.66
804.5,806.38,816.16,806.82,805.37
805.94,805.93,815.48,806.76,805.75
805.93,805.83,812.34,806.96,805.76
806.35,804.28,816.45,806.83,805.97
806.33,802.33,816.04,806.65,805.39
806.27,806.49,813.86,806.77,1807.71
805.78,806.61,815.85,805.0,1834.74
806.44,804.95,810.57,806.64,805.6
805.75,804.81,2066.36,806.96,805.15
806.32,805.38,812.27,806.63,804.75
806.22,806.07,817.78,806.72,805.61
806.17,804.23,818.24,807.18,805.68
805.95,802.56,817.3,807.02,1826.06
806.03,804.78,815.85,1846.54,805.67
806.1,802.69,819.01,805.56,805.29
806.57,806.31,820.58,806.81,804.3
806.29,804.13,815.55,806.85,805.56
806.03,803.88,814.96,806.74,805.73
805.57,805.8,814.51,806.69,805.93
806.41,806.15,815.85,806.14,805.67
806.5,804.05,816.21,807.1,805.9
806.43,802.81,815.72,807.79,805.81
806.18,802.7,816.46,806.73,806.07
804.33,802.12,816.06,1864.34,805.56
806.14,1864.25,816.37,806.53,805.81
806.15,805.96,816.28,806.6,803.59
806.71,804.18,814.65,806.66,805.75
806.04,806.07,812.72,1834.14,803.76
806.01,806.47,815.72,807.15,1807.97
806.23,805.52,814.93,806.64,805.39
805.39,805.36,820.56,1809.41,805.78
806.1,806.56,815.98,806.92,1840.04
806.2,806.1,816.41,806.78,806.68
806.2,805.7,816.19,807.0,806.06
806.57,806.18,815.75,805.11,805.8
805.7,805.78,816.53,1808.61,806.13
806.03,1806.8,813.55,806.74,806.26
806.0,805.54,816.74,806.62,805.03
806.04,805.1,816.33,805.45,1838.6
806.17,802.69,813.76,807.06,805.75
807.28,805.07,2238.06,806.8,806.34
806.26,802.33,814.75,805.01,805.85
806.44,802.75,815.97,806.42,806.04
806.12,806.28,816.38,807.31,805.77
806.25,806.14,814.43,806.55,805.84
806.27,806.48,816.0,806.78,805.84
1818.79,806.61,815.43,806.3,805.37
805.41,805.88,815.45,807.09,805.72
805.94,806.64,2258.85,807.43,806.02
806.1,804.35,814.01,806.58,806.14
806.07,805.64,815.46,806.5,805.89
806.02,806.26,823.17,806.34,805.84
806.14,808.02,815.87,806.58,804.67
806.53,806.18,815.91,807.11,805.57
806.31,806.57,815.41,807.04,806.14
805.89,806.16,2074.2,807.07,805.93
806.14,805.9,816.26,806.66,805.7
806.23,805.31,816.01,806.62,805.89
806.19,805.79,816.49,1837.87,805.91
806.53,805.81,815.87,804.28,806.02
803.97,806.0,817.65,806.19,804.26
805.38,2827.66,2870.03,1871.71,802.78
805.79,805.86,818.24,1844.69,805.57
806.87,806.37,814.86,807.05,805.57
806.18,1837.92,813.53,806.78,805.91
803.96,805.57,816.27,806.21,805.75
805.51,805.76,815.97,806.65,806.04
806.19,805.91,818.23,806.58,805.8
805.9,804.07,814.03,807.42,805.51
806.32,805.91,816.84,806.77,1836.85
806.75,1853.35,814.97,806.57,805.3
806.36,805.45,815.88,1828.73,805.9
806.12,805.84,816.0,806.41,805.63
805.43,1815.5,816.52,807.01,1821.19
806.51,805.7,815.46,806.86,805.98
806.21,805.51,815.25,807.06,805.2
806.47,805.29,816.86,806.64,806.13
1831.8,805.84,815.66,806.95,806.04
805.49,805.72,813.41,806.84,805.91
806.22,806.08,815.81,806.92,806.15
806.46,806.02,814.43,806.99,805.7
806.26,805.63,816.32,807.21,805.0
1811.81,805.88,815.09,806.6,805.21
805.9,803.93,815.99,806.85,805.68
1856.54,804.22,815.74,806.41,805.26
805.88,805.13,819.62,806.87,805.93
805.79,805.62,817.73,806.43,806.36
806.15,806.2,817.58,806.83,805.92
806.15,805.81,815.96,807.06,806.07
805.92,806.03,815.79,805.0,805.87
806.07,805.57,818.88,806.78,805.63
805.85,806.01,817.68,806.63,805.41
1865.71,805.92,1821.78,806.66,805.62
806.38,805.97,813.16,806.84,806.2
806.63,805.02,816.11,807.2,806.08
806.74,805.91,2241.15,806.11,805.74
806.38,805.96,816.12,806.86,805.49
1827.43,805.89,816.5,806.17,805.69
1860.2,805.64,815.35,806.1,806.13
806.06,805.52,815.64,807.14,803.87
803.4,805.44,817.46,1853.5,805.68
805.39,805.89,815.1,805.45,804.83
1808.42,805.41,816.85,806.96,806.15
805.82,805.76,816.28,807.0,804.09
804.72,805.79,815.89,806.93,1840.96
806.52,805.53,812.86,1837.38,806.12
806.58,805.14,816.22,806.12,806.18
806.47,1866.03,816.07,805.19,805.61
805.84,805.91,814.68,807.21,806.01
806.14,804.65,813.09,806.47,805.71
805.9,806.98,815.54,807.09,805.76
806.23,805.78,814.02,806.8,805.88
806.44,805.33,815.52,807.13,806.45
805.88,805.12,816.2,806.67,808.39
806.07,805.24,816.48,806.62,805.18
805.43,805.71,812.78,806.62,807.85
806.46,805.18,818.08,806.82,803.6
806.3,805.33,816.12,807.06,1844.95
806.22,805.96,816.05,806.84,804.57
1829.05,805.32,815.94,806.33,1829.74
