P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.29,3.72,17.44,5.95,3.65
2.6,3.11,26.46,6.47,3.31
3.08,2.38,28.46,7.03,7.66
2.75,2.71,29.5,9.16,6.03
2.67,3.14,27.58,7.22,5.9
3.27,5.71,26.92,7.25,5.84
3.8,5.07,28.25,7.03,5.87
3.17,5.56,23.64,7.0,6.04
4.3,5.31,25.68,6.94,6.02
7.51,6.59,25.81,8.55,6.04
6.58,6.16,26.41,6.95,5.99
6.33,6.47,24.24,7.12,6.53
7.24,5.38,25.98,4.69,5.84
8.23,5.76,25.59,4.59,6.06
6.33,5.57,23.73,4.96,6.04
6.83,6.02,24.35,6.18,6.36
7.58,5.44,24.18,8.99,5.86
6.25,5.28,24.92,6.96,5.78
6.86,5.48,24.66,6.32,5.91
6.34,5.34,24.72,6.14,5.91
7.31,5.57,24.0,6.21,4.5
7.41,5.12,17.63,6.33,5.28
6.4,5.0,16.23,7.48,3.95
6.87,5.3,19.67,7.68,4.14
6.58,5.82,18.71,7.28,5.08
7.15,5.54,26.96,6.97,5.19
7.93,5.47,23.96,6.65,5.15
6.18,5.79,24.25,6.18,5.41
7.77,5.52,25.11,6.2,6.77
6.99,5.67,25.65,7.52,5.46
6.27,6.18,13.17,6.31,5.32
7.3,5.76,12.98,6.14,5.5
5.59,5.94,13.85,6.33,5.17
5.59,6.46,12.32,6.5,5.23
5.83,7.65,12.64,6.58,5.16
6.5,4.4,12.52,6.32,5.82
4.12,3.98,12.75,7.33,5.33
2.93,3.63,13.78,6.33,6.04
2.88,3.92,23.73,6.16,5.98
2.85,2.92,24.88,6.13,5.48
3.61,2.82,23.92,6.58,5.22
3.66,6.48,22.93,6.71,5.25
3.55,6.16,26.58,6.15,5.25
6.66,7.29,25.07,8.2,5.6
5.5,7.21,23.23,6.28,5.26
5.53,5.76,23.89,6.16,5.19
6.02,5.88,18.61,6.32,5.17
7.15,6.21,16.54,6.24,5.2
5.47,6.22,24.32,6.21,5.24
6.4,5.67,29.47,6.97,5.68
6.35,7.49,17.99,7.68,5.91
6.01,6.06,15.17,7.11,5.51
5.42,6.12,20.45,6.28,5.3
7.74,8.4,19.08,9.52,5.14
5.59,6.34,19.31,6.27,5.38
5.97,6.49,20.23,6.23,5.29
6.72,7.3,22.54,6.12,7.37
5.42,6.04,24.93,6.32,5.63
5.43,6.39,23.43,6.31,5.47
6.64,5.77,23.02,6.72,5.79
5.47,6.96,21.23,6.15,5.17
5.52,6.45,22.21,6.26,5.46
5.68,5.72,23.75,6.25,5.23
5.87,6.32,24.35,6.18,5.62
5.9,5.45,21.78,6.44,5.85
6.25,6.94,24.2,6.41,5.26
6.14,5.23,22.07,6.38,5.35
6.53,6.09,22.16,7.04,5.38
6.69,5.76,20.98,6.6,5.19
6.81,6.36,22.8,6.25,5.36
6.58,5.85,22.07,3.42,5.4
5.61,5.29,22.72,3.21,5.8
6.43,8.94,25.14,2.7,5.29
6.05,5.72,22.1,2.72,5.25
4.22,6.31,26.91,3.32,5.25
3.69,6.18,21.71,2.66,5.42
4.25,5.83,20.98,2.82,5.14
3.76,6.3,22.36,2.88,6.18
3.97,5.33,22.2,2.85,5.29
6.87,6.68,22.52,3.24,5.57
