P-521,p521_mlkem1024,mlkem1024
16.86,25.86,9.92
16.5,23.11,7.38
16.37,24.3,7.98
17.16,23.42,7.34
16.75,23.95,7.54
16.77,23.12,7.81
16.48,23.31,7.78
16.69,23.64,7.92
16.36,23.27,7.99
16.39,23.4,7.8
16.74,23.3,7.61
16.66,23.88,7.65
16.55,22.79,7.85
16.51,22.93,7.69
15.93,24.03,7.67
16.51,23.1,7.75
15.95,23.99,7.49
16.02,23.36,7.62
16.64,23.43,7.48
16.14,23.1,7.64
16.53,23.03,7.48
15.97,23.08,7.74
15.97,23.18,7.72
16.15,22.94,7.65
16.0,23.02,7.74
15.86,23.38,7.75
16.45,23.37,8.18
16.0,23.28,7.86
16.25,23.06,7.47
16.02,23.06,7.53
16.01,23.79,9.08
16.41,23.72,7.91
16.3,23.39,7.46
16.0,24.63,7.52
15.97,23.64,7.48
16.1,23.63,7.48
15.95,23.79,7.65
16.31,23.41,7.48
15.97,25.17,7.41
16.17,23.99,7.62
16.6,22.96,7.45
18.57,23.78,7.99
16.05,23.69,7.51
16.21,23.57,7.49
15.76,23.47,7.48
15.97,23.87,7.58
15.97,23.62,7.46
15.98,23.64,7.49
16.02,30.46,7.67
16.0,23.24,10.0
16.71,23.18,7.42
15.97,25.44,7.59
16.1,23.13,7.5
15.92,22.98,7.68
15.96,23.09,7.7
15.87,23.09,7.65
16.66,23.13,7.92
16.04,23.38,7.97
17.05,22.75,7.64
15.98,23.92,7.61
16.74,23.14,7.93
15.76,24.37,8.1
16.27,23.17,13.85
15.87,23.03,7.86
16.08,23.57,7.55
16.16,24.15,7.47
16.03,24.8,7.29
16.0,23.45,7.51
16.69,23.11,7.36
15.97,22.96,7.72
17.11,24.59,7.87
19.38,23.31,7.66
16.87,23.5,7.6
15.87,23.09,7.67
16.79,23.02,8.08
15.99,22.95,9.89
16.56,23.48,9.5
16.15,23.72,7.35
16.31,23.61,7.47
15.96,23.49,7.69
17.1,23.21,7.36
15.93,23.86,7.51
16.19,23.74,7.39
16.02,23.72,8.15
16.07,23.75,8.8
15.93,23.55,7.77
15.98,22.92,7.22
16.37,23.14,7.3
15.89,22.98,7.41
15.94,24.01,7.23
17.31,23.52,7.44
15.88,23.54,7.67
16.43,23.8,7.71
16.02,24.09,7.49
16.4,23.44,7.62
16.01,23.58,7.46
15.98,24.25,7.59
16.05,23.04,7.4
16.18,23.8,7.35
16.33,26.09,7.24
17.0,25.47,7.38
16.7,24.9,7.52
16.48,23.84,7.44
17.14,23.42,7.78
16.37,23.69,7.69
16.38,23.45,7.62
15.91,22.96,7.54
16.28,23.75,7.5
16.36,23.1,7.85
16.28,22.96,7.31
15.91,23.45,7.3
16.04,23.4,7.27
15.95,23.03,7.3
16.09,23.15,7.37
15.78,23.28,7.32
15.93,23.17,7.28
15.77,23.24,7.34
16.32,23.39,7.52
