P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
10.44,8.0,45.26,11.28,5.67
9.76,7.38,42.7,10.18,5.13
9.01,8.37,41.43,9.02,6.08
7.92,8.97,42.99,10.1,6.55
8.85,7.21,42.02,10.32,4.84
7.99,6.92,42.08,10.33,5.86
10.29,6.7,41.66,10.84,4.95
9.61,6.68,41.4,12.66,5.12
9.76,6.85,41.94,10.27,4.91
9.39,6.61,41.94,11.53,5.61
11.16,7.38,41.95,11.13,5.03
9.06,7.01,41.34,6.23,5.61
9.15,8.44,43.6,5.32,5.16
10.24,7.87,41.99,6.02,3.78
10.49,7.99,41.61,4.92,3.78
11.11,8.2,42.56,6.78,3.53
10.23,7.78,43.44,11.84,3.7
7.6,8.74,42.65,10.9,5.79
8.63,8.07,40.56,12.95,5.53
8.54,8.34,38.23,11.15,5.47
7.78,9.08,42.72,12.07,4.92
13.1,9.66,41.2,12.28,5.88
19.75,7.42,45.78,10.54,5.21
19.8,9.11,42.1,11.04,5.12
21.46,8.4,45.6,11.71,4.82
21.45,7.92,44.85,10.42,4.78
21.04,7.84,20.19,10.86,5.61
20.62,7.79,18.04,10.96,5.72
19.72,8.52,18.73,12.35,4.9
20.89,7.79,24.79,11.12,5.27
25.36,7.96,40.44,10.64,4.77
24.76,9.01,39.95,10.59,5.69
9.79,7.71,40.58,12.47,4.99
9.74,8.59,42.75,11.07,5.29
9.07,3.18,39.67,10.06,5.57
9.78,3.77,37.63,10.65,5.57
9.29,4.91,38.8,12.59,5.58
8.99,4.21,40.35,9.95,4.74
10.25,4.52,40.92,9.94,5.72
9.34,5.44,40.83,10.07,6.09
10.88,2.9,40.76,10.61,5.07
16.23,3.18,38.5,12.19,5.36
20.45,2.86,37.4,10.83,4.85
19.39,4.31,38.93,10.75,5.0
22.71,3.55,37.11,10.25,5.64
20.97,3.43,38.37,10.85,4.72
20.89,3.93,39.29,11.47,5.48
19.53,3.36,38.44,6.92,6.64
25.25,4.55,39.04,6.31,5.22
23.92,4.73,37.72,4.36,4.87
20.59,3.02,37.94,4.23,4.99
24.1,2.89,37.39,4.51,6.35
19.03,3.62,38.14,5.36,4.73
18.8,3.02,37.67,8.06,7.25
17.09,3.44,38.22,11.17,5.34
16.75,4.43,38.97,12.92,5.54
16.84,5.07,38.16,10.39,4.89
18.44,3.64,37.95,10.12,4.81
18.12,3.26,39.75,13.79,5.65
19.36,3.56,38.03,11.48,5.93
19.69,3.53,38.89,12.64,5.21
17.19,2.86,37.44,11.16,4.92
17.58,6.0,40.8,10.55,4.88
16.97,7.61,37.84,10.58,5.31
17.34,7.31,39.95,12.22,5.38
16.7,8.64,39.27,13.27,4.88
17.74,8.71,37.66,11.88,5.44
16.93,8.49,37.57,10.93,7.21
