P-521,p521_mlkem1024,mlkem1024
265.21,274.02,239.09
194.8,203.35,171.38
194.76,208.37,170.8
198.01,174.79,169.5
196.12,206.74,172.39
202.54,220.53,168.11
466.05,211.73,164.01
194.32,207.26,174.27
181.22,219.07,174.58
197.22,210.07,174.89
169.55,223.72,171.92
207.45,216.43,171.39
203.49,199.6,161.58
200.34,220.01,165.89
201.06,205.53,171.01
202.74,223.59,171.5
205.54,203.12,165.7
169.02,202.96,172.91
203.42,202.78,172.34
201.32,216.37,174.01
201.01,210.44,172.25
204.12,174.84,171.65
202.03,204.23,171.9
200.67,210.67,154.02
202.18,212.25,1265.95
181.34,209.75,171.55
163.21,216.91,171.47
163.43,218.01,171.13
202.89,223.17,171.02
201.4,216.56,171.94
461.87,220.04,151.57
185.38,221.99,171.59
200.72,226.59,171.12
205.01,217.87,170.15
204.91,172.43,171.21
207.22,214.13,171.66
205.36,204.44,171.84
183.78,215.21,394.59
183.34,220.94,172.82
203.25,202.89,171.48
197.17,647.03,171.46
201.23,177.71,170.61
176.83,219.47,171.17
178.3,219.49,166.15
182.14,210.7,173.21
201.12,229.22,173.99
202.8,211.34,173.87
199.86,221.23,172.72
208.54,204.84,165.67
201.79,219.16,172.33
206.48,222.42,173.38
203.61,210.24,171.28
174.43,198.36,589.7
182.08,220.5,170.74
181.41,183.45,171.02
207.56,218.32,1238.71
168.09,221.71,174.89
164.66,201.95,173.37
199.87,183.01,171.71
203.28,217.6,179.29
200.86,222.03,173.36
203.67,200.67,171.69
178.28,219.0,172.5
208.24,431.62,172.59
180.55,180.86,168.15
187.0,221.2,1240.47
199.89,199.03,171.43
185.82,217.75,172.09
163.6,218.12,599.07
183.85,222.0,173.83
181.78,222.05,171.48
182.29,213.51,163.14
185.91,212.51,166.55
165.61,209.27,171.82
161.65,214.19,172.61
165.11,182.55,158.73
158.29,217.82,171.69
190.19,212.33,180.85
163.24,211.14,171.27
165.42,181.71,171.22
179.26,215.92,162.06
180.58,218.75,171.51
168.04,219.76,175.82
162.53,1204.29,171.06
176.14,191.23,171.91
172.38,217.64,171.65
161.1,214.46,175.31
194.92,219.34,180.74
172.09,193.73,150.1
1195.54,205.36,168.14
162.81,219.74,172.48
164.44,211.31,171.42
169.21,224.77,172.54
162.7,218.82,168.01
163.79,216.2,171.5
207.28,206.38,1204.69
166.15,203.89,171.21
164.67,194.2,171.72
158.71,194.88,171.61
159.74,236.35,173.73
157.69,216.42,160.3
161.4,183.11,171.21
156.34,208.57,174.02
157.17,213.01,171.75
157.13,219.72,168.43
157.22,224.86,171.8
167.31,209.85,171.12
165.34,205.31,182.51
190.55,210.63,170.65
179.6,210.42,171.87
191.39,193.58,171.83
171.18,217.0,171.47
175.16,209.32,161.83
197.02,224.46,173.12
202.82,202.62,173.1
164.01,213.5,174.61
180.36,225.18,170.91
192.56,222.49,171.32
169.39,217.23,170.82
182.65,222.83,171.85
203.52,208.05,164.53
172.96,194.05,172.11
200.91,207.83,181.95
203.63,178.5,164.82
187.71,199.39,172.08
1191.05,217.51,171.49
164.54,217.71,170.92
163.47,220.79,181.46
172.57,205.89,171.36
181.5,210.92,168.19
182.18,217.97,171.48
165.97,197.97,170.7
169.87,191.72,182.41
204.15,218.05,171.35
204.14,222.12,170.88
196.28,214.66,172.38
204.55,195.62,166.37
203.89,211.06,171.66
200.47,218.73,163.18
199.71,208.97,1240.21
203.34,216.64,171.19
1210.66,205.78,171.88
164.12,213.53,171.22
183.69,206.99,171.28
203.33,218.29,171.6
171.15,198.6,171.21
160.04,212.84,171.74
185.21,223.56,159.3
188.69,210.3,171.04
186.13,207.67,171.17
202.28,225.96,152.67
201.11,220.47,149.39
184.4,212.68,170.83
201.61,214.65,169.69
180.88,214.67,171.84
183.59,199.1,172.38
181.86,201.52,171.99
201.75,206.71,171.04
181.53,195.72,170.77
187.64,200.35,171.61
172.74,219.9,171.31
187.27,216.15,171.47
1205.3,193.87,172.72
202.15,205.04,170.94
200.24,219.28,171.0
205.19,219.65,171.25
200.07,204.17,172.02
198.63,218.08,171.91
200.19,206.63,158.56
182.16,228.84,172.3
184.9,213.22,172.86
200.24,171.21,171.56
206.49,224.29,171.11
201.06,207.82,166.07
200.39,211.21,176.56
173.99,1209.01,173.89
203.98,185.55,175.56
198.14,216.55,174.01
1181.81,211.49,152.53
456.74,216.16,171.06
196.87,1188.44,170.87
203.8,201.48,173.44
179.69,174.9,171.0
197.36,195.85,157.08
200.77,208.89,597.18
208.42,205.98,172.3
191.1,201.62,153.88
193.51,194.74,171.23
185.21,206.95,170.66
201.1,637.48,173.27
194.48,183.22,171.4
160.91,216.01,171.95
186.14,197.53,171.43
180.2,208.59,172.87
167.46,181.72,172.77
180.48,218.06,171.15
198.34,200.67,160.61
202.13,180.21,170.53
202.59,223.72,171.52
179.54,207.74,171.19
160.68,205.21,172.57
199.48,206.48,176.8
205.06,204.75,171.49
197.66,178.52,171.49
175.49,208.88,169.85
158.81,209.45,171.63
189.35,197.31,184.68
182.38,218.54,171.3
175.26,214.36,162.55
205.3,222.38,157.58
180.82,195.74,170.84
190.43,203.88,173.07
187.55,213.44,172.37
189.89,190.92,171.96
211.03,214.95,171.97
207.23,176.73,171.0
188.16,218.82,171.88
184.99,208.95,171.01
182.54,214.97,171.24
172.48,208.46,170.75
167.13,216.73,1180.47
185.59,214.61,170.27
186.91,643.75,171.31
204.94,203.18,150.71
162.42,441.31,163.65
1213.53,178.47,159.99
468.01,1225.46,171.25
165.39,220.01,155.03
203.58,166.34,171.37
191.33,194.25,171.4
201.14,195.7,171.53
202.0,193.17,171.21
190.03,201.2,169.48
203.38,211.96,171.34
165.38,224.34,171.8
201.58,220.57,171.78
202.35,220.11,1191.82
203.13,222.17,176.46
196.5,220.74,170.84
203.2,213.29,170.79
202.46,197.49,171.75
204.0,222.32,162.7
198.9,209.5,165.74
207.28,213.77,172.42
204.53,2232.76,170.34
203.07,217.24,171.57
203.32,199.38,171.44
200.76,638.15,161.96
215.89,198.98,171.57
158.33,218.68,171.13
186.11,188.53,171.08
203.48,196.46,171.38
210.04,195.89,161.84
200.71,194.55,171.55
202.48,219.7,170.98
198.6,190.91,171.46
201.55,195.04,171.47
191.01,207.96,175.12
208.46,200.87,170.91
201.39,193.88,171.53
169.06,436.68,171.88
200.56,193.78,171.94
207.64,198.81,1194.7
203.26,175.7,172.77
197.7,218.0,171.82
185.01,218.0,170.94
1196.78,197.07,171.85
203.69,211.16,177.5
204.76,191.31,171.16
205.72,197.15,173.14
201.27,215.21,170.98
204.77,192.14,171.12
200.34,179.9,181.91
201.88,168.36,171.24
201.08,182.86,171.66
196.57,186.41,172.52
200.65,173.53,171.35
208.63,194.88,168.82
204.83,201.55,1243.92
201.44,174.27,171.49
191.44,184.1,149.3
201.21,201.96,170.95
202.82,177.52,169.31
206.38,213.57,171.46
462.74,189.41,152.47
201.33,190.93,170.91
199.88,195.59,171.65
201.41,215.5,170.9
190.04,199.91,170.76
191.47,202.53,171.42
204.74,189.57,171.12
206.4,200.71,171.32
186.88,181.04,170.36
200.44,170.86,166.41
204.32,1309.76,171.79
201.3,215.11,163.02
172.58,212.22,173.23
174.16,217.86,171.09
201.34,196.96,168.93
1177.89,198.01,170.67
196.16,217.64,171.66
204.35,169.37,161.41
196.8,215.35,171.5
207.59,221.48,160.89
184.92,208.51,174.23
202.53,220.23,170.93
185.25,206.47,161.55
196.25,226.27,170.84
189.1,218.54,170.08
177.9,206.35,170.21
193.37,212.23,171.71
202.1,216.72,171.31
205.7,205.41,171.58
202.18,209.82,171.9
201.37,211.31,172.41
202.01,207.23,171.88
194.53,1296.96,172.2
201.88,193.84,171.41
183.05,206.31,167.19
202.44,217.54,171.47
193.61,192.67,171.67
200.91,181.29,171.69
202.71,181.07,170.78
194.53,180.84,182.19
202.29,178.13,170.55
190.41,181.3,171.16
199.1,180.91,165.0
185.96,179.0,170.89
201.75,184.13,171.23
167.32,181.35,171.97
173.94,605.1,171.57
160.07,178.92,171.8
200.4,182.51,172.03
212.62,177.54,176.69
185.87,172.63,171.97
167.18,236.05,172.44
208.7,241.38,172.2
200.32,192.37,171.27
203.19,200.29,171.98
201.1,186.57,170.74
207.54,215.44,172.28
201.06,218.61,170.2
201.62,199.06,171.69
471.79,203.65,180.59
204.21,181.54,170.99
202.98,206.69,171.52
185.7,191.81,171.43
214.53,188.58,171.31
200.78,208.3,161.03
200.78,214.05,171.54
184.65,197.1,170.83
