run_id,duration_ms,success
1,3.40,1
2,3.64,1
3,3.28,1
4,3.47,1
5,3.30,1
6,3.49,1
7,3.44,1
8,4.33,1
9,4.12,1
10,3.54,1
11,3.89,1
12,3.47,1
13,5.23,1
14,5.68,1
15,2.79,1
16,3.56,1
17,3.43,1
18,2.90,1
19,3.63,1
20,3.93,1
21,3.24,1
22,3.79,1
23,3.53,1
24,4.14,1
25,3.58,1
26,3.18,1
27,2.47,1
28,2.24,1
29,3.33,1
30,3.50,1
31,3.77,1
32,3.38,1
33,4.50,1
34,3.48,1
35,3.28,1
36,2.67,1
37,3.39,1
38,2.72,1
39,2.77,1
40,3.45,1
41,3.55,1
42,4.09,1
43,2.90,1
44,2.87,1
45,3.73,1
46,4.17,1
47,2.84,1
48,3.01,1
49,3.66,1
50,3.33,1
51,3.72,1
52,3.33,1
53,2.29,1
54,3.05,1
55,3.32,1
56,3.20,1
57,3.42,1
58,2.47,1
59,3.13,1
60,3.07,1
61,3.27,1
62,3.51,1
63,3.93,1
64,4.69,1
65,3.50,1
66,3.75,1
67,3.34,1
68,2.50,1
69,2.41,1
70,3.60,1
71,2.64,1
72,3.34,1
73,2.56,1
74,3.21,1
75,3.01,1
76,2.28,1
77,3.04,1
78,3.00,1
79,3.62,1
80,3.40,1
81,3.23,1
82,3.37,1
83,3.37,1
84,2.82,1
85,4.01,1
86,2.87,1
87,3.20,1
88,3.31,1
89,3.33,1
90,3.33,1
91,8.68,1
92,3.20,1
93,3.21,1
94,2.51,1
95,2.76,1
96,3.86,1
97,3.58,1
98,3.18,1
99,3.18,1
100,3.40,1
101,3.10,1
102,2.45,1
103,3.22,1
104,3.62,1
105,3.56,1
106,3.80,1
107,3.85,1
108,4.62,1
109,4.16,1
110,3.56,1
111,3.19,1
112,3.08,1
113,5.21,1
114,3.64,1
115,3.44,1
116,2.95,1
117,3.53,1
118,3.57,1
119,3.09,1
120,15.29,1
121,3.78,1
122,3.54,1
123,2.85,1
124,3.00,1
125,3.47,1
126,3.36,1
127,3.48,1
128,3.36,1
129,3.35,1
130,3.65,1
131,3.45,1
132,3.75,1
133,3.48,1
134,5.20,1
135,3.19,1
136,3.77,1
137,5.14,1
138,3.97,1
139,3.75,1
140,3.26,1
141,3.73,1
142,4.60,1
143,3.83,1
144,3.16,1
145,3.55,1
146,3.07,1
147,3.86,1
148,3.89,1
149,6.70,1
150,4.36,1
151,3.32,1
152,2.71,1
153,3.38,1
154,3.81,1
155,2.50,1
156,3.02,1
157,2.69,1
158,3.03,1
159,2.41,1
160,3.11,1
161,3.19,1
162,2.79,1
163,3.35,1
164,3.28,1
165,2.84,1
166,3.28,1
167,2.67,1
168,2.37,1
169,3.18,1
170,2.83,1
171,3.21,1
172,2.42,1
173,3.14,1
174,3.34,1
175,2.70,1
176,3.14,1
177,3.46,1
178,2.32,1
179,2.93,1
180,3.16,1
181,3.03,1
182,3.72,1
183,3.23,1
184,2.90,1
185,3.23,1
186,3.92,1
187,3.25,1
188,3.17,1
189,3.43,1
190,2.27,1
191,2.64,1
192,3.24,1
193,6.12,1
194,2.53,1
195,3.94,1
196,3.29,1
197,3.67,1
198,3.48,1
199,3.07,1
200,2.65,1
201,3.59,1
202,3.33,1
203,3.19,1
204,2.65,1
205,3.54,1
206,3.82,1
207,3.16,1
208,2.43,1
209,3.21,1
210,2.61,1
211,3.37,1
212,2.93,1
213,2.98,1
214,3.08,1
215,3.16,1
216,3.39,1
217,3.46,1
218,2.94,1
219,4.58,1
220,3.31,1
221,2.57,1
222,2.54,1
223,3.33,1
224,3.73,1
225,3.21,1
226,2.31,1
227,2.42,1
228,2.42,1
229,3.13,1
230,3.33,1
231,3.55,1
232,4.25,1
233,4.16,1
234,3.19,1
235,3.17,1
236,2.50,1
237,3.41,1
238,3.15,1
239,3.03,1
240,3.28,1
241,3.16,1
242,2.84,1
243,3.34,1
244,3.47,1
245,2.37,1
246,2.68,1
247,2.34,1
248,3.25,1
249,3.85,1
250,2.99,1
251,3.55,1
252,3.69,1
253,2.84,1
254,3.08,1
255,3.61,1
256,2.20,1
257,2.55,1
258,3.59,1
259,2.68,1
260,2.51,1
261,3.67,1
262,3.33,1
263,3.02,1
264,3.12,1
265,3.09,1
266,2.62,1
267,3.02,1
268,2.72,1
269,2.85,1
270,2.91,1
271,3.15,1
272,3.58,1
273,3.27,1
274,2.33,1
275,3.44,1
276,3.27,1
277,2.58,1
278,3.42,1
279,3.76,1
280,3.02,1
281,3.36,1
282,3.29,1
283,2.93,1
284,3.22,1
285,2.85,1
286,3.53,1
287,3.22,1
288,3.51,1
289,3.31,1
290,2.89,1
291,3.64,1
292,3.40,1
293,2.95,1
294,2.99,1
295,2.67,1
296,3.40,1
297,3.28,1
298,3.25,1
299,3.04,1
300,3.26,1
301,2.87,1
302,2.75,1
303,3.39,1
304,3.38,1
305,2.66,1
306,3.07,1
307,2.91,1
308,2.94,1
309,3.46,1
310,3.37,1
311,3.29,1
312,2.16,1
313,2.52,1
314,4.18,1
315,3.10,1
316,3.27,1
317,3.76,1
318,3.19,1
319,2.71,1
320,2.84,1
321,3.02,1
322,2.90,1
323,3.11,1
324,2.72,1
325,2.69,1
326,3.59,1
327,2.59,1
328,3.38,1
329,3.08,1
330,2.98,1
331,3.27,1
332,3.50,1
333,3.50,1
334,3.52,1
335,2.99,1
336,3.15,1
337,2.51,1
338,3.23,1
339,3.05,1
340,3.26,1
341,3.09,1
342,1.98,1
343,1.95,1
344,2.38,1
345,2.74,1
346,2.26,1
347,2.49,1
348,1.99,1
349,2.96,1
350,2.40,1
351,2.93,1
352,3.11,1
353,3.84,1
354,3.35,1
355,3.00,1
356,2.76,1
357,3.46,1
358,2.44,1
359,3.42,1
360,3.34,1
361,3.12,1
362,2.80,1
363,3.02,1
364,2.71,1
365,2.60,1
366,3.09,1
367,3.08,1
368,3.54,1
369,3.71,1
370,3.55,1
371,2.79,1
372,3.57,1
373,3.38,1
374,3.28,1
375,3.41,1
376,4.18,1
377,3.49,1
378,3.25,1
379,3.86,1
380,3.51,1
381,2.57,1
382,9.32,1
383,3.66,1
384,5.19,1
385,3.50,1
386,4.08,1
387,3.91,1
388,3.55,1
389,3.03,1
390,4.08,1
391,3.31,1
392,3.96,1
393,3.23,1
394,3.59,1
395,3.29,1
396,3.38,1
397,5.02,1
398,3.28,1
399,3.17,1
400,2.84,1
401,3.48,1
402,3.60,1
403,6.22,1
404,3.35,1
405,3.35,1
406,3.42,1
407,3.00,1
408,3.21,1
409,2.56,1
410,2.85,1
411,3.25,1
412,2.92,1
413,2.71,1
414,3.07,1
415,2.68,1
416,2.60,1
417,2.21,1
418,3.59,1
419,3.70,1
420,3.43,1
421,3.55,1
422,4.20,1
423,3.24,1
424,4.42,1
425,3.23,1
426,4.55,1
427,5.16,1
428,6.93,1
429,3.04,1
430,5.52,1
431,3.61,1
432,3.69,1
433,3.89,1
434,5.57,1
435,3.72,1
436,5.10,1
437,6.15,1
438,2.77,1
439,3.54,1
440,2.86,1
441,3.08,1
442,3.06,1
443,2.27,1
444,2.27,1
445,2.50,1
446,3.07,1
447,3.35,1
448,3.27,1
449,3.21,1
450,3.78,1
451,3.66,1
452,3.45,1
453,2.56,1
454,2.55,1
455,3.40,1
456,3.35,1
457,3.34,1
458,3.09,1
459,2.14,1
460,3.93,1
461,2.83,1
462,3.87,1
463,3.52,1
464,13.97,1
465,4.24,1
466,3.30,1
467,4.23,1
468,3.68,1
469,5.14,1
470,10.22,1
471,3.88,1
472,3.49,1
473,3.98,1
474,3.12,1
475,3.82,1
476,3.73,1
477,4.06,1
478,3.41,1
479,3.47,1
480,3.44,1
481,3.43,1
482,6.20,1
483,2.56,1
484,3.40,1
485,3.55,1
486,3.71,1
487,3.85,1
488,4.98,1
489,3.88,1
490,3.07,1
491,3.38,1
492,3.69,1
493,4.09,1
494,3.97,1
495,3.33,1
496,3.48,1
497,3.00,1
498,3.12,1
499,3.78,1
500,3.49,1
