Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	03/06/2026 	_x86_64_	(8 CPU)

18:20:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:20:23     all   21,58    0,00    7,28   14,94    0,00    0,00    0,00    0,00    0,00   56,19
18:20:24     all   11,15    0,51   10,77   10,90    0,00    0,13    0,00    0,00    0,00   66,54
18:20:25     all   15,10    0,25   10,15   10,28    0,00    0,00    0,00    0,00    0,00   64,21
18:20:26     all    3,16    0,00    2,78   43,43    0,00    0,13    0,00    0,00    0,00   50,51
18:20:27     all   15,71    0,00    4,34   14,43    0,00    0,00    0,00    0,00    0,00   65,52
18:20:28     all   10,00    0,13    9,87    7,47    0,00    0,13    0,00    0,00    0,00   72,41
18:20:29     all   12,52    0,76   10,62   10,11    0,00    0,00    0,00    0,00    0,00   65,99
18:20:30     all   10,90    0,00    2,51    3,13    0,00    0,00    0,00    0,00    0,00   83,46
18:20:31     all   19,29    0,00    1,89    1,77    0,00    0,00    0,00    0,00    0,00   77,05
18:20:32     all   20,58    0,00    2,01    0,38    0,00    0,00    0,00    0,00    0,00   77,04
18:20:33     all   14,57    0,00    2,26    0,00    0,00    0,00    0,00    0,00    0,00   83,17
18:20:34     all   15,70    0,00    2,76    0,75    0,00    0,00    0,00    0,00    0,00   80,78
18:20:35     all   16,73    0,12    2,87   11,24    0,00    0,12    0,00    0,00    0,00   68,91
18:20:36     all   28,03    0,00    3,82   12,87    0,00    0,00    0,00    0,00    0,00   55,29
18:20:37     all   21,77    0,13    6,33    9,75    0,00    0,00    0,00    0,00    0,00   62,03
18:20:38     all   27,89    0,13    8,79   16,33    0,00    0,00    0,00    0,00    0,00   46,86
18:20:39     all   25,41    0,00    7,84    9,86    0,00    0,00    0,00    0,00    0,00   56,89
18:20:40     all   33,50    0,13   11,63    8,09    0,00    0,13    0,00    0,00    0,00   46,52
18:20:41     all   35,66    0,13   10,53   12,18    0,00    0,13    0,00    0,00    0,00   41,37
18:20:42     all   48,55    0,00   14,41    6,32    0,00    0,13    0,00    0,00    0,00   30,59
18:20:43     all   44,44    0,25   14,77   14,39    0,00    0,25    0,00    0,00    0,00   25,88
18:20:44     all   47,78    0,13   15,84    4,31    0,00    0,00    0,00    0,00    0,00   31,94
18:20:45     all   46,08    0,00   15,57    6,96    0,00    0,13    0,00    0,00    0,00   31,27
18:20:46     all   59,09    0,13   18,17    3,56    0,00    0,38    0,00    0,00    0,00   18,68
18:20:47     all   61,26    0,13   17,61    3,90    0,00    0,13    0,00    0,00    0,00   16,98
18:20:48     all   56,60    0,13   19,54    4,06    0,00    0,13    0,00    0,00    0,00   19,54
18:20:49     all   62,69    0,13   21,19    3,05    0,00    0,00    0,00    0,00    0,00   12,94
18:20:50     all   62,72    0,13   19,65    3,15    0,00    0,38    0,00    0,00    0,00   13,98
18:20:51     all   65,06    0,00   21,86    2,03    0,00    0,00    0,00    0,00    0,00   11,05
18:20:52     all   69,56    0,13   22,39    1,51    0,00    0,13    0,00    0,00    0,00    6,29
18:20:53     all   74,15    0,13   22,19    0,50    0,00    0,13    0,00    0,00    0,00    2,90
18:20:54     all   69,37    0,00   23,42    0,76    0,00    0,13    0,00    0,00    0,00    6,33
18:20:55     all   73,68    0,13   22,29    0,50    0,00    0,38    0,00    0,00    0,00    3,02
18:20:56     all   66,75    0,00   22,00    6,50    0,00    0,12    0,00    0,00    0,00    4,62
18:20:57     all   67,59    0,13   22,41    3,54    0,00    0,38    0,00    0,00    0,00    5,95
18:20:58     all   68,73    0,13   21,19    3,40    0,00    0,13    0,00    0,00    0,00    6,43
18:20:59     all   71,98    0,13   24,25    0,25    0,00    0,13    0,00    0,00    0,00    3,27
18:21:00     all   72,56    0,13   23,43    0,38    0,00    0,38    0,00    0,00    0,00    3,13
18:21:01     all   75,13    0,13   23,11    0,25    0,00    0,13    0,00    0,00    0,00    1,26
18:21:02     all   70,82    0,25   23,52    2,39    0,00    0,13    0,00    0,00    0,00    2,89
18:21:03     all   71,91    0,00   24,56    0,76    0,00    0,13    0,00    0,00    0,00    2,64
18:21:04     all   73,52    0,13   24,21    0,38    0,00    0,25    0,00    0,00    0,00    1,51
18:21:05     all   72,06    0,00   25,06    0,38    0,00    0,38    0,00    0,00    0,00    2,13
18:21:06     all   75,22    0,00   23,14    0,00    0,00    0,13    0,00    0,00    0,00    1,51
18:21:07     all   76,57    0,00   21,91    0,00    0,00    0,00    0,00    0,00    0,00    1,51
18:21:08     all   75,19    0,00   23,06    0,25    0,00    0,38    0,00    0,00    0,00    1,13
18:21:09     all   73,17    0,00   23,55    0,76    0,00    0,00    0,00    0,00    0,00    2,52
18:21:10     all   73,49    0,00   22,74    0,00    0,00    0,13    0,00    0,00    0,00    3,64
18:21:11     all   72,44    0,00   22,88    0,00    0,00    0,00    0,00    0,00    0,00    4,68
18:21:12     all   73,93    0,00   22,18    0,00    0,00    0,38    0,00    0,00    0,00    3,51
18:21:13     all   74,56    0,00   21,91    0,13    0,00    0,13    0,00    0,00    0,00    3,27
18:21:14     all   74,37    0,25   22,35    0,51    0,00    0,38    0,00    0,00    0,00    2,15
18:21:15     all   69,56    0,00   21,51    0,63    0,00    0,13    0,00    0,00    0,00    8,18
18:21:16     all   71,61    0,00   20,48    0,00    0,00    0,25    0,00    0,00    0,00    7,66
18:21:17     all   68,97    0,00   21,61    0,00    0,00    0,25    0,00    0,00    0,00    9,17
18:21:18     all   67,47    0,00   20,41    0,77    0,00    0,00    0,00    0,00    0,00   11,35
18:21:19     all   70,54    0,13   22,00    2,02    0,00    0,25    0,00    0,00    0,00    5,06
18:21:20     all   67,38    0,00   18,14    0,00    0,00    0,00    0,00    0,00    0,00   14,48
18:21:21     all   65,91    0,00   19,70    0,76    0,00    0,13    0,00    0,00    0,00   13,51
18:21:22     all   61,47    0,13   20,28    2,53    0,00    0,13    0,00    0,00    0,00   15,46
18:21:23     all   53,35    0,00   16,56    2,91    0,00    0,13    0,00    0,00    0,00   27,05
18:21:24     all   51,58    0,00   15,64    1,51    0,00    0,25    0,00    0,00    0,00   31,02
18:21:25     all   58,32    0,00   18,68    4,07    0,00    0,13    0,00    0,00    0,00   18,81
18:21:26     all   66,20    0,00   13,49    0,13    0,00    0,13    0,00    0,00    0,00   20,05
18:21:27     all   44,02    0,00   13,87    0,00    0,00    0,00    0,00    0,00    0,00   42,11
18:21:28     all   40,03    0,25   13,93    7,15    0,00    0,00    0,00    0,00    0,00   38,64
18:21:29     all   34,68    0,00   11,27    8,23    0,00    0,00    0,00    0,00    0,00   45,82
18:21:30     all   27,63    0,13    8,62   10,77    0,00    0,13    0,00    0,00    0,00   52,72
18:21:31     all   25,98    0,13    5,93   11,98    0,00    0,13    0,00    0,00    0,00   55,86
18:21:32     all   20,41    0,00    3,55   10,01    0,00    0,00    0,00    0,00    0,00   66,03
18:21:33     all   15,38    0,00    2,52   10,84    0,00    0,00    0,00    0,00    0,00   71,25
18:21:34     all   16,21    0,00    2,76   11,18    0,00    0,00    0,00    0,00    0,00   69,85
18:21:35     all   13,69    0,25    5,58   10,39    0,00    0,00    0,00    0,00    0,00   70,09
18:21:36     all   16,43    0,00    4,71   12,74    0,00    0,13    0,00    0,00    0,00   65,99
