procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 10633988 299636 7276464    0    0   114   480 7175   17 10  5 83  2  0  0
 2  1      0 10620720 299644 7276508    0    0     0  1744 8315 21054 11  5 73 11  0  0
 1  1      0 10619676 299672 7276556    0    0     0   988 4797 12746  6  4 78 12  0  0
 2  0      0 10603196 299692 7276852    0    0     0   644 12904 34144 12  6 71 11  0  0
 2  1      0 10602704 299696 7276600    0    0     0  1424 6201 14319  6  5 70 18  0  0
 1  0      0 10585908 299700 7276588    0    0     0   476 11849 26651  9  5 78  8  0  0
 2  1      0 10555612 299700 7276604    0    0     0   136 14770 29718  8  7 81  4  0  0
 0  2      0 10556368 299720 7276616    0    0     0  1496 9756 26180 14  9 66 12  0  0
 1  2      0 10551140 299740 7276732    0    0     0   744 7529 17611  8  6 73 13  0  0
 1  0      0 10559588 299760 7276744    0    0     0   228 9171 27614 17  3 76  4  0  0
 1  0      0 10574736 299760 7272668    0    0     0   112 3980 11454 14  1 80  4  0  0
 1  0      0 10577184 299760 7272688    0    0     0     0 2594 2521 13  1 86  0  0  0
 1  0      0 10577616 299760 7276788    0    0     0     0 6637 17085 18  2 80  0  0  0
 1  0      0 10588428 299760 7276800    0    0     0    64 7249 20954 18  2 77  3  0  0
 1  4      0 10600120 299768 7276552    0    0     0  1960 5925 16826 16  3 71 10  0  0
 1  1      0 10616884 299768 7276560    0    0     0   376 4162 10207 14  1 68 17  0  0
 3  1      0 10604088 299788 7276652    0    0     0  1008 8808 20465 21  5 64 10  0  0
 8  2      0 10574936 299804 7276684    0    0     0  1732 12061 23857 27  7 49 17  0  0
 2  1      0 10550644 299808 7277220    0    0     0   884 16743 24836 28  8 52 12  0  0
 3  1      0 10545244 299816 7277360    0    0     0   884 22192 32510 30  9 52  9  0  0
 3  2      0 10535460 299820 7277376    0    0     0  1596 20778 25630 35 11 40 14  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  2      0 10548484 299832 7277408    0    0     0  1112 20957 32748 40 11 42  7  0  0
 5  1      0 10542044 299840 7277468    0    0     0  1516 21085 34006 42 14 37  7  0  0
 4  1      0 10508540 299848 7273460    0    0     0   940 24949 40546 49 14 24 13  0  0
 5  1      0 10512764 299848 7277568    0    0     0  1092 20070 31636 47 17 32  4  0  0
14  3      0 10498296 299856 7277656    0    0     0  1684 22328 35787 54 18 24  4  0  0
15  1      0 10485760 299860 7273624    0    0     0  1144 25332 37323 59 17 20  5  0  0
 8  0      0 10484928 299876 7277804    0    0     0   660 24925 36348 58 19 20  4  0  0
13  1      0 10476160 299880 7273768    0    0     0  1636 16912 30472 64 20 14  3  0  0
11  1      0 10461672 299884 7277928    0    0     0  1240 15767 33112 64 20 15  2  0  0
 8  1      0 10478048 299896 7277976    0    0     0   636 17314 35582 66 21 11  2  0  0
14  1      0 10466336 299908 7278128    0    0     0  1576 16321 32273 71 21  6  2  0  0
15  0      0 10486096 299916 7277876    0    0     0  1124 20105 40688 71 22  5  2  0  0
11  3      0 10490348 299932 7278512    0    0     0  1780 19006 33033 72 24  3  1  0  0
 8  1      0 10474408 299936 7278484    0    0     0  1148 19446 38831 75 21  3  1  0  0
10  1      0 10451688 299944 7278504    0    0     0   820 18253 34511 75 23  2  0  0  0
 9  4      0 10463240 299952 7278644    0    0     0  2296 18319 31747 73 24  3  1  0  0
15  1      0 10453608 299952 7278660    0    0     0   800 16138 29732 74 23  3  1  0  0
10  2      0 10448068 299956 7278684    0    0     0   728 15491 31119 67 20  5  9  0  0
18  0      0 10458472 299960 7278708    0    0     0   472 15565 28594 73 24  3  1  0  0
22  1      0 10443264 299960 7278840    0    0     0   532 17884 34849 75 23  2  0  0  0
 9  1      0 10455988 299964 7274772    0    0     0  1716 18301 35475 76 23  1  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
24  2      0 10430732 299968 7274796    0    0     0  1192 15437 28062 67 21  2  9  0  0
22  1      0 10437108 299988 7278880    0    0     0   520 17685 34919 75 23  2  0  0  0
10  2      0 10457100 299988 7278964    0    0     0  2440 15562 29203 66 22  1 10  0  0
20  2      0 10455848 299988 7274888    0    0     0  1204 13680 22822 73 22  2  3  0  0
11  2      0 10450468 299988 7274892    0    0     0  1612 13484 19745 73 24  1  2  0  0
17  1      0 10431568 300004 7279264    0    0     0   540 19204 32329 73 25  2  0  0  0
11  4      0 10418964 300008 7279448    0    0     0  2040 22027 25391 74 25  1  0  0  0
14 13      0 10453596 300008 7279528    0    0     0   604 16601 20505 75 24  1  0  0  0
14  1      0 10484392 300020 7279148    0    0     0  1076 25279 38935 62 18  8 12  0  0
14  3      0 10455344 300028 7279260    0    0     0  1376 20149 29540 72 24  1  3  0  0
17  0      0 10417032 300044 7276144    0    0     0   712 21199 30487 74 25  1  0  0  0
15  1      0 10427364 300044 7272112    0    0     0  2008 20893 28519 74 25  1  0  0  0
10  1      0 10433300 300056 7269972    0    0     0  1156 22610 22070 75 24  0  0  0  0
13  1      0 10449872 300084 7273632    0    0     0   524 16558 26345 75 25  0  0  0  0
16  1      0 10437436 300096 7274200    0    0     0  2016 18863 25459 75 24  1  0  0  0
24  3      0 10426652 300100 7279776    0    0     0  1396 25698 30864 81 19  0  0  0  0
12  1      0 10433088 300104 7276572    0    0     0  2040 22801 32742 74 24  1  1  0  0
