procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 13471088 233748 5995436    0    0   171   579 6439   12  9  5 85  2  0  0
 0  1      0 13466540 233768 5995460    0    0     0  2044 3412 7254  3  2 76 19  0  0
 0  1      0 13466300 233804 5995488    0    0     0  1156 2513 4077  3  2 84 12  0  0
 1  1      0 13463780 233820 5999660    0    0     0   508 6277 10609  5  4 82  9  0  0
 1  1      0 13463580 233828 5999692    0    0     0  1524 3276 4223  4  3 81 12  0  0
 1  0      0 13447580 233844 6003760    0    0     0   268 13774 20654  7  7 82  4  0  0
 0  1      0 13409800 233844 6007864    0    0     0    20 18163 28018  9  8 82  1  0  0
 0  1      0 13418488 233864 6007872    0    0     0  1556 3116 3939  3  3 78 16  0  0
 0  1      0 13418224 233896 6007996    0    0     0   760 5245 8246  6  4 81 10  0  0
 0  0      0 13425752 233912 6008012    0    0     0   292 3630 4849  3  3 88  6  0  0
 0  0      0 13430568 233912 6008024    0    0     0     0 1167 1349  1  1 97  0  0  0
 0  0      0 13441652 233912 6008036    0    0     0     0 2380 4508  2  2 96  0  0  0
 0  0      0 13460960 233912 6008044    0    0     0     0 2151 2296  2  2 97  0  0  0
 0  0      0 13463424 233928 6008024    0    0     0   176 2423 3772  2  2 93  4  0  0
 0  0      0 13465080 233928 6008020    0    0     0     0 1921 4083  2  2 96  0  0  0
 0  1      0 13472804 233928 6008028    0    0     0   136 2749 6678  2  2 93  3  0  0
 0  1      0 13473776 233956 6008036    0    0     0  2080 2142 2452  2  1 78 19  0  0
 0  1      0 13465412 233992 6008116    0    0     0  1088 6493 11462  8  5 75 12  0  0
 0  2      0 13455740 234020 6008208    0    0     0  1632 6827 11295  7  5 74 14  0  0
 0  1      0 13469400 234040 6008204    0    0     0  1064 3701 3922  5  4 79 12  0  0
 0  1      0 13465420 234052 6008296    0    0     0   536 8773 15866  8  6 78  8  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 13455128 234076 6008364    0    0     0  1804 6899 10694  7  5 65 22  0  0
 0  1      0 13448940 234104 6008484    0    0     0   928 7021 10257 10  6 73 11  0  0
 3  2      0 13440600 234120 6008512    0    0     0  1640 8042 12016  8  7 71 14  0  0
 1  1      0 13442416 234144 6008532    0    0     0  1044 6858 6736  9  6 74 12  0  0
 4  3      0 13441100 234160 6008640    0    0     0  1840 10506 15814 11  8 72 10  0  0
 1  1      0 13423588 234176 6008652    0    0     0   864 8092 11600  9  7 70 14  0  0
 1  1      0 13423748 234216 6008752    0    0     0   732 9784 16813 11  7 72  9  0  0
 1  1      0 13423268 234232 6008780    0    0     0  1716 7024 6623  8  6 69 17  0  0
 3  0      0 13435168 234256 5992184    0    0     0  1280 7460 8563 10  7 69 14  0  0
 1  2      0 13427652 234288 5992348    0    0     0  1696 9829 14553 11  7 68 14  0  0
 1  1      0 13416252 234304 5992356    0    0     0  1020 6454 11559  7  5 71 17  0  0
 2  1      0 13435192 234324 5963704    0    0     0   708 8841 12354 10  7 74  9  0  0
 0  1      0 13431344 234340 5963748    0    0     0  1728 7896 11707  9  7 67 17  0  0
 2  0      0 13431784 234368 5967916    0    0     0   920 7332 7880  9  7 73 11  0  0
 1  2      0 13434632 234396 5968048    0    0     0  1600 9260 14502 10  7 73 10  0  0
 1  1      0 13425364 234408 5968064    0    0     0   780 8085 11862 10  7 73 10  0  0
 0  1      0 13413528 234440 5972268    0    0     0   624 8485 11967 10  7 74 10  0  0
 2  2      0 13417768 234476 5972308    0    0     0  1800 8265 12957  8  7 65 19  0  0
 0  2      0 13419236 234492 5972332    0    0     0  1068 5844 5482  8  6 72 15  0  0
 4  0      0 13418288 234520 5976560    0    0     0   568 8607 11767 10  8 72 10  0  0
 6  1      0 13405016 234528 5976640    0    0     0  1568 7944 10010 11  8 54 27  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
