run_id,handshake_type,duration_ms,success
1,full,92.15,1
2,full,79.56,1
3,full,98.11,1
4,full,81.68,1
5,full,79.39,1
6,full,79.51,1
7,full,79.02,1
8,full,100.44,1
9,full,79.19,1
10,full,83.87,1
11,full,98.54,1
12,full,79.44,1
13,full,79.06,1
14,full,86.57,1
15,full,98.51,1
16,full,79.21,1
17,full,79.40,1
18,full,79.50,1
19,full,79.75,1
20,full,90.84,1
21,full,81.28,1
22,full,79.18,1
23,full,106.47,1
24,full,79.00,1
25,full,79.31,1
26,full,88.27,1
27,full,89.82,1
28,full,79.12,1
29,full,79.17,1
30,full,100.75,1
31,full,87.49,1
32,full,79.90,1
33,full,79.93,1
34,full,79.26,1
35,full,79.14,1
36,full,79.21,1
37,full,79.02,1
38,full,79.29,1
39,full,87.50,1
40,full,79.50,1
41,full,79.31,1
42,full,79.50,1
43,full,89.68,1
44,full,105.46,1
45,full,96.49,1
46,full,98.35,1
47,full,79.17,1
48,full,79.77,1
49,full,81.20,1
50,full,79.48,1
51,full,79.26,1
52,full,89.93,1
53,full,79.12,1
54,full,98.20,1
55,full,79.02,1
56,full,79.78,1
57,full,79.69,1
58,full,79.09,1
59,full,79.14,1
60,full,79.54,1
61,full,79.77,1
62,full,79.26,1
63,full,79.25,1
64,full,79.23,1
65,full,79.28,1
66,full,79.48,1
67,full,79.20,1
68,full,101.05,1
69,full,79.19,1
70,full,86.19,1
71,full,79.50,1
72,full,81.23,1
73,full,79.56,1
74,full,81.24,1
75,full,90.67,1
76,full,79.00,1
77,full,79.08,1
78,full,80.51,1
79,full,97.73,1
80,full,79.49,1
81,full,79.09,1
82,full,100.52,1
83,full,79.22,1
84,full,79.65,1
85,full,79.74,1
86,full,79.13,1
87,full,80.83,1
88,full,98.79,1
89,full,79.52,1
90,full,79.56,1
91,full,79.55,1
92,full,79.19,1
93,full,79.15,1
94,full,79.19,1
95,full,79.99,1
96,full,79.66,1
97,full,79.63,1
98,full,79.34,1
99,full,79.61,1
100,full,79.03,1
101,full,79.23,1
102,full,79.04,1
103,full,79.22,1
104,full,78.97,1
105,full,79.21,1
106,full,79.17,1
107,full,79.09,1
108,full,79.07,1
109,full,79.08,1
110,full,78.90,1
111,full,79.84,1
112,full,78.90,1
113,full,79.78,1
114,full,80.75,1
115,full,78.97,1
116,full,79.08,1
117,full,79.45,1
118,full,79.21,1
119,full,82.13,1
120,full,79.41,1
121,full,79.86,1
122,full,78.97,1
123,full,79.16,1
124,full,80.11,1
125,full,79.13,1
126,full,79.11,1
127,full,79.22,1
128,full,97.89,1
129,full,79.15,1
130,full,79.04,1
131,full,79.83,1
132,full,78.89,1
133,full,79.29,1
134,full,80.00,1
135,full,79.41,1
136,full,79.15,1
137,full,79.11,1
138,full,79.22,1
139,full,79.17,1
140,full,79.12,1
141,full,79.14,1
142,full,79.58,1
143,full,79.30,1
144,full,90.21,1
145,full,79.61,1
146,full,79.38,1
147,full,81.63,1
148,full,79.30,1
149,full,79.21,1
150,full,79.77,1
151,full,79.15,1
152,full,79.07,1
153,full,80.22,1
154,full,78.92,1
155,full,78.93,1
156,full,79.50,1
157,full,81.27,1
158,full,79.20,1
159,full,97.82,1
160,full,79.07,1
161,full,99.27,1
162,full,81.62,1
163,full,79.34,1
164,full,83.42,1
165,full,79.59,1
166,full,79.50,1
167,full,90.49,1
168,full,79.37,1
169,full,81.24,1
170,full,79.68,1
171,full,79.11,1
172,full,80.23,1
173,full,79.54,1
174,full,79.41,1
175,full,94.05,1
176,full,79.00,1
177,full,79.20,1
178,full,98.47,1
179,full,78.97,1
180,full,98.86,1
181,full,79.25,1
182,full,79.60,1
183,full,87.77,1
184,full,100.88,1
185,full,96.16,1
186,full,79.23,1
187,full,79.30,1
