run_id,handshake_type,duration_ms,success
1,full,107.78,1
2,full,72.18,1
3,full,72.09,1
4,full,72.34,1
5,full,72.34,1
6,full,72.24,1
7,full,72.24,1
8,full,72.07,1
9,full,72.05,1
10,full,72.34,1
11,full,72.20,1
12,full,72.14,1
13,full,72.14,1
14,full,72.19,1
15,full,72.02,1
16,full,72.03,1
17,full,72.16,1
18,full,72.30,1
19,full,72.04,1
20,full,72.53,1
21,full,222.89,1
22,full,71.85,1
23,full,72.30,1
24,full,72.10,1
25,full,72.25,1
26,full,71.99,1
27,full,72.12,1
28,full,72.06,1
29,full,72.12,1
30,full,72.15,1
31,full,72.23,1
32,full,72.21,1
33,full,72.07,1
34,full,72.20,1
35,full,72.21,1
36,full,72.54,1
37,full,72.20,1
38,full,72.00,1
39,full,72.07,1
40,full,72.58,1
41,full,72.18,1
42,full,2074.20,1
43,full,72.01,1
44,full,71.92,1
45,full,72.49,1
46,full,71.91,1
47,full,72.12,1
48,full,72.18,1
49,full,71.94,1
50,full,72.15,1
51,full,72.11,1
52,full,72.02,1
53,full,72.27,1
54,full,72.09,1
55,full,223.19,1
56,full,72.07,1
57,full,72.22,1
58,full,72.21,1
59,full,71.97,1
60,full,71.99,1
61,full,72.39,1
62,full,72.03,1
63,full,72.13,1
64,full,72.06,1
65,full,72.06,1
66,full,71.91,1
67,full,72.24,1
68,full,71.97,1
69,full,72.20,1
70,full,72.34,1
71,full,72.10,1
72,full,223.24,1
73,full,222.11,1
74,full,72.31,1
75,full,72.03,1
76,full,72.23,1
77,full,71.96,1
78,full,72.15,1
79,full,72.15,1
80,full,72.25,1
81,full,71.97,1
82,full,72.12,1
83,full,72.27,1
84,full,72.55,1
85,full,72.12,1
86,full,72.09,1
87,full,72.02,1
88,full,72.17,1
89,full,72.04,1
90,full,72.13,1
91,full,72.01,1
92,full,72.02,1
93,full,72.30,1
94,full,72.02,1
95,full,72.04,1
96,full,72.10,1
97,full,72.06,1
98,full,72.15,1
99,full,72.05,1
100,full,72.07,1
101,full,72.29,1
102,full,72.10,1
103,full,72.08,1
104,full,72.15,1
105,full,72.20,1
106,full,72.31,1
107,full,2074.51,1
108,full,72.10,1
109,full,72.13,1
110,full,72.12,1
111,full,72.10,1
112,full,72.24,1
113,full,72.16,1
114,full,72.02,1
115,full,71.92,1
116,full,72.06,1
117,full,72.26,1
118,full,72.06,1
119,full,72.21,1
120,full,72.17,1
121,full,72.36,1
122,full,72.05,1
123,full,72.12,1
124,full,72.08,1
125,full,72.36,1
126,full,72.12,1
127,full,71.87,1
128,full,72.10,1
129,full,72.03,1
130,full,72.06,1
131,full,223.18,1
132,full,72.02,1
133,full,72.07,1
134,full,72.26,1
135,full,72.02,1
136,full,72.66,1
137,full,72.02,1
138,full,71.95,1
139,full,72.21,1
140,full,72.11,1
141,full,72.08,1
142,full,72.44,1
143,full,72.04,1
144,full,72.53,1
145,full,72.18,1
146,full,71.96,1
147,full,72.35,1
148,full,72.33,1
149,full,72.14,1
150,full,72.19,1
151,full,72.05,1
152,full,72.09,1
153,full,72.50,1
154,full,72.18,1
155,full,72.43,1
156,full,72.19,1
157,full,72.28,1
158,full,72.10,1
159,full,72.13,1
160,full,72.07,1
161,full,223.28,1
162,full,72.48,1
163,full,72.74,1
164,full,72.12,1
165,full,72.00,1
166,full,72.22,1
167,full,72.14,1
168,full,72.40,1
