run_id,handshake_type,duration_ms,success
1,full,80.76,1
2,full,79.42,1
3,full,79.56,1
4,full,79.34,1
5,full,79.28,1
6,full,79.11,1
7,full,79.30,1
8,full,79.59,1
9,full,80.00,1
10,full,79.37,1
11,full,79.73,1
12,full,90.94,1
13,full,91.34,1
14,full,79.74,1
15,full,79.19,1
16,full,98.26,1
17,full,98.36,1
18,full,79.50,1
19,full,79.21,1
20,full,79.62,1
21,full,98.15,1
22,full,79.38,1
23,full,87.22,1
24,full,79.11,1
25,full,87.94,1
26,full,79.45,1
27,full,80.14,1
28,full,79.76,1
29,full,79.49,1
30,full,79.30,1
31,full,79.86,1
32,full,79.08,1
33,full,79.37,1
34,full,79.01,1
35,full,79.19,1
36,full,79.00,1
37,full,79.27,1
38,full,79.36,1
39,full,79.33,1
40,full,79.46,1
41,full,79.36,1
42,full,79.00,1
43,full,79.42,1
44,full,78.83,1
45,full,79.35,1
46,full,79.25,1
47,full,79.35,1
48,full,78.89,1
49,full,89.01,1
50,full,94.18,1
51,full,79.05,1
52,full,78.96,1
53,full,100.80,1
54,full,99.40,1
55,full,78.88,1
56,full,79.56,1
57,full,78.92,1
58,full,79.51,1
59,full,79.62,1
60,full,87.37,1
61,full,79.44,1
62,full,79.19,1
63,full,79.12,1
64,full,79.31,1
65,full,79.80,1
66,full,79.58,1
67,full,79.09,1
68,full,79.12,1
69,full,87.25,1
70,full,79.26,1
71,full,79.13,1
72,full,87.50,1
73,full,79.12,1
74,full,79.07,1
75,full,92.41,1
76,full,79.28,1
77,full,79.01,1
78,full,79.09,1
79,full,79.83,1
80,full,79.20,1
81,full,79.08,1
82,full,79.31,1
83,full,79.11,1
84,full,79.20,1
85,full,79.15,1
86,full,79.09,1
87,full,79.20,1
88,full,79.22,1
89,full,79.08,1
90,full,79.34,1
91,full,78.99,1
92,full,79.32,1
93,full,79.12,1
94,full,79.30,1
95,full,79.33,1
96,full,79.08,1
97,full,78.95,1
98,full,79.17,1
99,full,79.38,1
100,full,79.26,1
101,full,80.20,1
102,full,97.67,1
103,full,79.13,1
104,full,83.55,1
105,full,100.11,1
106,full,78.85,1
107,full,93.88,1
108,full,79.08,1
109,full,87.45,1
110,full,79.12,1
111,full,79.20,1
112,full,78.90,1
113,full,79.34,1
114,full,87.09,1
115,full,79.28,1
116,full,78.85,1
117,full,79.14,1
118,full,79.31,1
119,full,79.33,1
120,full,78.91,1
121,full,79.24,1
122,full,79.38,1
123,full,78.90,1
124,full,79.34,1
125,full,79.12,1
126,full,97.64,1
127,full,78.94,1
128,full,79.61,1
129,full,79.06,1
130,full,79.32,1
131,full,79.09,1
132,full,79.21,1
133,full,79.27,1
134,full,79.70,1
135,full,79.08,1
136,full,79.86,1
137,full,87.39,1
138,full,83.16,1
139,full,78.99,1
140,full,79.45,1
141,full,79.15,1
142,full,86.55,1
143,full,79.14,1
144,full,79.48,1
145,full,79.58,1
146,full,79.26,1
147,full,79.16,1
148,full,90.86,1
149,full,79.05,1
150,full,79.35,1
151,full,79.27,1
152,full,87.97,1
153,full,79.03,1
154,full,79.12,1
155,full,79.04,1
156,full,79.42,1
157,full,79.20,1
158,full,79.09,1
159,full,91.12,1
160,full,90.69,1
161,full,78.91,1
162,full,78.99,1
163,full,79.33,1
164,full,79.17,1
165,full,79.11,1
166,full,79.36,1
167,full,79.04,1
168,full,79.11,1
169,full,79.42,1
170,full,79.42,1
171,full,79.02,1
172,full,79.01,1
173,full,90.90,1
174,full,79.03,1
175,full,79.11,1
176,full,79.55,1
177,full,79.61,1
178,full,79.12,1
179,full,78.89,1
180,full,79.08,1
181,full,79.33,1
182,full,79.32,1
183,full,79.04,1
184,full,79.00,1
185,full,79.08,1
186,full,79.04,1
187,full,79.16,1
188,full,78.87,1
189,full,79.29,1
190,full,79.38,1
191,full,79.22,1
192,full,79.23,1
193,full,79.25,1
194,full,79.20,1
195,full,79.24,1
196,full,78.93,1
197,full,79.44,1
198,full,79.10,1
199,full,79.30,1
200,full,79.17,1
201,full,79.08,1
202,full,94.46,1
203,full,79.48,1
204,full,79.24,1
205,full,79.47,1
206,full,79.26,1
207,full,79.29,1
208,full,79.10,1
209,full,79.49,1
