run_id,handshake_type,duration_ms,success
1,full,43,1
2,full,38,1
3,full,58,1
4,full,40,1
5,full,40,1
6,full,39,1
7,full,40,1
8,full,40,1
9,full,41,1
10,full,38,1
11,full,70,1
12,full,40,1
13,full,40,1
14,full,41,1
15,full,39,1
16,full,41,1
17,full,39,1
18,full,39,1
19,full,41,1
20,full,42,1
21,full,39,1
22,full,69,1
23,full,39,1
24,full,39,1
25,full,37,1
26,full,36,1
27,full,39,1
28,full,39,1
29,full,38,1
30,full,40,1
31,full,39,1
32,full,40,1
33,full,39,1
34,full,39,1
35,full,39,1
36,full,39,1
37,full,40,1
38,full,39,1
39,full,42,1
40,full,39,1
41,full,38,1
42,full,41,1
43,full,39,1
44,full,38,1
45,full,36,1
46,full,37,1
47,full,38,1
48,full,35,1
49,full,35,1
50,full,35,1
51,full,35,1
52,full,35,1
53,full,36,1
54,full,34,1
55,full,36,1
56,full,35,1
57,full,35,1
58,full,37,1
59,full,37,1
60,full,38,1
61,full,34,1
62,full,35,1
63,full,35,1
64,full,36,1
65,full,34,1
66,full,35,1
67,full,34,1
68,full,43,1
69,full,38,1
70,full,34,1
71,full,35,1
72,full,34,1
73,full,35,1
74,full,35,1
75,full,35,1
76,full,35,1
77,full,38,1
78,full,36,1
79,full,39,1
80,full,35,1
81,full,35,1
82,full,37,1
83,full,35,1
84,full,35,1
85,full,35,1
86,full,37,1
87,full,35,1
88,full,35,1
89,full,35,1
90,full,34,1
91,full,35,1
92,full,35,1
93,full,35,1
94,full,34,1
95,full,38,1
96,full,36,1
97,full,35,1
98,full,34,1
99,full,35,1
100,full,36,1
101,full,34,1
102,full,35,1
103,full,36,1
104,full,35,1
105,full,36,1
106,full,38,1
107,full,34,1
108,full,34,1
109,full,35,1
110,full,34,1
111,full,35,1
112,full,35,1
113,full,35,1
114,full,35,1
115,full,37,1
116,full,37,1
117,full,34,1
118,full,38,1
119,full,34,1
120,full,36,1
121,full,35,1
122,full,35,1
123,full,34,1
124,full,34,1
125,full,38,1
126,full,33,1
127,full,33,1
128,full,34,1
129,full,33,1
130,full,34,1
131,full,38,1
132,full,39,1
133,full,34,1
134,full,35,1
135,full,34,1
136,full,34,1
137,full,35,1
138,full,35,1
139,full,32,1
140,full,31,1
141,full,34,1
142,full,43,1
143,full,36,1
144,full,36,1
145,full,35,1
146,full,34,1
147,full,35,1
148,full,34,1
149,full,35,1
150,full,36,1
151,full,35,1
152,full,35,1
153,full,34,1
154,full,33,1
155,full,32,1
156,full,34,1
157,full,34,1
158,full,33,1
159,full,33,1
160,full,35,1
161,full,33,1
162,full,34,1
163,full,33,1
164,full,34,1
165,full,35,1
166,full,33,1
167,full,33,1
168,full,33,1
169,full,34,1
170,full,36,1
171,full,37,1
172,full,34,1
173,full,39,1
174,full,35,1
175,full,36,1
176,full,34,1
177,full,33,1
178,full,35,1
179,full,33,1
180,full,33,1
181,full,31,1
182,full,33,1
183,full,34,1
184,full,34,1
185,full,36,1
186,full,33,1
187,full,33,1
188,full,34,1
189,full,35,1
190,full,33,1
191,full,33,1
192,full,35,1
193,full,33,1
194,full,35,1
195,full,34,1
196,full,35,1
197,full,36,1
198,full,35,1
199,full,35,1
200,full,33,1
201,full,32,1
202,full,33,1
203,full,33,1
204,full,32,1
205,full,32,1
206,full,34,1
207,full,35,1
208,full,34,1
209,full,33,1
210,full,32,1
211,full,36,1
212,full,32,1
213,full,34,1
214,full,35,1
215,full,36,1
216,full,36,1
217,full,33,1
218,full,34,1
219,full,33,1
220,full,32,1
221,full,36,1
222,full,36,1
223,full,33,1
224,full,33,1
225,full,33,1
226,full,33,1
227,full,34,1
228,full,34,1
229,full,34,1
230,full,36,1
231,full,34,1
232,full,34,1
233,full,31,1
234,full,33,1
235,full,34,1
236,full,35,1
237,full,32,1
238,full,32,1
239,full,33,1
240,full,32,1
241,full,33,1
242,full,36,1
243,full,33,1
244,full,32,1
245,full,33,1
246,full,37,1
247,full,33,1
248,full,32,1
249,full,33,1
250,full,33,1
251,full,31,1
252,full,32,1
253,full,34,1
254,full,33,1
255,full,33,1
256,full,35,1
257,full,33,1
258,full,35,1
259,full,33,1
260,full,34,1
261,full,33,1
262,full,32,1
263,full,36,1
264,full,33,1
265,full,34,1
266,full,32,1
267,full,32,1
268,full,40,1
269,full,36,1
270,full,42,1
271,full,36,1
272,full,34,1
273,full,34,1
274,full,35,1
275,full,34,1
276,full,35,1
277,full,32,1
278,full,33,1
279,full,33,1
